"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"1","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/16_077/0006261","Strakonice - páteřní cyklostezka","Cílem projektu je vybudování nové cyklostezky v samém centru města Strakonice. Cyklostezka je projektována od mostu Jana Palacha po Blatenský most a bude zajišťovat bezpečnou jízdu na kole z a do zaměstnání/školy/práce obyvatelům města. Realizací projektu dojde k napojení na novou část cyklostezky vedoucí podél břehu řeky Volyňky. Součástí záměru je i pořízení 16 cyklostojanů v přímé návaznosti na cyklostezku.","Město Strakonice","00251810","Obec",38601,2021-03-01,NA,"31.07.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ031","Jihočeský kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","EFRR",0.849999999408354,13521593.28,11493354.28,2028239,0,0,0,"Ne"
"2","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0007569","SNÍŽENÍ ENERGETICKÉ NÁROČNOSTI BD MAYEROVA 783-784, HORAŽĎOVICE","Předmětem projektu je realizace stavebních prací související se zateplením obálky budovy (zateplení obvodových stěn, podlahy půdy a stropu sklepa) a výměně vybraných otvorových výplní za účelem snížení energetické náročnosti budovy a zvýšení uživatelského komfortu a životní úrovně obyvatel domu snížením nákladů na bydlení.","Město Horažďovice","00255513","Obec",34101,2018-05-31,"06.01.2016","31.08.2019","30.08.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.39999999873422,4740161.49,1896064.59,2844096.9,0,4251225.28,1700490.11,"Ne"
"3","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/17_070/0006800","Stavební úpravy pro energetické úspory ZŠ 5. května II. stupeň, Liberec","Předmětem předkládaného dílčího projektu jsou stavební úpravy vedoucí ke zlepšení tepelně-izolačních vlastností budov - objektu ZŠ 5. května - II. stupně vedoucí ke snížení energetické náročnosti provozu budovy, snížení konečné spotřeby energií a tím v konečném důsledku ke snížení emisí. Projekt má tedy jednoznačně pozitivní dopad na ŽP. Žadatel má sestavený kvalitní projektový tým, byla zvážena veškerá rizika přípravy i realizace projektu, stavební práce budou realizovány dodavatelsky.","STATUTÁRNÍ MĚSTO LIBEREC","00262978","Obec",46001,2018-04-24,"01.04.2019","30.06.2021",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ051","Liberecký kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.499999999703913,16886948.75,8443474.37,8443474.38,0,16886948.75,8443474.37,"Ne"
"4","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004088","Infrastruktura ZŠ v  Rumburku-Zajištění bezbariérovosti celé školy a modernizace učebny fyziky","Předmětem předkládaného projektu je podpora infrastruktury pro základní vzdělávání v Základní škole Rumburk, U nemocnice. Realizovány budou stavební úpravy týkající se učebny fyziky a  bezbariérové dostupnosti prostor celé školy. Dále bude pořízeno vybavení pro zajištění rozvoje žáků v klíčové kompetenci Přírodní vědy. Bude vybudována nová plocha intenzivně osázená zelení.","Město Rumburk","00261602","Obec",40801,2020-03-24,"08.02.2017","31.08.2021","24.08.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,5896488,5012014.8,884473.2,0,5896488,5012014.8,"Ne"
"5","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_001/0004429","Územní plán Rumburk","Předmětem projektu je zpracování dokumentace Územního plánu Rumburk v souladu se zákonem č. 183/2006 Sb., o územním plánování a stavebním řádu, v platném znění (dále jen stavební zákon), vyhláškou č. 500/2006 Sb., o územně analytických podkladech, územně plánovací dokumentaci a způsobu evidence územně plánovací činnosti ve znění vyhlášky č. 457/2012 Sb., vyhláškou č. 501/2006 Sb., o obecných požadavcích na využívání území v platném znění s dalšími předpisy. Město Rumburk je ORP.","Město Rumburk","00261602","Obec",40801,2017-08-16,"21.02.2017","31.07.2021","30.06.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,1117435,949819.75,167615.25,0,1024870,871139.5,"Ne"
"6","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.30/0.0/0.0/16_042/0004872","Kanalizace Dvorce","Dostavba kanalizace v Dvorcích - místní části Lysé nad Labem.","Město Lysá nad Labem","00239402","Obec",28922,2017-08-02,"20.08.2018","13.02.2020","13.02.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.2.022","Čištění odpadních vod","FS",0.849999999260954,6088933.57,5175593.53,913340.04,0,6062987.98,5153539.76,"Ne"
"7","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003846","Vybudování odborných učeben v půdním prostoru Masarykovy ZŠ","Předmětem projektu jsou stavební úpravy půdního prostoru v objektu Masarykovy základní školy v Litoměřicích, a to s ohledem na zvýšení kvality vzdělávání ve vazbě na budoucí uplatnění žáků na trhu práce v klíčových kompetencích komunikace v cizích jazycích, přírodní vědy a technické a řemeslné obory. Součástí projektu je mj. doplnění stávajícího školního arboreta o nové dřeviny, pořízení nezbytného vybavení rekonstruovaných prostor a zajištění bezbariérovosti objektu vybudováním výtahu.","Město Litoměřice","00263958","Obec",41201,2020-03-23,"07.09.2015","30.04.2021","30.04.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999880004,25000859.38,21250730.47,3750128.91,0,24991785.32,21243017.52,"Ne"
"8","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004312","Přístavba výtahu a zřízení bezbariérového přístupu ZŠ Smetanova","Přístavba výtahu a rampa pro vozíčkáře umožní bezbariérové užívání staré a nové budovy ZŠ.  Rampa bude navazovat na nedávno vybudovaný hlavní vstup do objektu, ze kterého je chodbou přístupné nádvoří. Konektivitu školy a s tím spojenou přestavbu vnitřní sítě školy je nezbytné řešit z důvodu vzrůstajících nároků uživatelů. Tuto problematiku vyřeší na několik let dopředu celková výměna HW a změna topologie celé sítě. Součástí projektu jsou také aktivity vedoucí k úpravám venkovního prostranství.","Město Chotěboř","00267538","Obec",58301,2020-04-09,"02.01.2017","30.11.2021","09.11.2021",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ063","Kraj Vysočina","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999998756222,4824012.96,4100411.01,723601.95,0,4824012.96,4100411.01,"Ne"
"9","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_062/0003795","Rozšíření výukových prostor ZŠ T.G.Masaryka Blatná","Projekt řeší zřízení nových odborných učeben formou přístavby dvoupodlažního objektu v zadním traktu objektu Základní školy T. G. Masaryka Blatná, okr. Strakonice, příspěvkové organizace. Součástí návrhu je i vnitřní vybavení nových prostor nábytkem, didaktickou a IT technikou. Pro bezbariérové řešení školy je navržena realizace nástupní rampy u přistavěného objektu, bezbariérové sociální zařízení a nákup schodolezu. Standard konektivity je v projektu zajištěn pořízením dodatečných IT zařízení.","Město Blatná","00250996","Obec",38801,2019-05-09,"19.01.2017","31.07.2020","31.07.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999881448,12652658.39,10754759.63,1897898.76,0,12652658.39,10754759.63,"Ne"
"10","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004764","Studie veřejných prostranství města Hořice","Územní studie veřejných prostranství bude zpracována pro celé území města Hořice a centra místních částí Chvalina, Svatogothardská Lhota, Doubrava, Chlum a Dachovy. Cílem územní studie je navrhnout základní koncepci systému veřejných prostranství dle podrobnosti, rozsahu řešení, typu území, charakteru veř. prostranství a rozdílného výchozího stavu.  Územní studie bude vložena do evidence územně plánovací činnosti a stane se tak podkladem pro navazující činnosti.","Město Hořice","00271560","Obec",50801,2017-08-21,"02.03.2017","28.06.2018","28.06.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ052","Královéhradecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,1829520,1555092,274428,0,1798086.62,1528373.62,"Ne"
"11","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004241","Rozšíření základní školy ve Stodu","Projekt si klade za cíl zlepšit kvalitu formálního vzdělávání s důrazem na rozvoj klíčových kompetencí a tím zvýšit reálnou budoucí uplatnitelnost žáků na trhu práce.   Projektem budou vybudovány nové učebny: Počítačová učebna (Hradecká ul.), Jazyková učebna (Hradecká ul.), Prostor pro inkluzivní vzdělávání I. a II. (Hradecká ul.), Pět nových kmenových učeben (Hradecká ul.)  Dále bude zajištěna bezbariérovost budovy v Hradecké ulici a konektivita k internetu.","Město Stod","00257265","Obec",33301,2018-07-24,"10.01.2017","10.06.2020","10.06.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,57165728,48590868.8,8574859.2,0,56776744.64,48260232.94,"Ne"
"12","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003832","Odborné učebny v ZŠ Valašské Klobouky","Projekt zahrnuje stavební úpravy odborných učeben, laboratoří, pracoven i dílen vč. zázemí pro pedagogy, svým charakterem je zaměřen na žáky s povinnými učebními předměty Chemie, Biologie a Fyzika (předměty vyučované na 2. stupni), dále na žáky s výukou cizích jazyků a praktickými předměty ? oblast Člověk a svět práce, Pracovní činnosti (předměty vyučované na 1. i 2. stupni). Součástí projektu je bezbariérové řešení školy, konektivita a drobné úpravy prostoru před školou.","Město Valašské Klobouky","00284611","Obec",76601,2018-07-02,"01.07.2016","28.02.2020","28.02.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,29642433,25196068.05,4446364.95,0,29625412.49,25181600.59,"Ne"
"13","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_062/0003947","Stavební úpravy a vybavení odborných učeben ZŠ Komenského Bílovec","Předmětem projektu jsou stavební úpravy a pořízení vybavení do odborných učeben, odborných kabinetů a poradenského pracoviště v ZŠ a MŠ Bílovec, Komenského 701/3, p. o. za účelem zvýšení kvality vzdělávání ve vazbě na budoucí uplatnění na trhu práce v klíčových kompetencích. V rámci projektu bude také zajištěna úplná bezbariérovost školy prostřednictvím realizace bezbariérových WC ve všech NP, zabezpečení u vstupu do budovy, vnitřní konektivita školy a připojení k internetu, sadové úpravy ZŠ.","Město Bílovec","00297755","Obec",74301,2017-12-06,"21.11.2016","30.11.2018","30.11.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999723,14440433.84,12274368.76,2166065.08,0,14257719.58,12119061.64,"Ne"
"14","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004772","Územní studie pro obce ve správním obvodu ORP Příbram","Předmětem projektu je pořízení 5 územních studií pro obce ve správním obvodu obce s rozšířenou působností (ORP) Příbram. Jmenovitě se jedná o obce Příbram městská část Hatě, Dolní Hbity, Hvožďany, Kamýk nad Vltavou a Zduchovice. Pořízené územní studie budou základním podkladem pro úpravu stávajících či nových veřejných prostranství. Tyto územní studie jsou zaměřeny na veřejná prostranství obcí, např. místa pro relaxaci a odpočinek obyvatel, zpevněné plochy, komunikace, chodníky, zeleň, apod..","Město Příbram","00243132","Obec",26101,2017-10-12,"31.01.2017","30.09.2018","27.08.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,794970,675724.5,119245.5,0,759637.68,645692.02,"Ne"
"15","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/17_056/0005095","Revitalizace parků v Tanvaldu (park u fontány, park u pomníku TGM)","Předmětem projektu je celková regenerace dvou parkových ploch v intravilánu města. Rizika projektu spočívají zejména v realizační fázi projektu, a toto riziko bude eliminováno činností technického a autorského dozoru, který bude v rámci projektu prováděn realizačním týmem.","Město Tanvald","00262587","Obec",46841,2017-11-24,"01.02.2018","31.03.2020",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ051","Liberecký kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",0.6,683107.7,409864.62,273243.08,0,606775.19,364065.11,"Ne"
"16","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_008/0003612","Regulační plán Městské památkové zóny Vysoké Mýto","Předmětem realizace projektu je  pořízení jednoho regulačního plánu (RP)- Regulační plán Městské památkové zóny Vysoké Mýto. Řešeným územím je historické jádro města, které bylo Vyhláškou o prohlášení památkových zón ve vybraných městech a obcích Východočeského kraje ze dne 17.10.1990 vydanou Východočeským krajským výborem v Hradci Králové prohlášeno za městskou památkovou zónu.","Město Vysoké Mýto","00279773","Obec",56601,2017-06-13,"14.09.2016","31.03.2019","21.03.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ053","Pardubický kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,719950,611957.5,107992.5,0,719950,611957.5,"Ne"
"17","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0004508","Stavební úpravy bytového domu Bělidla č. p. 1219, Bystřice pod Hostýnem","Předmětem projektu jsou  stavební úpravy bytového domu v ul. Bělidla, č. p. 1219 v Bystřici pod Hostýnem, spočívající v kontaktním zateplení obvodového pláště, zateplení obvodového zdiva uvnitř lodžií a zateplení soklu. Stavebními úpravami dojde ke změně energetické náročnosti. Konstrukce jsou dle projektové dokumentace navrženy tak, aby splňovaly normu ČSN 73 0540:2011 a úspory budovy činily minimálně 20%.","Město Bystřice pod Hostýnem","00287113","Obec",76861,2017-06-02,"26.06.2017","04.09.2017","04.09.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.299999996814535,1883555.62,565066.68,1318488.94,0,1102486.24,330745.87,"Ne"
"18","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003898","Rekonstrukce půdních prostor nad přístavbou ZŠ Husova","Projekt řeší rekonstrukci a stavební úpravy stávající infrastruktury ZŠ Husova, díky nimž bude škola plně bezbariérová, budou zrekonstruovány 2 učebny chemie a fyziky včetně kabinetů, nově vzniknou 3 učebny pro výuku cizích jazyků, přírodovědy a environmentální výchovy s kabinetem a soc. zázemím v půdní přístavbě. Projekt také počítá s úpravou  nádvoří s bezbariérovým přístupem do objektu, vybudováním venkovních chodníčků v souvislosti s výukou přírodních věd na zahradě školy a úpravou zeleně.","Město Jičín","00271632","Obec",50601,2020-03-25,"26.10.2016","02.09.2021","02.09.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ052","Královéhradecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999472011,17045815.74,14488943.37,2556872.37,0,17045815.72,14488943.35,"Ne"
"19","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004185","Rekonstrukce a vybavení učebny technických a řemeslných oborů včetně zajištění bezbariérovosti - Základní škola Ostrov, Májová 997, příspěvková organizace","Předmětem projektu je vestavba učebny technických a řemeslných oborů pro 16 žáků do prostor bývalé školní kotelny. Součástí projektu je vybudování sociálního zařízení pro imobilní. Bezbariérový přístup do učebny i všech ostatních výškových úrovní školy bude zajištěn novým výtahem, zvolené řešení tak bude naplňovat všechny moderní standardy a požadavky na bezbariérovost veřejných budov. V rámci projektu dojde k pořízení mobiliáře učebny, k nákupu výukových pomůcek a technického vybavení učebny.","Město Ostrov","00254843","Obec",36301,2020-03-20,"01.02.0217","31.08.2021","31.08.2021",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ041","Karlovarský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999998928701,8867739.87,7537578.88,1330160.99,0,8867739.87,7537578.88,"Ne"
"20","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004107","Základní škola Elišky Přemyslovny 10 - nástavba učeben","Cílem projektu je rozšířit kapacitu školy a zkvalitnit podmínky pro výuku. Nově navržená přístavba bude přímo navazovat na dispoziční řešení stávající školní budovy. První podzemní a první nadzemní podlaží jsou výdajem nezpůsobilým a bude zde umístěna tělocvična a potřebné zázemí. Druhé a třetí nadzemní podlaží jsou z velké části výdajem způsobilým. Bude zde vybudována kmenová učebna, dvě učebny cizích jazyků, učebna technických a řemeslných oborů, učebna přírodních věd a potřebné zázemí.","Statutární město Brno","44992785","Obec",60200,2020-03-20,"21.09.2016","23.12.2021","23.12.2021",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ064","Jihomoravský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,21198677,18018875.45,3179801.55,0,21198677,18018875.45,"Ne"
"21","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004626","Územní studie veřejného prostranství - Klokočná","Cílem územní studie veřejných prostranství obce Klokočná (ÚS) je stanovit základní koncepci veřejných prostranství v obci a navrhnout podrobnější řešení hlavních částí veřejných prostranství v obci, včetně etapizace možné realizace jejich revitalizace (s přihlédnutím i k možné realizaci části veřejných prostranství v relativně krátkém časovém horizontu). ÚS stanoví podrobné zásady uspořádání / regulaci pro všechna ostatní veřejná prostranství v obci.","Město Říčany","00240702","Obec",25101,2017-08-21,"23.01.2017","29.12.2017","20.12.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,326700,277695,49005,0,326700,277695,"Ne"
"22","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_062/0004082","Modernizace odborných učeben, konektivity a zajištění bezbariérového přístupu v ZŠ Trhové Sviny","Projekt vychází z dlouhodobých potřeb školy a jejího zřizovatele, mezi kterými je zvyšování kvality infrastruktury pro výchovu a vzdělávání tak. Předmětem projektu je zřízení a vybavení nové učebny chemie, modernizace vybavení počítačové učebny, výstavba venkovní přírodovědné učebny, zajištění konektivity, opatření pro zajištění bezbariérového přístupu, instalace bezpečnostních kamer a úprava zeleně okolo školy.","Město Trhové Sviny","00245551","Obec",37401,2017-12-04,"11.01.2017","31.08.2018","23.08.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999998872984,4436493.1,3771019.13,665473.97,0,4296857.52,3652328.89,"Ne"
"23","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003923","Vybudování infrastruktury pro výuku klíčových kompetencí v oblasti technických a řemeslných oborů, přírodních věd, cizích jazyků a schopnosti práce s digitálními technologiemi na základních škoolách v Kutné Hoře","Projekt představuje vybavení 4 základních škol v Kutné Hoře infrastrukturou na podporu vzdělávání technických a řemeslných oborů, přírodních věd, cizích jazyků a schopností práce s digitálními technologiemi. ZŠ Kamenná Stezka-vybudování učeben řemesel, nové kmenové třídy a konektivity, ZŠ T.G.Masaryka-rekonstrukce učebny chemie a přírodopisu, ZŠ J. Palacha-vybudování učebny a lab. přírodovědy, ZŠ Žižkov-výstavba nového objektu učeben polytech. vzdělávání a řemesel, robotiky, ICT a cizích jazyků.","Město Kutná Hora","00236195","Obec",28401,2018-03-13,NA,"31.12.2018","04.05.2018",NA,"PN40a Projekt nedokončen - ukončen příjemcem","Česká republika","CZ020","Středočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0,0,0,NA,0,0,0,"Ne"
"24","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.05/0.0/0.0/16_044/0005226","Tišnov - technická a komunikační infrastruktura","Cílem projektu je zvýšit efektivitu fungování MěÚ Tišnov, zrychlit správní procesy, odstranit duplicity, snížit zatížení pracovníků územní veřejné správy. Cíle projektu bude dosaženo implementací datového centra, nových a upravených informačních systémů a jejich funkcionalit do prostředí žadatele a jejich zprovoznění. Výsledky projektu jsou zaměřeny na vytvoření dostatečně robustního a moderního prostředí informačních technologií, které slouží pro zajištění podpůrných procesů při výkonu VS .","Město Tišnov","00282707","Obec",66601,2017-10-23,"02.01.2017","31.12.2018","31.12.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","IV.3.078","Služby elektronické veřejné správy (e-government) a žádosti (včetně elektronického zadávání veřejných zakázek, IKT opatření na podporu reformy veřejné správy, počítačové bezpečnosti, opatření pro důvěru a ochranu soukromí, elektronického soudnictví (e-justice) a e-demokracie)","EFRR",0.849999999526602,14786710.42,12568703.85,2218006.57,0,14696800.28,12492280.23,"Ne"
"25","OP Z","03.4 Efektivní veřejná správa","CZ.03.4.74/0.0/0.0/16_033/0002829","Město Hodonín plánuje s veřejností","Předmětem projektu je tvorba a zpracování strategického plánu rozvoje města společně se vzděláváním zainteresovaných osob. Do procesu tvorby strategického plánu bude mít možnost zapojit se i široká veřejnost. V rámci zkvalitňování veřejné správy a komunikace s veřejností by se město Hodonín rádo rozvíjelo v kategorii C a směřovalo ke kategorii B v rámci MA21 v oblasti nastavených kritérií a taktéž by rádo zpřehlednilo finanční toky města zavedením tzv. rozklikávacího rozpočtu.","Město Hodonín","00284891","Obec",69501,2016-12-13,"01.06.2016","31.05.2018","31.05.2018",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ064","Jihomoravský kraj","VIII.0.119; VIII.0.119","Investice do institucionální kapacity a účinnosti veřejné správy a veřejných služeb na celostátní, regionální a místní úrovni za účelem reforem, zlepšování právní úpravy a řádné správy; Investice do institucionální kapacity a účinnosti veřejné správy a veřejných služeb na celostátní, regionální a místní úrovni za účelem reforem, zlepšování právní úpravy a řádné správy","ESF; ESF",0.85,2765150,2350377.5,414772.5,0,2127951.06,1808758.37,"Ano"
"26","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003625","Nástavba odborných učeben pro Základní školu Kolín V., Mnichovická 62","Záměrem projektu je vybudování nástavby na budově přístavby základní školy s cílem rozšíření prostor školy pro vznik tří odborných učeben a školního poradenského pracoviště. Projektem je dále řešena bezbariérovost budovy, a to vybudováním výtahu a bezbariérové toalety. Dalšími výstupy projektu jsou: zajištění konektivity celé školy a nákup kompenzačních pomůcek do školního poradenského pracoviště. Projekt řeší rovněž úpravy venkovního prostranství. Jeho výstupy budou využity více školami.","Město Kolín","00235440","Obec",28002,2018-04-04,"06.09.2016","31.12.2020","31.12.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,17194247,14615109.95,2579137.05,0,17194247,14615109.94,"Ne"
"27","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_054/0004841","Stavební úpravy a přístavba hvězdárny prof. Františka Nušla, Jindřichův Hradec","Cílem projektu je zlepšení úrovně a dostupnosti vzdělávání v oblasti přírodních věd (astronomie, astrofyzika aj.), ale i práce s digitálními technologiemi pro žáky mateřských,základních a středních škol za účelem doplnění výuky, podpory výchovné a zájmové činnosti a v neposlední řadě popularizace astronomie. Stavebními úpravami stávající hvězdárny dojde k rozšíření pozorovatelen s dalekohledy, klubovny a dalších veřejně přístupných prostor,přístavbou vznikne přednáškový sál s digit. planetáriem.","Město Jindřichův Hradec","00246875","Obec",37701,2020-11-26,"05.08.2015","30.06.2020","30.06.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,2e+07,1.7e+07,3e+06,0,2e+07,1.7e+07,"Ne"
