"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"1483","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_045/0016707","Rekonstrukce a bezbariérové úpravy chodníku na ulici Hrdinů v Uničově","Cílem projektu je zvýšení bezpečnosti dopravy rekonstrukcí a bezbariérovými úpravami cca 410 m stávajícího chodníku podél silnice II/446 v intravilánu města Uničova. Realizace projektu zahrnuje realizaci 3 typů prvků prostorové orientace, které budou provedeny v 18 dílčích opatření určených osobám s omezenou schopností pohybu a orientace. Rekonstrukce chodníku napojí také stávající 3 přechody pro chodce přes komunikaci II/446, přičemž dojde k úpravě jednoho nástupního místa k přechodu.","Město Uničov","00299634","Obec",78391,2021-10-27,NA,"31.07.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ071","Olomoucký kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.849999998234924,4815655.61,4093307.26,722348.35,0,0,0,"Ne"
"1484","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_045/0016794","Cyklostezka Palackého","Projekt řeší vybudování nové obousměrné cyklostezky po ul. Palackého v úseku dl.925 m, která spojí frekventovanou ul. Velká Dlážka s ul. Komenského. Součástí realizace jsou vyvolané investice spočívající v úpravě sjezdu na p.č.37 v k.ú.Přerov, přeložce stávající autobus. zastávky, úpravě dělících ostrůvků v prostoru okružních křižovatek, úpravě SSZ a úpravě stávajícího veřejného osvětlení.","Statutární město Přerov","00301825","Obec",75002,2021-12-07,NA,"31.07.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ071","Olomoucký kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.849999999526135,12661841.36,10762565.15,1899276.21,0,0,0,"Ne"
"1485","IROP","06.4 Komunitně vedený místní rozvoj","CZ.06.4.59/0.0/0.0/16_075/0016537","Modernizace učebny praktického vyučování ZŠ Dr. Joklíka v Kyjově","Projekt řeší stavební úpravy spojené s modernizací učebny praktického vzdělávání v ZŠ Dr. Joklíka v Kyjově. Cílem projektu je zvýšení kvality a dostupnosti infrastruktury pro vzdělávání a celoživotní učení v daném zařízení. Nástrojem pro dosažení cíle je modernizace stávající učebny praktických činností za účelem vytvoření multifunkčního vzdělávacího prostoru s širokým spektrem využití, který bude plnit zejména funkci tzv. cvičné kuchyňky, ale bude sloužit i pro další tvůrčí aktivity žáků.","Město Kyjov","00285030","Obec",69701,2021-11-12,NA,"31.12.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ064","Jihomoravský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.949999998436715,2558714.72,2430778.98,127935.74,0,0,0,"Ne"
"1486","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_046/0016727","Zvýšení bezpečnosti dopravy v Jihlavě - III. etapa","Předmětem projektu je výstavba nových chodníků v částech města Antonínův Důl a Červený Kříž, realizace nové zastávky MHD v ul. Vrchlického a vybudování nové lávky pro pěší a cyklisty v ulici Strojírenská. Cílem projektu je zajištění vyšší bezpečnosti provozu na území města Jihlavy pro všechny účastníky silničního provozu, zejména pak chodce a celkové zkvalitnění dopravní infrastruktury v Jihlavě.","Statutární město Jihlava","00286010","Obec",58601,2021-09-20,"30.04.2021","30.09.2022",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ063","Kraj Vysočina","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.849999999955212,22327406.86,18978295.83,3349111.03,0,5935152.67,5044879.76,"Ne"
"1487","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_067/0016584","Modernizace ZŠ Pasířská v Jablonci nad Nisou - navazující investice","Tento projekt má za cíl zvýšit kvalitu a dostupnost infrastruktury pro vzdělávání v ZŠ Jablonec nad Nisou, ulice Pasířská 72 v oblasti přírodních věd. Projekt je zaměřen na  zlepšení materiálně-technické základny kabinetů a skladu přírodních věd a zvýšení kvality výuky předmětů: chemie, fyzika a matematika. Projekt je v souladu s IPRÚ Liberec - Jablonec nad Nisou, Cíl 5 Optimalizace infrastruktury pro vzdělávání.","Statutární město Jablonec nad Nisou","00262340","Obec",46601,2021-09-10,NA,"30.09.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ051","Liberecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.8499999937392,1197929.95,1018240.45,179689.5,0,0,0,"Ne"
"1488","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_045/0016749","Holice, smíšená stezka II. etapa - větve V4, V4a","Předmětem projektu je vybudování nové společné stezky pro chodce a cyklisty o délce 0, 526 km, v extravilánu, v k.ú. Holice u Olomouce, podél sil. II. třídy s vysokou intenzitou dopravy přesahující 8 tis. vozidel/den. Výstavba nové stezky rozšíří síť cyklostezek a podpoří podmínky pro každodenní dojížďku do zaměstnání.","Statutární město Olomouc","00299308","Obec",77900,2021-10-15,NA,"30.06.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ071","Olomoucký kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.849999998180927,2748652.1,2336354.28,412297.82,0,0,0,"Ne"
"1489","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/21_157/0015352","Revitalizace sídelní zeleně Luhačovice","Předmětem projektu je revitalizace ploch veřejné zeleně v blízkosti kulturního domu v Luhačovicích, podél toku řeky Šťávnice v Luhačovicích a v centru místní části Luhačovic - v Polichně. Výsledkem budou moderně upravené veřejné plochy a nová výsadba v lázeňském městě Luhačovice a jeho místní části.","Město Luhačovice","00284165","Obec",76326,2022-04-20,NA,"31.12.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ072","Zlínský kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",0.6,700798.55,420479.13,280319.42,0,0,0,"Ne"
"1490","IROP","06.6 REACT-EU","CZ.06.6.127/0.0/0.0/21_124/0016755","Pořízení dvou elektromobilů pro Pečovatelskou službu Bílina","Předmětem projektu je pořízení dvou elektromobilů pro Pečovatelskou službu Bílina za účelem zkvalitnění poskytované sociální služby a zkvalitnění materiálně technické základny v souvislosti se snížením dopadů krizové situace vyvolané pandemií COVID-19. Realizace projektu zohledňuje princip ochrany životního prostředí prostřednictvím omezování emisí z dopravy.","Město Bílina","00266230","Obec",41801,2021-12-08,"28.06.2021","31.12.2022",NA,NA,"PP36 Projekt ve fyzické realizaci","Česká republika","CZ042","Ústecký kraj","III.0.055","Jiná sociální infrastruktura přispívající k regionálnímu a místnímu rozvoji","EFRR REACT-EU",0.85,2024700,1720995,303705,0,0,0,"Ne"
"1491","IROP","06.6 REACT-EU","CZ.06.6.127/0.0/0.0/21_124/0016622","Pořízení vozidel pro pečovatelskou službu - Bohumín","Předmětem projektu je pořízení 2 ks vozidel pro stávající pečovatelskou terénní službu ve městě Bohumín. Nová hybridní vozidla nahradí stávající vozidla na hranici životnosti. Cílovými skupinami jsou senioři, osoby se zdravotním postižením a zaměstnanci sociálních služeb. Cílem projektu je zvýšení kvality poskytovaných služeb při současném snížení energetické účinnosti a uplatňování principů protiepidemických opatření proti šíření viru COVID-19.","Město Bohumín","00297569","Obec",73581,2021-10-13,NA,"31.12.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ080","Moravskoslezský kraj","III.0.055","Jiná sociální infrastruktura přispívající k regionálnímu a místnímu rozvoji","EFRR REACT-EU",0.85,1182924,1005485.4,177438.6,0,0,0,"Ne"
"1492","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_045/0016768","Terminál B","Předkládaný projekt koncepčně řeší nevyhovující situaci autobusového nádraží v Pardubicích. Cílem je vybudování nového autobusového terminálu - Terminálu B, který se bude nacházet v přímém napojení na Terminál A (MHD) a hlavní železniční stanici. Tím dojde k vytvoření ucelené dopravní sítě v jednom místě, což podpoří efektivnost veřejné dopravy. Vybudování nového Terminálu bude mít za následek zlepšení dopravní infrastruktury a revitalizaci veřejného prostoru ve městě.","Statutární město Pardubice","00274046","Obec",53002,2022-04-19,NA,"30.06.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ053","Pardubický kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.85,102235815,86900442.75,15335372.25,0,0,0,"Ne"
