municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
6114,Velké Meziříčí,34895,34868,34841,34918,34975,35230,35369,35575,35686,35762,35800,35868,35873,35947,35981,36020,36116,36235,36390,36428,36332
6218,Veselí nad Moravou,40516,40297,40155,39946,39769,39540,39554,39420,39287,39133,39117,38931,38645,38463,38310,38180,38051,37890,37715,37498,36654
3116,Vimperk,17720,17695,17677,17703,17684,17638,17658,17753,17721,17700,17596,17581,17512,17466,17420,17408,17368,17514,17520,17472,17152
8122,Vítkov,14245,14158,14107,14073,14111,14095,14086,14071,13993,13970,13828,13773,13696,13546,13460,13413,13355,13330,13274,13237,13160
7211,Vizovice,16089,16090,16048,16094,16220,16264,16341,16521,16591,16669,16791,16802,16830,16854,16844,16888,17021,17079,17153,17212,16981
2125,Vlašim,25959,25887,25853,25754,25698,25663,25762,25826,25835,25811,25795,25756,25756,25797,25751,25730,25776,25885,25947,25947,25744
3117,Vodňany,10981,11010,11055,11053,11154,11366,11603,11695,11722,11818,11706,11670,11599,11601,11625,11699,11708,11772,11881,11927,11783
2126,Votice,11915,11889,11908,11874,11860,11906,11976,12038,12159,12212,12309,12312,12352,12345,12353,12357,12456,12443,12445,12460,12457
5215,Vrchlabí,28212,28116,28039,28138,28347,28355,28506,28527,28095,27909,28143,28121,27983,27960,27808,27793,27782,27712,27610,27483,26738
7212,Vsetín,68521,68340,68163,67928,67824,67664,67594,67480,67351,67118,66901,66665,66485,66288,66159,65901,65735,65707,65522,65126,64147
6219,Vyškov,50532,50563,50673,50731,50636,50669,50905,51206,51524,51658,51581,51778,51804,51887,51942,52011,51981,52001,52142,52271,51808
5314,Vysoké Mýto,31991,31946,31969,32008,32148,32234,32467,32634,32613,32618,32625,32602,32624,32518,32498,32453,32384,32418,32454,32482,32082
7113,Zábřeh,33895,33814,33868,33720,33674,33626,33567,33597,33591,33683,33735,33662,33522,33463,33452,33276,33279,33178,33067,33051,32766
5315,Žamberk,28717,28777,28719,28647,28690,28808,29147,29331,29248,29253,29305,29284,29199,29162,29090,29175,29273,29495,29463,29462,28976
4216,Žatec,27339,27288,27237,27234,27268,27230,27309,27354,27366,27339,27218,27193,27186,27338,27261,27158,27209,27304,27373,27248,27014
6115,Žďár nad Sázavou,43953,43831,43828,43875,43880,43901,44023,44050,44035,43999,43244,43177,43058,43029,42943,42820,42729,42648,42627,42482,42200
5110,Železný Brod,11972,11989,12000,12017,12008,12113,12243,12327,12379,12399,12324,12297,12266,12158,12073,12124,12190,12182,12182,12161,12008
6221,Židlochovice,27244,27334,27506,27805,27860,28039,28826,29167,29608,29958,30501,31050,31415,31921,32333,32774,33168,33522,33816,33903,33663
7213,Zlín,100713,100274,99748,99233,99015,99081,99170,99090,99023,98924,99218,99211,99013,98940,99150,99188,99171,99294,99303,98963,97520
6220,Znojmo,89938,89964,89956,90069,90162,90318,90504,91025,91349,91450,91089,91197,91122,91198,91323,91424,91468,91735,91899,92046,91037
