municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5302,Hlinsko,21723,21627,21610,21534,21492,21488,21530,21503,21505,21498,21349,21265,21172,21222,21128,21056,21029,21024,21017,21016,20765
8109,Hlučín,39789,39645,39636,39601,39608,39723,39860,40020,40101,40252,40178,40224,40284,40247,40385,40513,40599,40603,40639,40656,40254
6206,Hodonín,62885,62315,62032,61968,61862,61711,61606,61592,61542,61314,61437,61402,61307,61204,61042,60916,60818,60809,60685,60579,59605
7202,Holešov,21619,21632,21597,21601,21641,21618,21680,21737,21880,21789,21576,21499,21512,21374,21381,21423,21451,21504,21540,21519,21425
5303,Holice,15521,15672,15851,16071,16235,16497,16750,17060,17145,17234,17275,17307,17389,17473,17486,17525,17693,17754,17910,18044,17945
3203,Horažďovice,12283,12299,12240,12194,12187,12221,12185,12197,12205,12180,12118,12010,11911,11823,11707,11648,11640,11608,11535,11525,11415
5204,Hořice,18292,18304,18132,18145,18138,18398,18790,18765,18798,18790,18521,18463,18374,18373,18354,18375,18441,18444,18377,18354,18087
2108,Hořovice,26541,26518,26691,26857,27017,27186,27720,28235,28393,28612,28894,29027,29057,29256,29359,29540,29647,29883,30131,30316,30148
3204,Horšovský Týn,13434,13469,13495,13584,13690,13820,13987,14071,14221,14261,14263,14276,14328,14337,14404,14583,14574,14688,14825,14804,14606
5205,Hradec Králové,143529,143232,142918,142931,143148,143413,144187,145130,145664,145977,145280,145176,145157,145310,145657,145830,146131,146262,146899,147018,144847
7101,Hranice,34920,34870,34882,34804,34744,34788,34860,34823,34703,34699,34649,34622,34492,34424,34338,34397,34269,34141,34146,34055,33567
6103,Humpolec,16840,16840,16874,16814,16839,16942,17123,17203,17174,17202,17331,17421,17430,17440,17495,17488,17568,17732,17852,17918,17710
6207,Hustopeče,34452,34362,34439,34551,34593,34696,34849,35000,35158,35411,35405,35503,35536,35549,35653,35839,36008,36108,36311,36469,36205
6208,Ivančice,23058,23080,23188,23485,23434,23242,23693,23761,23823,23718,24037,24042,23993,23996,23994,24150,24251,24378,24459,24653,24509
5103,Jablonec nad Nisou,52956,53092,53126,52949,53297,53539,54043,54444,54657,54799,54710,54909,55166,55375,55323,55692,55891,56094,56206,55812,55814
8110,Jablunkov,22574,22532,22552,22511,22505,22464,22502,22505,22512,22572,22634,22711,22773,22779,22677,22706,22686,22703,22664,22676,22364
5206,Jaroměř,19180,19142,19138,19039,19134,19147,19296,19370,19366,19393,19348,19458,19358,19290,19333,19291,19290,19305,19273,19232,19176
7102,Jeseník,42399,42251,42148,42014,41891,41827,41565,41404,41255,41095,40486,40189,39910,39584,39261,38957,38659,38330,37968,37709,36752
5207,Jičín,46028,45906,45754,45703,45904,46402,46723,47373,47384,47839,47725,47477,47477,47679,47771,47776,47897,48057,48382,48493,47589
6105,Jihlava,96325,96339,96523,96550,97340,97800,98202,98946,99421,99634,99345,99419,99479,99691,99951,100018,100363,100623,101074,101144,99606
5104,Jilemnice,22962,22967,22980,22857,22750,22702,22600,22571,22542,22552,22560,22524,22463,22338,22273,22239,22118,22105,22137,21954,21605
3105,Jindřichův Hradec,47173,47252,47310,47377,47435,47360,47359,47934,48017,48018,47634,47595,47552,47575,47377,47242,47131,47076,47113,46938,46461
4204,Kadaň,43869,43832,43829,43824,43980,43795,44111,44376,44338,44265,43745,43520,43137,42970,42763,42712,42832,43111,43284,43047,42276
3106,Kaplice,18852,19024,19105,19237,19545,19660,19717,19754,19741,19789,19669,19592,19488,19420,19426,19481,19540,19674,19869,19873,19382
4103,Karlovy Vary,90109,89640,89180,89054,88453,88434,89284,89983,90076,89959,89409,88969,88633,88592,88048,87589,87280,87166,87182,87001,83689
8111,Karviná,74808,74452,74143,74148,74193,73997,74045,74011,73240,71692,69999,69158,68249,67414,66569,65819,65010,64316,63614,61718,60854
2109,Kladno,114466,114513,114859,114611,115210,116041,117593,119161,120239,121936,119859,120572,121187,121872,122445,123271,124013,124891,125957,126065,123904
3205,Klatovy,50473,50272,50268,50311,50482,50826,51185,51447,51544,51513,50799,50751,50598,50588,50549,50511,50479,50564,50720,50690,49748
2110,Kolín,74295,74209,74365,74347,75234,75645,77134,78125,78734,79026,79549,79877,80064,80313,80699,81251,81797,82678,83500,84404,84128
7103,Konice,11952,11881,11815,11782,11745,11647,12882,12850,12781,12787,12780,11049,10984,10909,10824,10754,10744,10667,10634,10646,10553
8112,Kopřivnice,41782,41629,41533,41533,41535,41621,41668,41611,41543,41478,41408,41256,41209,41090,41061,41007,40848,40763,40755,40566,40184
5208,Kostelec nad Orlicí,24592,24695,24735,24724,24743,24800,25015,25081,25126,25129,24988,24924,24872,24887,24905,24810,24891,24876,24892,25032,24858
5305,Králíky,9442,9345,9330,9285,9232,9216,9192,9175,9080,9060,8931,8910,8860,8804,8719,8643,8555,8649,8676,8618,8376
3206,Kralovice,21846,21863,21896,21988,21994,22046,22158,22305,22358,22426,22353,22283,22274,22178,22192,22274,22253,22343,22367,22490,22495
2111,Kralupy nad Vltavou,26768,26845,26852,26906,26963,26904,27547,28476,29305,29948,30429,30399,30455,30802,30929,31306,31590,32001,32515,32924,32665
4104,Kraslice,14066,13997,14050,14094,14141,14059,14002,14114,14075,14046,13801,13705,13617,13529,13408,13269,13177,13153,13184,13001,12666
8113,Kravaře,20802,20875,20986,21039,21069,21035,21146,21276,21320,21368,21293,21324,21280,21353,21251,21266,21263,21315,21356,21302,21023
8114,Krnov,43173,43056,42881,42739,42598,42459,42567,42367,42334,42207,41816,41680,41370,41145,40814,40533,40300,40113,39938,39792,39120
7203,Kroměříž,70175,70114,70100,70073,69952,70053,70109,70090,70137,70264,69961,69780,69503,69465,69335,69141,68842,68746,68561,68082,67064
6209,Kuřim,18208,18425,18799,19272,19494,19836,20439,20813,21277,21647,21845,21956,22198,22380,22614,22743,22855,23003,23345,23554,23345
2112,Kutná Hora,49042,48915,48929,48798,49010,49630,49760,50010,49942,49909,49269,49234,49084,49009,49144,49280,49612,49718,50165,50448,49967
6210,Kyjov,56250,56348,56258,56199,56080,56040,56016,56072,56065,56077,55963,55832,55790,55764,55521,55493,55484,55461,55543,55530,54837
5306,Lanškroun,21657,21746,21805,21903,21868,22050,22623,22824,22917,22991,23017,23101,23148,23170,23206,23176,23179,23208,23140,23085,22498
5105,Liberec,133380,133066,133370,133355,134309,135611,137051,138769,139850,140426,140749,141134,141555,141986,142929,143645,144077,144878,145676,145386,144062
7104,Lipník nad Bečvou,15376,15334,15265,15303,15333,15394,15399,15457,15435,15413,15370,15379,15267,15289,15286,15252,15177,15167,15130,15099,14960
4205,Litoměřice,57681,57610,57801,57930,57573,56578,58672,59131,58807,58586,59388,59341,59161,59134,59188,59241,59192,59118,59110,58756,57785
5307,Litomyšl,26082,26156,26189,26116,26171,26207,26284,26517,26776,26773,26783,26841,26729,26674,26636,26712,26898,27136,27205,27108,26780
7105,Litovel,23398,23425,23494,23435,23414,23451,23674,23627,23697,23653,23688,23727,23748,23804,23771,23755,23743,23734,23715,23594,23524
4206,Litvínov,40103,39990,39976,40011,40203,40233,40382,40849,40813,40483,39156,38691,38331,38013,37724,37578,37458,37214,37035,36934,35650
4207,Louny,42816,42854,42825,42936,42831,43021,43358,43654,43740,43795,43721,43683,43513,43463,43437,43471,43501,43514,43640,43467,42895
4208,Lovosice,26665,26705,26674,26739,26631,26234,26933,27003,27061,27110,27617,27702,27609,27557,27445,27494,27550,27660,27750,27615,27238
7204,Luhačovice,19772,19746,19692,19628,19567,19450,19451,19408,19270,19153,19104,18996,18877,18778,18818,18814,18796,18716,18624,18567,18272
2113,Lysá nad Labem,16269,16756,17198,17881,18518,19341,20263,20843,21482,22123,22876,23427,23881,24362,24767,25320,25870,26461,26907,27145,29537
4105,Mariánské Lázně,25024,24809,24824,24715,24686,24603,24728,24646,24586,24607,24405,24224,24193,24211,24139,23998,23976,23928,23984,23906,23197
2114,Mělník,40105,40013,40283,40256,40465,40475,41036,41918,42176,42637,43323,43144,43007,43180,43365,43611,43865,44316,44600,44798,44757
6211,Mikulov,19907,19854,19732,19696,19663,19607,19606,19647,19619,19650,19651,19695,19760,19778,19827,19850,20023,20130,20265,20409,20315
3107,Milevsko,19253,19146,19079,19048,18987,18933,18859,18822,18830,18788,18614,18546,18486,18466,18476,18349,18251,18187,18235,18175,18025
2115,Mladá Boleslav,97795,97746,98289,98544,99729,102109,104778,107137,106848,106455,107403,107892,108209,109001,109186,109514,110268,111466,112464,113005,109665
2116,Mnichovo Hradiště,15238,15200,15214,15479,15650,15774,16001,16226,16293,16361,16333,16578,16734,16930,17100,17311,17508,17670,17901,18037,17927
7106,Mohelnice,18793,18761,18737,18674,18668,18703,18726,18727,18736,18706,18714,18645,18592,18501,18393,18305,18261,18291,18362,18403,18212
5308,Moravská Třebová,27710,27581,27542,27441,27365,27293,27300,27201,27138,27119,26839,26697,26560,26512,26346,26315,26311,26267,26138,25972,25775
6106,Moravské Budějovice,24411,24340,24346,24391,24308,24355,24438,24372,24267,24187,23945,23732,23564,23397,23330,23298,23208,23122,23098,22915,22697
6212,Moravský Krumlov,22309,22317,22355,22334,22297,22267,22324,22282,22324,22270,22199,22235,22212,22201,22215,22293,22329,22369,22452,22506,22425
4209,Most,76897,76796,76755,76674,76633,76599,76346,76445,76461,76314,75639,76314,76088,75844,75647,75303,75136,74835,74673,73999,71123
5209,Náchod,61374,61478,61407,61447,61472,61432,61548,61687,61509,61499,61687,61378,61304,61089,60903,60689,60720,60674,60595,60342,59412
6107,Náměšť nad Oslavou,13715,13576,13544,13482,13430,13411,13406,13405,13382,13416,13497,13450,13387,13346,13327,13338,13413,13453,13440,13418,13329
3207,Nepomuk,11247,11172,11229,11215,11226,11178,11305,11681,11661,11604,11728,11713,11695,11619,11575,11479,11476,11563,11583,11603,11066
2117,Neratovice,27784,27914,28140,28242,28374,28564,29113,29655,29849,30043,30417,30605,30689,30991,31300,31599,31782,32035,32187,32265,31932
5210,Nová Paka,13204,13158,13180,13183,13264,13298,13339,13447,13436,13536,13440,13374,13317,13323,13365,13342,13294,13281,13286,13287,13037
6108,Nové Město na Moravě,19464,19515,19535,19526,19488,19540,19670,19799,19619,19566,19472,19429,19429,19411,19341,19330,19276,19401,19386,19366,19169
5211,Nové Město nad Metují,14296,14255,14389,14323,14359,14405,14399,14359,14391,14414,14389,14371,14365,14295,14276,14274,14287,14240,14214,14116,13909
5106,Nový Bor,25939,25803,25910,25903,26069,26122,26348,26482,26609,26657,26529,26458,26438,26289,26340,26309,26268,26297,26302,26294,26131
5212,Nový Bydžov,17047,16996,16967,16949,16959,16999,17162,17247,17347,17401,17540,17513,17494,17498,17502,17439,17389,17409,17384,17417,17553
8115,Nový Jičín,48404,48294,48202,48133,48178,48217,48389,48404,48529,48510,48345,48410,48453,48483,48584,48634,48777,48907,48731,48743,48118
2118,Nymburk,36382,36494,36622,36636,36631,36779,37294,37658,37963,38296,38974,39178,39260,39384,39509,39512,39770,39949,40183,40495,40221
3208,Nýřany,47168,47514,48014,48512,49117,49869,50903,51698,52336,53044,53365,53949,54399,54844,55286,55733,56308,56935,57612,58181,58171
8116,Odry,17688,17701,17665,17603,17551,17493,17486,17475,17459,17426,17432,17301,17217,17116,17098,17063,16968,16881,16928,16933,16851
7107,Olomouc,158633,158352,158479,158433,158636,159005,160044,160720,161262,161802,161754,162136,162502,163215,163813,163599,163995,164535,165165,165404,164208
8117,Opava,102876,102609,102311,102157,101865,101771,101728,101846,101719,101646,101874,101758,101750,101661,101646,101408,101168,101006,100967,100582,99316
8118,Orlová,43327,43113,42880,42560,42219,41630,41404,41137,40833,40513,39326,39091,38693,38335,37870,37610,37498,37255,37163,36827,36813
8119,Ostrava,342310,340997,340124,338706,337752,337197,336811,336735,335425,333579,329961,328323,326874,325640,324311,323464,322419,321273,320145,317322,312104
4106,Ostrov,28659,29185,28998,29371,29330,29320,29881,29940,29356,29330,29043,28899,28664,28424,28316,28196,28048,27848,27636,27373,26363
7205,Otrokovice,35286,35290,35154,35028,34947,34801,34901,35005,34987,34937,34885,34721,34655,34589,34482,34393,34302,34292,34276,33972,33487
6109,Pacov,10258,10175,10095,10068,10080,10010,10005,10011,9955,9914,9811,9759,9691,9596,9581,9514,9485,9430,9364,9309,9207
5309,Pardubice,120865,120814,120213,119976,120708,121586,123308,125173,125960,126741,125827,126223,126476,127035,127477,128218,129076,130048,131691,132103,128883
6110,Pelhřimov,45586,45574,45562,45395,45420,45530,45830,46013,45888,45759,45318,45231,45103,45025,44985,44975,45090,45064,45086,45071,44654
3108,Písek,50935,51025,51040,51090,51157,51349,51451,51728,51760,51885,51846,51978,52018,52168,52265,52521,52816,53121,53352,53413,52744
