"year","ID_municipality","Grant_amount_total_CZK","Grant_amount_EU_CZK"
2016,"00075370",9106003.3,7740102.79
2016,"00081531",29403631.25,24993086.5
2016,"00232947",3407571.42,2896435.7
2016,"00234516",2993524.79,2544496.06
2016,"00234877",4848563.75,4121279.16
2016,"00235334",5795182.05,4925904.72
2016,"00235440",14230902.06,4269270.61
2016,"00236195",99805859.82,84834980.81
2016,"00236977",2906784.56,2470766.83
2016,"00237051",7356800,6253280
2016,"00237108",7999055.21,6799196.92
2016,"00238309",16321034.08,13872878.96
2016,"00239500",500921.85,425783.57
2016,"00240079",11419240,9706354
2016,"00240702",3154415.35,2681253.04
2016,"00241121",7747630,6585485.5
2016,"00242098",21669444.06,18419027.45
2016,"00243132",20721509.56,17613283.09
2016,"00243272",1042196.96,885867.41
2016,"00244309",7250693.77,6163089.7
2016,"00245836",3027587.6,2573449.43
2016,"00247618",15288813,12995491.04
2016,"00248266",2928364.74,2489110.02
2016,"00248801",3850482.3,3272909.95
2016,"00249831",2323353.18,1974850.2
2016,"00250996",1459865,1240885.25
2016,"00253014",46316585.98,28262804.98
2016,"00253979",3743720.4,3182162.34
2016,"00254061",279125,237256.25
2016,"00255661",13510953.59,11484310.55
2016,"00256129",2538746.17,2157934.24
2016,"00256986",10596402.04,9006941.73
2016,"00260428",10601631.19,9011386.5
2016,"00261602",7285283.68,6192491.12
2016,"00261718",5837160.99,4961586.82
2016,"00261891",16901059.97,14365900.97
2016,"00261912",13364408.73,11359747.36
2016,"00262978",34111149.74,28994477.25
2016,"00263958",7229145,6144773.25
2016,"00264334",1310619.91,1114026.9
2016,"00265781",13646376.51,11599420.03
2016,"00266027",15325865.73,13026985.85
2016,"00266094",12608009,10716807.63
2016,"00266230",6082819.15,5170396.27
2016,"00267449",15798275.39,13428534.07
2016,"00267538",5670689.8,4820086.33
2016,"00268810",13988081.92,11889869.61
2016,"00269247",3617863.75,3075184.15
2016,"00270211",4593343.43,3904341.9
2016,"00271632",7879157,6697283.45
2016,"00271888",336060,285651
2016,"00272523",582801.78,495381.49
2016,"00272868",1134375,964218.75
2016,"00274046",19891245.8,16907558.92
2016,"00274101",17992834.61,15293909.41
2016,"00274879",7724640,6565944
2016,"00274968",114760,97546
2016,"00276944",72445847.76,61578970.56
2016,"00277177",787520.07,669392.04
2016,"00278653",931700,791945
2016,"00279072",4657816.11,3959143.65
2016,"00279102",1334386.29,1134228.33
2016,"00279676",7480072.5,5355160.12
2016,"00279846",1184573.43,1006887.4
2016,"00279978",21742075.65,18480764.29
2016,"00281859",2857555.4,2428922.09
2016,"00282481",18203572.67,15473036.76
2016,"00282651",2854938,2426697.3
2016,"00282707",3004374.8,2553718.58
2016,"00282979",2607918.39,2216730.63
2016,"00283193",8317393,6441409.3
2016,"00283509",7138721.55,6067913.31
2016,"00283924",1294597.5,1100407.85
2016,"00284301",6100138.85,5185118.01
2016,"00284891",3621855.3,3078576.94
2016,"00286010",2720480,2312408
2016,"00287113",1770631.03,451510.91
2016,"00287172",1859410.16,1580498.58
2016,"00287351",2949326.22,2506927.25
2016,"00288659",494409,420247.65
2016,"00289931",4055134.39,3446864.2
2016,"00289965",2588190.76,2199962.11
2016,"00290629",4826835.88,4102810.48
2016,"00291463",1506166.2,1280241.27
2016,"00291471",3898160,3313436
2016,"00292311",5199355.95,4419452.54
2016,"00292427",1380182.5,1173155.1
2016,"00293199",18778008.08,15961306.84
2016,"00293881",2605493.58,2214669.54
2016,"00294136",38556405.81,14134869.41
2016,"00294900",1341452.79,1140234.85
2016,"00295841",2236131.84,1900712.04
2016,"00295892",8764216.79,7449584.25
2016,"00296139",4648781,3951463.83
2016,"00296317",3066933.05,920079.91
2016,"00296643",28885138.05,8719167.93
2016,"00296651",19829156.45,16854782.97
2016,"00296759",3874819.5,3293596.57
2016,"00297313",3290698.32,2797093.57
2016,"00297437",7740237.82,6579202.14
2016,"00297488",6352894.32,5399960.14
2016,"00297534",5079197.37,4317317.74
2016,"00297577",14744592.04,6076662.77
2016,"00297755",3434853.82,2919625.73
2016,"00297852",2280140.6,1938119.5
2016,"00298077",13280439.51,11288373.57
2016,"00298212",2054050.97,1745943.32
2016,"00298221",1749821.82,1487348.53
2016,"00299138",2552847.61,2169920.46
2016,"00299308",17763464.63,15098944.9
2016,"00299529",2796887.5,2377354.36
2016,"00299634",13751336.53,11688636.05
2016,"00300870",3311678.86,993503.65
2016,"00301825",3074971.2,2613725.52
2016,"00302724",29528722.62,25099414.21
2016,"00303038",8357331.48,7103731.75
2016,"00303461",18970176.6,16124650.1
2016,"00304387",3035628.41,2580284.14
2016,"00304450",5331480.15,4531758.12
2016,"00845451",99935811.99,84945440.06
2016,"44992785",97373969.24,83243004.4
2017,"00075370",190870728.74,155321479.13
2017,"00081531",15357474.02,10288922.4
2017,"00231401",96624853.4,80742541.63
2017,"00232947",52357687.49,44504034.35
2017,"00232963",58051149.87,48914196.17
2017,"00233129",8582393.4,7295034.38
2017,"00233242",38970266.12,28869138.98
2017,"00234516",88638119.95,74984043.1
2017,"00234877",92699459.28,74676581.62
2017,"00235334",33136121.6,26405303.42
2017,"00235440",184100258.21,154469463.35
2017,"00236021",27290782.98,20795304.28
2017,"00236195",40284772.08,23373258.02
2017,"00236977",16335958.86,8426939.39
2017,"00237051",26846644.26,19622212.17
2017,"00237108",16768876.6,9470753.11
2017,"00238295",76313328.17,61481521.66
2017,"00238309",34483380.19,29081161.64
2017,"00239402",25677715.97,21826058.54
2017,"00239500",13345094,9341565.8
2017,"00239640",46835746.66,38075061.39
2017,"00240079",15106069.2,12840158.81
2017,"00240702",32751390.49,27612164.19
2017,"00241121",104148013.79,87713205.26
2017,"00242098",11732085.02,9972272.19
2017,"00243132",51179216.38,43502333.86
2017,"00243272",37499470.88,31874550.24
2017,"00244309",63677462.68,40729133.27
2017,"00244732",83407555.62,66382973.55
2017,"00245551",13137310.63,11166714.03
2017,"00245585",1152870.34,691722.2
2017,"00245836",67708306.23,36735318.85
2017,"00245941",16795322,13442154.8
2017,"00246476",55445890.32,47129006.76
2017,"00246875",26850358.07,22822804.34
2017,"00247618",1908953.03,1324764.3
2017,"00248266",11835695.59,6497984.83
2017,"00248789",86975972.05,73929576.21
2017,"00248801",7462433,6343068.05
2017,"00249831",2235500,1900175
2017,"00249998",37525930.02,31792789.91
2017,"00250627",20831570.5,12575253.35
2017,"00250805",7275865.95,6184486.04
2017,"00251810",47436296.86,38092482.91
2017,"00251984",27113552.66,22001659.49
2017,"00252921",37420028.15,31902840.33
2017,"00253014",41889881.58,30547325.06
2017,"00253316",94998124.17,41714276.51
2017,"00253901",5167874.02,4392692.91
2017,"00253979",50914565.46,27526466.58
2017,"00254061",10153661.92,7294025.8
2017,"00254657",16693024.68,14189070.94
2017,"00254843",3372117.65,2866300
2017,"00255513",6387555.53,5429422.16
2017,"00255661",73232534.94,50253737.32
2017,"00256129",2347056,1994997.6
2017,"00256455",5282631.5,4490236.77
2017,"00256986",2694269.32,2290128.9
2017,"00257125",1185800,1007930
2017,"00257265",2220350,1887297.5
2017,"00257966",3183723.75,2517056.76
2017,"00259438",50638026.2,37568062.91
2017,"00259586",13126839.66,10547240.96
2017,"00260177",60941132.94,49545787.33
2017,"00260231",20644503.63,17301709.17
2017,"00260428",67318198.29,27145487.66
2017,"00260771",1450628.78,1233034.46
2017,"00261238",73749121.1,61529156.79
2017,"00261602",12714750,9054055.5
2017,"00261718",77587174.64,60706157.67
2017,"00261891",81486599.98,61485489.43
2017,"00261912",13402883.74,11392451.14
2017,"00262340",33993399.94,16508963.11
2017,"00262587",23831106.13,11653116.98
2017,"00262633",27560966.3,22173134.33
2017,"00262781",31974683.63,25278030.11
2017,"00262978",118393245.65,99862916.56
2017,"00263958",25015838.14,21263462.39
2017,"00263991",35299596.02,29089065.78
2017,"00264334",29580605.81,13920964.16
2017,"00265209",5358877.18,4555045.6
2017,"00265365",16732581.88,14222694.59
2017,"00265781",44740918.6,31614833.31
2017,"00266027",24922637.4,18026609.85
2017,"00266094",33479623.12,28457679.48
2017,"00266230",16352527.57,13899648.43
2017,"00266621",97451983.66,43257982.07
2017,"00267449",6430888.18,5069068.87
2017,"00267538",7349109.82,6246743.34
2017,"00268321",19597710.55,16658053.94
2017,"00268810",32445053.01,27578295.01
2017,"00269247",5590764.7,4394533.15
2017,"00270059",20428531.94,16571780.27
2017,"00270211",17059066.21,11137507.15
2017,"00271560",15835675.92,13264681.62
2017,"00271632",50610318.31,27047896.81
2017,"00271888",19704516.4,16748838.92
2017,"00272523",51798274.72,42348698.15
2017,"00272868",37509649.21,30816594.18
2017,"00272876",38313026.5,27766805.92
2017,"00273571",10368900.41,8813565.32
2017,"00274046",23669925.8,14160808.71
2017,"00274101",32123734.26,21520266.83
2017,"00274879",10677803.64,9076133.08
2017,"00274968",27962614.64,21436555.5
2017,"00275336",8330661.78,7081062.5
2017,"00275808",30660277.03,26061235.42
2017,"00276111",8926764.9,7416870.27
2017,"00276227",1450548,1232965.8
2017,"00276944",33598830.45,25483950.34
2017,"00277037",29587278.72,24597006.89
2017,"00277177",15106470.76,10236677.6
2017,"00277444",107222248.07,91138910.78
2017,"00277819",84245639.69,71608793.71
2017,"00278360",40472351.88,34401499.07
2017,"00278475",60570762.15,51467935.3
2017,"00278653",48743777.18,28544089.07
2017,"00279072",68882298.21,58549953.43
2017,"00279102",1508496.34,1282221.88
2017,"00279676",47598107.72,36833554.33
2017,"00279773",719950,611957.5
2017,"00279846",18541322.45,7745288.78
2017,"00279943",12963177.02,11018700.44
2017,"00279978",86638837.38,68957801.01
2017,"00281859",24798386.2,21078628.26
2017,"00281964",21375203.62,17662647.62
2017,"00282481",1674398,1423238.3
2017,"00282651",10205677,7402184.58
2017,"00282707",33157550.57,27605614.63
2017,"00282979",21998290.14,18581109.61
2017,"00283061",20230586.53,17195998.48
2017,"00283193",28637301.49,25291943.61
2017,"00283347",47571844.98,40436068.21
2017,"00283509",84503327.74,71827828.53
2017,"00283924",98554004.76,79498050.08
2017,"00284165",28518864.57,17954646.95
2017,"00284301",53434636.94,30757248.89
2017,"00284611",18755483.29,14656328.74
2017,"00284891",22974249.55,19528112.07
2017,"00285030",38740750.08,28929557.75
2017,"00285455",31592938.71,20861643.27
2017,"00286010",40300575.73,32159845
2017,"00286745",35552750.22,30219837.66
2017,"00287113",3004786.88,1091666.12
2017,"00287172",41706652.1,34088883.7
2017,"00287351",26697020.92,19086831.25
2017,"00288365",19991766.29,16993001.3
2017,"00288659",31350674.58,19390184.4
2017,"00289931",11590184.59,9851656.85
2017,"00289965",3593712.25,2969420.71
2017,"00290629",42260627.78,32160738.91
2017,"00291463",26580918.22,20153118.76
2017,"00291471",7169603.61,5304268.4
2017,"00291676",3343388.13,2841879.89
2017,"00292311",144294175.18,122650048.86
2017,"00293199",21435407.75,18220096.55
2017,"00293881",10302969.66,8757524.2
2017,"00294136",12326193.85,10477264.76
2017,"00294900",33405717.08,26776763.02
2017,"00295671",13680964,10646032.45
2017,"00295841",21218366.48,14188287.88
2017,"00295892",32894530.3,21847136.93
2017,"00296139",25187997.5,10626820.58
2017,"00296317",29748820.92,11585134.65
2017,"00296643",81326120.41,33910972.88
2017,"00296651",33632487.32,20237319.5
2017,"00296759",42548369.48,36166114.04
2017,"00297313",17049366.12,14491961.18
2017,"00297437",25643494.56,16154998.34
2017,"00297488",121870636.05,70187151.89
2017,"00297534",54855783.24,46627415.73
2017,"00297569",83528982.37,47076693.94
2017,"00297577",48649733.72,23572461.59
2017,"00297755",49537262.25,42106672.85
2017,"00297852",19971185.42,9183331.76
2017,"00298077",71198400.11,46101015.64
2017,"00298212",33453092.41,13720585.26
2017,"00298221",3387412.85,2557886.13
2017,"00299138",27175465.48,23099145.63
2017,"00299308",276165080.16,212539632.05
2017,"00299529",29000499.73,24479147.31
2017,"00299634",69978761.95,43194950.32
2017,"00300063",33958907.98,23095319.99
2017,"00300292",404691,343987.35
2017,"00300535",103285957.19,81813083.14
2017,"00300870",5284556,3249134.64
2017,"00301311",13871492.31,7514515.33
2017,"00301493",6447941.24,4998342.52
2017,"00301825",57250121.88,37286859.85
2017,"00302724",42838440.66,36412674.48
2017,"00303038",73484962.26,62462217.9
2017,"00303461",17297590.12,8258597.9
2017,"00303640",30273646.85,12980658.72
2017,"00304271",18009201.94,13187383.2
2017,"00304387",44510560.67,29925203.37
2017,"00304450",44177331.4,20452581.92
2017,"00845451",225746509.89,138872063.09
2017,"44992785",603623449.99,422381392.28
2018,"00075370",251838783,213527212.42
2018,"00081531",21823576.37,18550039.78
2018,"00231401",222222222,188888888.7
2018,"00232947",6201690.27,5891605.74
2018,"00233129",106841166.05,85124421
2018,"00233242",7964925.89,7168433.3
2018,"00234516",46988259.58,39940020.51
2018,"00234877",43216032.49,36878758.4
2018,"00235334",29511385.27,25084677.34
2018,"00235440",78096606.17,66382115.21
2018,"00236021",4828720.05,1448616.01
2018,"00236195",30828167.45,26203942.3
2018,"00236977",47464241.54,37540404.12
2018,"00237051",1314165.52,788499.31
2018,"00237108",6965671.43,5920820.71
2018,"00238295",160489711.75,104176281.25
2018,"00238309",53684946.66,46056290.96
2018,"00239402",15676955.33,11336475.79
2018,"00239500",1604210.52,1523999.99
2018,"00239640",16497075.85,6922523.43
2018,"00240079",8872273.4,7541432.39
2018,"00240702",125211307.33,105929813.75
2018,"00241121",8390013.3,7131511.3
2018,"00242098",45229544.26,31279762.96
2018,"00243132",41149899.14,34977414.19
2018,"00243272",8755924.38,7442535.71
2018,"00244309",15867559.52,13487425.59
2018,"00244732",73010932.23,62059292.32
2018,"00245551",1424992.31,1353742.69
2018,"00245585",24522320.84,20945631.54
2018,"00245836",21509540.95,18094008
2018,"00245941",3804558.65,3503874.63
2018,"00246476",64837617.76,50419658.78
2018,"00246875",6246439.57,5309473.63
2018,"00247618",2e+06,1900000
2018,"00248266",7253744.6,5373936.42
2018,"00248801",6143450,5836277.5
2018,"00249831",3052497.17,2594622.55
2018,"00249998",55428081.68,46751933.51
2018,"00250627",7090545,6576963.25
2018,"00250805",1969139.19,1870682.23
2018,"00250996",1781106.27,1068663.76
