"","year","Identification.number.of.the.beneficiary","Total.eligible.expenditures.charged.in.payment.applications","Expenditures.charged.in.payment.application...Union.support"
"860","2020","00304387",17742035.11,10564366.09
"861","2020","00304450",6839857.5,2735943
"862","2020","00845451",114810443.38,65617942.82
"863","2020","44992785",328418191.72,276874361.86
"864","2021","00075370",35434831.93,30119607.12
"865","2021","00081531",0,0
"866","2021","00231401",1052755.11,894841.82
"867","2021","00232963",0,0
"868","2021","00234877",0,0
"869","2021","00235334",2600141.51,2470134.43
"870","2021","00236021",738561.2,627777
"871","2021","00237051",1212922.97,1130984.51
"872","2021","00238295",0,0
"873","2021","00239402",1005268.54,854478.25
"874","2021","00239500",911667.5,774917.37
"875","2021","00240079",0,0
"876","2021","00240702",0,0
"877","2021","00241121",0,0
"878","2021","00243272",0,0
"879","2021","00244309",0,0
"880","2021","00244732",19535349,16605046.65
"881","2021","00245585",0,0
"882","2021","00245941",0,0
"883","2021","00246476",7271894.84,5075945.27
"884","2021","00247618",1124056.56,1067853.73
"885","2021","00248789",0,0
"886","2021","00248801",0,0
"887","2021","00249831",6039167.63,3339437.07
"888","2021","00249998",794212.5,675080.62
"889","2021","00250627",285208.5,242427.21
"890","2021","00251810",0,0
"891","2021","00251984",2461360.88,738408.26
"892","2021","00253014",325238.07,276452.33
"893","2021","00253316",12654171.98,10756046.18
"894","2021","00253383",9310848.97,8845306.52
"895","2021","00253901",510399.78,484879.79
"896","2021","00254061",3790000,3600499.98
"897","2021","00254657",4958283.34,4214540.83
"898","2021","00254843",4078940.94,3701970.37
"899","2021","00255661",22479815.38,19107843.07
"900","2021","00257125",0,0
"901","2021","00257265",2215247.48,2104485.09
"902","2021","00257966",988939.86,939492.86
"903","2021","00258199",0,0
"904","2021","00259047",0,0
"905","2021","00259586",0,0
"906","2021","00260177",11504846.94,4601938.77
"907","2021","00261238",0,0
"908","2021","00261602",2000802.85,1900762.7
"909","2021","00261891",4011512,3409785.2
"910","2021","00262340",0,0
"911","2021","00262633",9418538.49,2825561.54
"912","2021","00262781",5475624.57,5201843.34
"913","2021","00262978",36343175.61,30891699.23
"914","2021","00263958",2777492.91,2360868.97
"915","2021","00263991",1188293,1010049.01
"916","2021","00264334",0,0
"917","2021","00265781",524769,498530.55
"918","2021","00266027",316363.12,268908.64
"919","2021","00266094",2416044.5,2053637.82
"920","2021","00266230",105967.96,90072.75
"921","2021","00266621",45136324.63,38365875.92
"922","2021","00267449",1814290.5,1723575.97
"923","2021","00267538",0,0
"924","2021","00268810",6503607.91,5528066.72
"925","2021","00269247",399995,339995.75
"926","2021","00270059",0,0
"927","2021","00270211",7312408.81,6312579.99
"928","2021","00271560",0,0
"929","2021","00271632",5466155.3,4080142.62
"930","2021","00272523",0,0
"931","2021","00272876",1846999.99,1754649.99
"932","2021","00273571",350000,297500
"933","2021","00274046",63618882,54076049.68
"934","2021","00274101",0,0
"935","2021","00274879",1077500,1023625
"936","2021","00274968",799997.4,759997.53
"937","2021","00276111",0,0
"938","2021","00276944",1707528.95,1622152.5
"939","2021","00277177",0,0
"940","2021","00277819",1645351.33,1398548.61
"941","2021","00278475",0,0
"942","2021","00278653",8880606.68,7548515.67
"943","2021","00279072",250313.05,212766.09
"944","2021","00279102",0,0
"945","2021","00279773",0,0
"946","2021","00279846",0,0
"947","2021","00279943",0,0
"948","2021","00279978",804998.42,684248.63
"949","2021","00281859",2299597.87,2184617.97
"950","2021","00281964",0,0
"951","2021","00282481",2413519.49,1448111.68
"952","2021","00282707",825416.2,701603.77
"953","2021","00282979",225416.59,135249.95
"954","2021","00283061",5359612.68,5091632.04
"955","2021","00283193",15673301.38,13322306.16
"956","2021","00283347",0,0
"957","2021","00283509",1229299.4,1044904.49
"958","2021","00283924",2803500.79,2151451.39
"959","2021","00284165",0,0
"960","2021","00284301",0,0
"961","2021","00284611",5519173.55,4691297.51
"962","2021","00284653",0,0
"963","2021","00285030",2416506.49,2295681.16
"964","2021","00285455",4274225.5,3633091.66
"965","2021","00286010",5935152.67,5044879.76
"966","2021","00287113",2426494.35,2305169.62
"967","2021","00287172",60041.25,51035.06
"968","2021","00287351",0,0
"969","2021","00288365",6e+05,570000
"970","2021","00288659",398653.19,338855.21
"971","2021","00289931",929740.56,790279.46
"972","2021","00290629",3262218.37,2772885.6
"973","2021","00291463",1486137.21,1263216.62
"974","2021","00291471",0,0
"975","2021","00291676",27272.5,23181.62
"976","2021","00292311",895226.25,760942.3
"977","2021","00293199",0,0
"978","2021","00293881",0,0
"979","2021","00294136",302645,257248.25
"980","2021","00295841",125847.5,106970.37
"981","2021","00296139",0,0
"982","2021","00296643",4284850.1,3642122.57
"983","2021","00296651",0,0
"984","2021","00297313",0,0
"985","2021","00297488",792965,674020.25
"986","2021","00297569",0,0
"987","2021","00297577",62617.5,53224.87
"988","2021","00297852",2500000,2375000
"989","2021","00298077",6608909.21,5967538.98
"990","2021","00298212",4654510.65,2919913.18
"991","2021","00298221",2226994.37,2066045.38
"992","2021","00299308",8202053.2,6971745.2
"993","2021","00299529",0,0
"994","2021","00299634",0,0
"995","2021","00300063",0,0
"996","2021","00300292",0,0
"997","2021","00300535",7381804.42,2952721.76
"998","2021","00300870",1927077.32,578123.19
"999","2021","00301311",5026502.41,4080243.44
"1000","2021","00301825",11234005.92,4493602.36
"1001","2021","00303038",0,0
"1002","2021","00303461",679112.5,577245.62
"1003","2021","00304271",1622135,1378814.74
"1004","2021","00304387",1058413.11,1005492.45
"1005","2021","00304450",3350925.64,2848286.77
"1006","2021","00845451",28087089,11444797.38
"1007","2021","44992785",65439318.03,55623420.31
"1008","2022","00081531",749436.5,637021.02
"1009","2022","00233129",0,0
"1010","2022","00234516",0,0
"1011","2022","00238295",0,0
"1012","2022","00242098",0,0
"1013","2022","00244732",0,0
"1014","2022","00245551",1141845.14,1084752.88
"1015","2022","00248801",0,0
"1016","2022","00253014",0,0
"1017","2022","00253901",0,0
"1018","2022","00254657",0,0
"1019","2022","00256455",0,0
"1020","2022","00257125",0,0
"1021","2022","00257966",0,0
"1022","2022","00259047",0,0
"1023","2022","00259586",0,0
"1024","2022","00260231",0,0
"1025","2022","00261602",0,0
"1026","2022","00262978",0,0
"1027","2022","00265781",0,0
"1028","2022","00267538",0,0
"1029","2022","00268810",0,0
"1030","2022","00271560",0,0
"1031","2022","00274046",0,0
"1032","2022","00274101",0,0
"1033","2022","00275808",0,0
"1034","2022","00277444",0,0
"1035","2022","00279773",0,0
"1036","2022","00282651",0,0
"1037","2022","00283061",0,0
"1038","2022","00283347",0,0
"1039","2022","00283924",0,0
"1040","2022","00284165",0,0
"1041","2022","00286010",0,0
"1042","2022","00287113",689698.98,655214.03
"1043","2022","00287172",0,0
"1044","2022","00288365",0,0
"1045","2022","00289931",0,0
"1046","2022","00290629",0,0
"1047","2022","00292311",0,0
"1048","2022","00293199",0,0
"1049","2022","00294900",3995102.12,3795347.01
"1050","2022","00296643",635533.5,540203.47
"1051","2022","00297534",0,0
"1052","2022","00297577",0,0
"1053","2022","00298212",0,0
"1054","2022","00299308",0,0
"1055","2022","00299634",0,0
"1056","2022","00302724",0,0
"1057","2022","00303038",0,0
"1058","2022","00304271",6600000,6270000
"1059","2022","00845451",0,0
"1060","2022","44992785",0,0
