"","ico","year","class_of_revenue","Revenue_CZK"
"131",250996,2007,"Nedaňové příjmy",11585080
"132",251810,2007,"Daňové příjmy",264792310
"133",251810,2007,"Kapitálové příjmy",26241080
"134",251810,2007,"Nedaňové příjmy",65389350
"135",251984,2007,"Daňové příjmy",67388300
"136",251984,2007,"Kapitálové příjmy",13014850
"137",251984,2007,"Nedaňové příjmy",16791820
"138",252921,2007,"Daňové příjmy",69480300
"139",252921,2007,"Kapitálové příjmy",497700
"140",252921,2007,"Nedaňové příjmy",18882160
"141",253014,2007,"Daňové příjmy",423244500
"142",253014,2007,"Kapitálové příjmy",56382000
"143",253014,2007,"Nedaňové příjmy",184638370
"144",253316,2007,"Daňové příjmy",140230530
"145",253316,2007,"Kapitálové příjmy",8559990
"146",253316,2007,"Nedaňové příjmy",58137380
"147",253383,2007,"Daňové příjmy",58172300
"148",253383,2007,"Kapitálové příjmy",5294790
"149",253383,2007,"Nedaňové příjmy",8580400
"150",253901,2007,"Daňové příjmy",128810050
"151",253901,2007,"Kapitálové příjmy",19416440
"152",253901,2007,"Nedaňové příjmy",30109910
"153",253979,2007,"Daňové příjmy",376876030
"154",253979,2007,"Kapitálové příjmy",33952010
"155",253979,2007,"Nedaňové příjmy",116842400
"156",254061,2007,"Daňové příjmy",174996920
"157",254061,2007,"Kapitálové příjmy",46892920
"158",254061,2007,"Nedaňové příjmy",52715580
"159",254657,2007,"Daňové příjmy",669069120
"160",254657,2007,"Kapitálové příjmy",15582520
"161",254657,2007,"Nedaňové příjmy",76794520
"162",254843,2007,"Daňové příjmy",172744470
"163",254843,2007,"Kapitálové příjmy",13225900
"164",254843,2007,"Nedaňové příjmy",76327920
"165",255513,2007,"Daňové příjmy",57271900
"166",255513,2007,"Kapitálové příjmy",11160600
"167",255513,2007,"Nedaňové příjmy",24673560
"168",255661,2007,"Daňové příjmy",231553230
"169",255661,2007,"Kapitálové příjmy",6860070
"170",255661,2007,"Nedaňové příjmy",72231210
"171",256129,2007,"Daňové příjmy",124522930
"172",256129,2007,"Kapitálové příjmy",389530
"173",256129,2007,"Nedaňové příjmy",58708360
"174",256455,2007,"Daňové příjmy",37683670
"175",256455,2007,"Kapitálové příjmy",7537010
"176",256455,2007,"Nedaňové příjmy",5957370
"177",256986,2007,"Daňové příjmy",35849570
"178",256986,2007,"Kapitálové příjmy",4341660
"179",256986,2007,"Nedaňové příjmy",25476670
"180",257125,2007,"Daňové příjmy",66217400
"181",257125,2007,"Kapitálové příjmy",14719570
"182",257125,2007,"Nedaňové příjmy",21170590
"183",257265,2007,"Daňové příjmy",38459270
"184",257265,2007,"Kapitálové příjmy",448440
"185",257265,2007,"Nedaňové příjmy",16483760
"186",257966,2007,"Daňové příjmy",35251430
"187",257966,2007,"Kapitálové příjmy",6801130
"188",257966,2007,"Nedaňové příjmy",10124120
"189",258199,2007,"Daňové příjmy",68633780
"190",258199,2007,"Kapitálové příjmy",5500730
"191",258199,2007,"Nedaňové příjmy",12380450
"192",259047,2007,"Daňové příjmy",174508180
"193",259047,2007,"Kapitálové příjmy",41919460
"194",259047,2007,"Nedaňové příjmy",49763670
"195",259438,2007,"Daňové příjmy",61950250
"196",259438,2007,"Kapitálové příjmy",9011350
"197",259438,2007,"Nedaňové příjmy",14290490
"198",259586,2007,"Daňové příjmy",244249690
"199",259586,2007,"Kapitálové příjmy",15827030
"200",259586,2007,"Nedaňové příjmy",114140470
"201",260177,2007,"Daňové příjmy",81258180
"202",260177,2007,"Kapitálové příjmy",3665640
"203",260177,2007,"Nedaňové příjmy",17498290
"204",260231,2007,"Daňové příjmy",129992780
"205",260231,2007,"Kapitálové příjmy",14889390
"206",260231,2007,"Nedaňové příjmy",27189710
"207",260428,2007,"Daňové příjmy",409871580
"208",260428,2007,"Kapitálové příjmy",33495420
"209",260428,2007,"Nedaňové příjmy",72232220
"210",260771,2007,"Daňové příjmy",130734500
"211",260771,2007,"Kapitálové příjmy",12049060
"212",260771,2007,"Nedaňové příjmy",7506410
"213",261238,2007,"Daňové příjmy",589342070
"214",261238,2007,"Kapitálové příjmy",46266920
"215",261238,2007,"Nedaňové příjmy",33899730
"216",261602,2007,"Daňové příjmy",117427340
"217",261602,2007,"Kapitálové příjmy",18722170
"218",261602,2007,"Nedaňové příjmy",24828110
"219",261718,2007,"Daňové příjmy",160605290
"220",261718,2007,"Kapitálové příjmy",24171150
"221",261718,2007,"Nedaňové příjmy",33927960
"222",261891,2007,"Daňové příjmy",572964750
"223",261891,2007,"Kapitálové příjmy",55670160
"224",261891,2007,"Nedaňové příjmy",64673140
"225",261912,2007,"Daňové příjmy",232426910
"226",261912,2007,"Kapitálové příjmy",47801490
"227",261912,2007,"Nedaňové příjmy",21320960
"228",262340,2007,"Daňové příjmy",501284490
"229",262340,2007,"Kapitálové příjmy",30774650
"230",262340,2007,"Nedaňové příjmy",174871170
"231",262587,2007,"Daňové příjmy",68273280
"232",262587,2007,"Kapitálové příjmy",5161700
"233",262587,2007,"Nedaňové příjmy",13858520
"234",262633,2007,"Daňové příjmy",62100280
"235",262633,2007,"Kapitálové příjmy",2536560
"236",262633,2007,"Nedaňové příjmy",24574090
"237",262781,2007,"Daňové příjmy",77886610
"238",262781,2007,"Kapitálové příjmy",8902460
"239",262781,2007,"Nedaňové příjmy",17491090
"240",262978,2007,"Daňové příjmy",1189955800
"241",262978,2007,"Kapitálové příjmy",346468980
"242",262978,2007,"Nedaňové příjmy",105937200
"243",263958,2007,"Daňové příjmy",255373410
"244",263958,2007,"Kapitálové příjmy",77470030
"245",263958,2007,"Nedaňové příjmy",37479200
"246",263991,2007,"Daňové příjmy",92109210
"247",263991,2007,"Kapitálové příjmy",95027450
"248",263991,2007,"Nedaňové příjmy",29101480
"249",264334,2007,"Daňové příjmy",137119340
"250",264334,2007,"Nedaňové příjmy",36006980
"251",265209,2007,"Daňové příjmy",191129880
"252",265209,2007,"Kapitálové příjmy",8895070
"253",265209,2007,"Nedaňové příjmy",40204460
"254",265365,2007,"Daňové příjmy",59881490
"255",265365,2007,"Kapitálové příjmy",45522380
"256",265365,2007,"Nedaňové příjmy",8195310
"257",265781,2007,"Daňové příjmy",204672510
"258",265781,2007,"Kapitálové příjmy",76596970
"259",265781,2007,"Nedaňové příjmy",49594560
"260",266027,2007,"Daňové příjmy",302696070
"261",266027,2007,"Kapitálové příjmy",78403270
"262",266027,2007,"Nedaňové příjmy",48370320
"263",266094,2007,"Daňové příjmy",772232840
"264",266094,2007,"Kapitálové příjmy",43360460
"265",266094,2007,"Nedaňové příjmy",145034790
"266",266230,2007,"Daňové příjmy",160802100
"267",266230,2007,"Kapitálové příjmy",6687240
"268",266230,2007,"Nedaňové příjmy",74049150
"269",266621,2007,"Daňové příjmy",632868490
"270",266621,2007,"Kapitálové příjmy",15532360
"271",266621,2007,"Nedaňové příjmy",63478360
"272",267449,2007,"Daňové příjmy",277759010
"273",267449,2007,"Kapitálové příjmy",57389910
"274",267449,2007,"Nedaňové příjmy",88137360
"275",267538,2007,"Daňové příjmy",86876030
"276",267538,2007,"Kapitálové příjmy",8134250
"277",267538,2007,"Nedaňové příjmy",11426400
"278",268321,2007,"Daňové příjmy",66085570
"279",268321,2007,"Kapitálové příjmy",1794350
"280",268321,2007,"Nedaňové příjmy",10790230
"281",268810,2007,"Daňové příjmy",1187215940
"282",268810,2007,"Kapitálové příjmy",330519470
"283",268810,2007,"Nedaňové příjmy",330992740
"284",269247,2007,"Daňové příjmy",70012540
"285",269247,2007,"Kapitálové příjmy",10748170
"286",269247,2007,"Nedaňové příjmy",26004300
"287",270059,2007,"Daňové příjmy",106675310
"288",270059,2007,"Kapitálové příjmy",4039020
"289",270059,2007,"Nedaňové příjmy",31912550
"290",270211,2007,"Daňové příjmy",247972990
"291",270211,2007,"Kapitálové příjmy",8432930
"292",270211,2007,"Nedaňové příjmy",32050270
"293",271560,2007,"Daňové příjmy",81139320
"294",271560,2007,"Kapitálové příjmy",3911740
"295",271560,2007,"Nedaňové příjmy",20520880
"296",271632,2007,"Daňové příjmy",215398280
"297",271632,2007,"Kapitálové příjmy",175305880
"298",271632,2007,"Nedaňové příjmy",38294740
"299",271888,2007,"Daňové příjmy",79460770
"300",271888,2007,"Kapitálové příjmy",5621090
"301",271888,2007,"Nedaňové příjmy",32338580
"302",272523,2007,"Daňové příjmy",72477400
"303",272523,2007,"Kapitálové příjmy",8681870
"304",272523,2007,"Nedaňové příjmy",31524540
"305",272728,2007,"Daňové příjmy",128336630
"306",272728,2007,"Kapitálové příjmy",21562080
"307",272728,2007,"Nedaňové příjmy",50446740
"308",272868,2007,"Daňové příjmy",221470570
"309",272868,2007,"Kapitálové příjmy",29736300
"310",272868,2007,"Nedaňové příjmy",19408920
"311",272876,2007,"Daňové příjmy",94332430
"312",272876,2007,"Kapitálové příjmy",1327490
"313",272876,2007,"Nedaňové příjmy",19287410
"314",273571,2007,"Daňové příjmy",61005800
"315",273571,2007,"Kapitálové příjmy",1384240
"316",273571,2007,"Nedaňové příjmy",20254670
"317",274046,2007,"Daňové příjmy",1053976180
"318",274046,2007,"Kapitálové příjmy",104568360
"319",274046,2007,"Nedaňové příjmy",87076810
"320",274101,2007,"Daňové příjmy",85230720
"321",274101,2007,"Kapitálové příjmy",13490080
"322",274101,2007,"Nedaňové příjmy",12081380
"323",274879,2007,"Daňové příjmy",83371210
"324",274879,2007,"Kapitálové příjmy",4257280
"325",274879,2007,"Nedaňové příjmy",25316610
"326",274968,2007,"Daňové příjmy",59264980
"327",274968,2007,"Kapitálové příjmy",4779480
"328",274968,2007,"Nedaňové příjmy",13390090
"329",275336,2007,"Daňové příjmy",128631810
"330",275336,2007,"Kapitálové příjmy",15718280
"331",275336,2007,"Nedaňové příjmy",48358670
"332",275808,2007,"Daňové příjmy",64423990
"333",275808,2007,"Kapitálové příjmy",5901400
"334",275808,2007,"Nedaňové příjmy",25781090
"335",276111,2007,"Daňové příjmy",81729400
"336",276111,2007,"Kapitálové příjmy",77300
"337",276111,2007,"Nedaňové příjmy",23321810
"338",276227,2007,"Daňové příjmy",186553250
"339",276227,2007,"Kapitálové příjmy",18416350
"340",276227,2007,"Nedaňové příjmy",51779690
"341",276944,2007,"Daňové příjmy",115602290
"342",276944,2007,"Kapitálové příjmy",20049810
"343",276944,2007,"Nedaňové příjmy",73195000
"344",277037,2007,"Daňové příjmy",111592760
"345",277037,2007,"Kapitálové příjmy",3910320
"346",277037,2007,"Nedaňové příjmy",19908330
"347",277177,2007,"Daňové příjmy",98220760
"348",277177,2007,"Kapitálové příjmy",24193720
"349",277177,2007,"Nedaňové příjmy",48173460
"350",277444,2007,"Daňové příjmy",188531990
"351",277444,2007,"Kapitálové příjmy",45096460
"352",277444,2007,"Nedaňové příjmy",66641740
"353",277819,2007,"Daňové příjmy",166988210
"354",277819,2007,"Kapitálové příjmy",29591990
"355",277819,2007,"Nedaňové příjmy",66397850
"356",278360,2007,"Daňové příjmy",331256370
"357",278360,2007,"Kapitálové příjmy",49951810
"358",278360,2007,"Nedaňové příjmy",68889690
"359",278475,2007,"Daňové příjmy",132237730
"360",278475,2007,"Kapitálové příjmy",16087470
"361",278475,2007,"Nedaňové příjmy",19846880
"362",278653,2007,"Daňové příjmy",154295070
"363",278653,2007,"Kapitálové příjmy",25757350
"364",278653,2007,"Nedaňové příjmy",17176120
"365",279072,2007,"Daňové příjmy",42828110
"366",279072,2007,"Kapitálové příjmy",5680970
"367",279072,2007,"Nedaňové příjmy",7287200
"368",279102,2007,"Daňové příjmy",93850270
"369",279102,2007,"Kapitálové příjmy",19853770
"370",279102,2007,"Nedaňové příjmy",31400460
"371",279676,2007,"Daňové příjmy",146274770
"372",279676,2007,"Kapitálové příjmy",27043940
"373",279676,2007,"Nedaňové příjmy",20961440
"374",279773,2007,"Daňové příjmy",143346390
"375",279773,2007,"Kapitálové příjmy",17195160
"376",279773,2007,"Nedaňové příjmy",25744540
"377",279846,2007,"Daňové příjmy",65662460
"378",279846,2007,"Kapitálové příjmy",10770250
"379",279846,2007,"Nedaňové příjmy",11959570
"380",279943,2007,"Daňové příjmy",211168370
"381",279943,2007,"Kapitálové příjmy",10328660
"382",279943,2007,"Nedaňové příjmy",51875300
"383",279978,2007,"Daňové příjmy",127386740
"384",279978,2007,"Kapitálové příjmy",24990350
"385",279978,2007,"Nedaňové příjmy",30976540
"386",281859,2007,"Daňové příjmy",82888280
"387",281859,2007,"Kapitálové příjmy",498860
"388",281859,2007,"Nedaňové příjmy",5799090
"389",281964,2007,"Daňové příjmy",93362970
"390",281964,2007,"Kapitálové příjmy",4209450
"391",281964,2007,"Nedaňové příjmy",32798350
