"ico","year","Tax_revenue_CZK","Capital_revenue_CZK","Non_tax_revenue_CZK"
300535,2011,679319467.57,20668256.7,140093646.72
300535,2012,695563532.9,68481848.06,120185775.63
300535,2013,758865108.84,15384608.95,117105005.18
300535,2014,777910400.14,31721199.94,122063928.04
300535,2015,816209314.13,13472822.74,128631220.3
300535,2016,871571967.91,95725880.01,129164998.47
300535,2017,970409793.9,43860560.3,134217737.81
300535,2018,1018857484.83,18572616.61,136614941.74
300535,2019,1063035923.06,14773504.7,271811022.09
300535,2020,1000706354.81,73770760.22,131726939.2
300870,2007,55508190,3330210,17980710
300870,2008,61203880,10565990,19152280
300870,2009,53886150,3171530,20453490
300870,2010,56779360,13052830,21778180
300870,2011,57053993.6,3419934,23134570.17
300870,2012,57723250.1,2452496,24975309.34
300870,2013,70929773.56,868990,23273464.29
300870,2014,75869139.5,2642480,30739188.55
300870,2015,78132013.89,3908711,27479432.98
300870,2016,80786077.71,832224,24290949.74
300870,2017,88748068.67,1443780,26531166.35
300870,2018,96701266.88,1192115.5,27086749.24
300870,2019,101246329.12,3329138.5,27001401.73
300870,2020,94390923.29,2764347,25135202.37
301311,2007,217695010,41866660,37340510
301311,2008,219963050,30667180,40106880
301311,2009,204797700,17313380,29302420
301311,2010,197409680,7273720,27223040
301311,2011,193629755.27,9108048.2,28192258.81
301311,2012,203831271.33,8056631,26620029.82
301311,2013,228890786.8,38895537,24278500.13
301311,2014,244855973.5,3345964.5,20698227.53
301311,2015,239956135.21,2417634.2,26245536.91
301311,2016,250405993.51,798596,27576047.09
301311,2017,264399755.55,2465350,24837961.38
301311,2018,293439328.51,1864551.6,44797421.03
301311,2019,312060719.4,935796.4,44170943.64
301311,2020,289729012.87,12000361,45345571.9
301493,2007,79120220,10099300,23526880
301493,2008,92275610,25734370,26640700
301493,2009,82376540,22456690,27831240
301493,2010,84647290,7481430,28162300
301493,2011,88806305.86,2625709,26272107.15
301493,2012,81848997.72,1554322,24192338.33
301493,2013,102217121.06,710346,24216371.54
301493,2014,109137895.31,2205161,27431612.38
301493,2015,114026124.51,1968352,28106568.5
301493,2016,127467086.38,91077,27862937.92
301493,2017,134711454.99,570454,28341308.49
301493,2018,142134700.03,20306973.5,29035790.62
301493,2019,147315946.83,196389,31624124.35
301493,2020,138362277.31,21812353,33221310.39
301825,2007,539955470,19615320,97892020
301825,2008,574697830,79633100,115243050
301825,2009,498359780,47033770,123411480
301825,2010,512521590,97674340,140703920
301825,2011,497590133.25,58041232.1,112063771.11
301825,2012,525052795.87,56201762.81,113925724.8
301825,2013,556201469.96,21781786.29,126739065.24
301825,2014,592103496.63,25437117,114478970.62
301825,2015,600889924.58,26196866.5,124817795.82
301825,2016,636426240.63,3221736,128034939.42
301825,2017,675512916.14,8227233.6,124953461.91
301825,2018,734945460.02,15948157.7,133487563.27
301825,2019,785099836.02,18628661.07,140201268.54
301825,2020,741027572.97,16691877.3,216597715.32
302724,2007,127697310,9536690,40048810
302724,2008,138880260,7046100,40578710
302724,2009,118400580,4196340,43676700
302724,2010,121672930,26431570,43894770
302724,2011,124025820.51,69168930,35634164.25
302724,2012,132574756.59,49605027.8,19211707.51
302724,2013,152726480.42,14747537.22,26761395.01
302724,2014,156616472.95,4249013,27446894.6
302724,2015,157869515.44,7080089.18,29219662.37
302724,2016,169110331.67,11039012,28152212.31
302724,2017,184363196.36,10358760,33398288.63
302724,2018,188229477.77,2632383,34693016.56
302724,2019,195655539.08,8282412.14,38103852.81
302724,2020,181939418.99,24776543.04,38231687.52
303038,2007,91428850,10691250,11739310
303038,2008,104185630,21441110,11399430
303038,2009,93492530,9487820,12804170
303038,2010,94707690,331750,12715720
303038,2011,92863404.4,16890229,12659931.76
303038,2012,102019472.85,7641411,16605116.1
303038,2013,117727121.24,9298856.01,15070848.25
303038,2014,122982098.06,5018802.98,15633608.34
303038,2015,124887899.64,1588813.74,20349756.1
303038,2016,134893779.39,42436896,18599026.71
303038,2017,153147930.96,40167107.4,20086627.13
303038,2018,166693642.33,21058849.62,16349435.92
303038,2019,173606868.94,21077054,18498537.69
303038,2020,165861155.25,3015708,21231551.54
303461,2007,289461920,143500,30042560
303461,2008,314937030,29591090,47529410
303461,2009,267602700,64355950,116972630
303461,2010,287186590,50748500,82021290
303461,2011,284693330.91,26953254.57,75331779.66
303461,2012,288852976.29,15022499.75,75339404.12
303461,2013,328636722.39,15857683.2,78685945.54
303461,2014,342284462.26,12744590.41,83506513.67
303461,2015,352815248.1,3912003,79055962.11
303461,2016,374047404.18,6768998.1,98760133.6
303461,2017,404754842.67,11402125.81,96428693.05
303461,2018,437596552.48,38344542.31,80295493.49
303461,2019,454749515.25,14154071.35,76926461.05
303461,2020,430411593.86,19495096.08,79910024.76
303640,2007,147845050,98052340,9101950
303640,2008,185642290,4217140,13349180
303640,2009,127059680,9510400,11145860
303640,2010,133913130,9010510,11701540
303640,2011,132819976.59,5426840,14447573.9
303640,2012,137396479.92,4273761,12418393.19
303640,2013,162589023.58,1156286,13080233.94
303640,2014,169655285.99,13718290,15690052.26
303640,2015,180308207.95,4710881.7,19089307.55
303640,2016,193688684.61,3496310.9,18321764.02
303640,2017,205957496.64,606847.5,17836327.73
303640,2018,223530843.94,5709070.2,18691383.48
303640,2019,236650557.53,15110302,21950855.21
303640,2020,218189583.36,2068562,13780643.18
304271,2007,169276690,20573820,27435280
304271,2008,184784770,14117160,28497820
304271,2009,157683650,2365610,8168470
304271,2010,164804580,695540,9337730
304271,2011,164193613.31,1319769,11352198.52
304271,2012,178636638.96,1200,7913136.22
304271,2013,206343335.57,NA,5804076.93
304271,2014,212362593.06,1393257,8996028.31
304271,2015,216394889.36,257387,10027596.08
304271,2016,236459969.1,994587,10517350.55
304271,2017,255609524.36,343373,9348240.16
304271,2018,272553167.23,3603316,11494955.01
304271,2019,290522264.09,238755,14243849.91
304271,2020,279102427.07,167356,21537758.1
304387,2007,291158040,54839620,48419170
304387,2008,316708190,34127290,53128830
304387,2009,269296040,38520290,74546170
304387,2010,277455280,27557400,84534890
304387,2011,274738627.61,13546368,67613799.44
304387,2012,301858133.24,14445474,53773093.1
304387,2013,302043701.51,25901980,68104316.72
304387,2014,311449140.74,6522586.7,56546764.84
304387,2015,320531120.65,25033256.5,62169116.26
304387,2016,344823622.71,7504277.1,64905008.88
304387,2017,368566220.42,4199938,74770028.57
304387,2018,393449708.11,18220733,87943030.45
304387,2019,417059585.13,913992,81731240.94
304387,2020,393184760.11,1293287,79760462.28
304450,2007,290325390,16577940,77949180
304450,2008,324404480,47724730,82875110
304450,2009,287921490,37451310,61429240
304450,2010,282763450,17828920,49635070
304450,2011,267462179.24,10202214.5,53964114.8
304450,2012,283495651.83,8688363,62061309.26
304450,2013,326468404.85,19161615,70040380.03
304450,2014,343792965.25,30786392.8,76854974.24
304450,2015,358021525.48,16071614.72,77613019.37
304450,2016,376789151.44,7259937.2,82154250.06
304450,2017,394232760.55,6237917.1,77561362.97
304450,2018,423822234.3,33533730.91,103119584.49
304450,2019,450356630.67,2371446.82,102881711.78
304450,2020,424482758.23,15089304.8,92269885.77
845451,2007,6524018490,522155530,1000660890
845451,2008,6813546040,419980110,1073052170
845451,2009,5889728440,343319540,1224931910
845451,2010,6030344020,391604670,1144684540
845451,2011,6059528600.28,301604963.72,1457718140.67
845451,2012,6118580807.48,545860530.33,1424326579.89
845451,2013,6314277553.16,504828959.27,1526654322.7
845451,2014,6521857121.08,178398665.38,1598674742.06
845451,2015,6509470650.44,179066514.88,1277523985.3
845451,2016,7053173292.56,331311694.52,1600129809.81
845451,2017,7468892874.53,81380576.92,1554007357.67
845451,2018,8106922370.68,72280634.15,1661807584.23
845451,2019,8645579924.27,392700038.06,1762510213.35
845451,2020,8081111331.76,233089381.29,1910240064.77
44992785,2007,7769741190,342106360,856964100
44992785,2008,8125109490,728376600,898065310
44992785,2009,7063483730,1077826530,1140145780
44992785,2010,7489353070,1575942950,996572170
44992785,2011,7585832570.61,829249670.82,1623512996.89
44992785,2012,7820373425.54,1391262622.05,891371455.41
44992785,2013,8081896974.71,913080064.56,949245768.57
44992785,2014,8217906801.09,852147156,866539842.18
44992785,2015,8263451568.52,289426858,945213062.16
44992785,2016,8969707851.07,891940673.1,821504905.97
44992785,2017,9704580739.69,247262715.51,794301449.53
44992785,2018,10601270475.85,236247459.32,920037927.49
44992785,2019,11479657870.39,335155493.86,887242441.67
44992785,2020,10751373675.51,236722253.11,917369991.27
