"year","municipality_id","municipality_name","vote_percentage","party_id","party_name","party_name_short","winer","coallition"
2006,4213,"Teplice",40.43,53,"Občanská demokratická strana","ODS",1,1
2006,4214,"Ústí nad Labem",40.37,53,"Občanská demokratická strana","ODS",1,1
2006,4215,"Varnsdorf",37.22,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,4216,"Žatec",36.04,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5101,"Česká Lípa",36.2,53,"Občanská demokratická strana","ODS",1,1
2006,5102,"Frýdlant",33.97,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5103,"Jablonec nad Nisou",45.04,53,"Občanská demokratická strana","ODS",1,1
2006,5104,"Jilemnice",39.77,53,"Občanská demokratická strana","ODS",1,1
2006,5105,"Liberec",40.44,53,"Občanská demokratická strana","ODS",1,1
2006,5106,"Nový Bor",43.42,53,"Občanská demokratická strana","ODS",1,1
2006,5107,"Semily",36.23,53,"Občanská demokratická strana","ODS",1,1
2006,5108,"Tanvald",37.03,53,"Občanská demokratická strana","ODS",1,1
2006,5109,"Turnov",43.98,53,"Občanská demokratická strana","ODS",1,1
2006,5110,"Železný Brod",45.41,53,"Občanská demokratická strana","ODS",1,1
2006,5201,"Broumov",33.83,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5202,"Dobruška",33.34,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5203,"Dvůr Králové nad Labem",41.49,53,"Občanská demokratická strana","ODS",1,1
2006,5204,"Hořice",38.51,53,"Občanská demokratická strana","ODS",1,1
2006,5205,"Hradec Králové",41.58,53,"Občanská demokratická strana","ODS",1,1
2006,5206,"Jaroměř",35.51,53,"Občanská demokratická strana","ODS",1,1
2006,5207,"Jičín",38.91,53,"Občanská demokratická strana","ODS",1,1
2006,5208,"Kostelec nad Orlicí",39.48,53,"Občanská demokratická strana","ODS",1,1
2006,5209,"Náchod",39.36,53,"Občanská demokratická strana","ODS",1,1
2006,5210,"Nová Paka",40.17,53,"Občanská demokratická strana","ODS",1,1
2006,5211,"Nové Město nad Metují",40.01,53,"Občanská demokratická strana","ODS",1,1
2006,5212,"Nový Bydžov",34.86,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5213,"Rychnov nad Kněžnou",34.18,53,"Občanská demokratická strana","ODS",1,1
2006,5214,"Trutnov",40.7,53,"Občanská demokratická strana","ODS",1,1
2006,5215,"Vrchlabí",43.92,53,"Občanská demokratická strana","ODS",1,1
2006,5301,"Česká Třebová",39.96,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5302,"Hlinsko",34.79,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5303,"Holice",37.76,53,"Občanská demokratická strana","ODS",1,1
2006,5304,"Chrudim",37.92,53,"Občanská demokratická strana","ODS",1,1
2006,5305,"Králíky",37.8,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5306,"Lanškroun",38.73,53,"Občanská demokratická strana","ODS",1,1
2006,5307,"Litomyšl",38.56,53,"Občanská demokratická strana","ODS",1,1
2006,5308,"Moravská Třebová",40.6,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5309,"Pardubice",40.29,53,"Občanská demokratická strana","ODS",1,1
2006,5310,"Polička",36.84,53,"Občanská demokratická strana","ODS",1,1
2006,5311,"Přelouč",35.41,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5312,"Svitavy",39.89,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,5313,"Ústí nad Orlicí",37.31,53,"Občanská demokratická strana","ODS",1,1
2006,5314,"Vysoké Mýto",36.79,53,"Občanská demokratická strana","ODS",1,1
2006,5315,"Žamberk",43.52,53,"Občanská demokratická strana","ODS",1,1
2006,6101,"Bystřice nad Pernštejnem",48.05,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6102,"Havlíčkův Brod",34.91,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6103,"Humpolec",33.16,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6104,"Chotěboř",35.44,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6105,"Jihlava",34.65,53,"Občanská demokratická strana","ODS",1,1
2006,6106,"Moravské Budějovice",34.2,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6107,"Náměšť nad Oslavou",40.12,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6108,"Nové Město na Moravě",38.23,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6109,"Pacov",35.5,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6110,"Pelhřimov",36.2,53,"Občanská demokratická strana","ODS",1,1
2006,6111,"Světlá nad Sázavou",33.45,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6112,"Telč",32.74,53,"Občanská demokratická strana","ODS",1,1
2006,6113,"Třebíč",34.33,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6114,"Velké Meziříčí",38.28,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6115,"Žďár nad Sázavou",37.8,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6201,"Blansko",36.54,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6202,"Boskovice",38.67,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6203,"Brno",37.74,53,"Občanská demokratická strana","ODS",1,1
2006,6204,"Břeclav",33.46,53,"Občanská demokratická strana","ODS",1,1
2006,6205,"Bučovice",39.78,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6206,"Hodonín",35.91,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6207,"Hustopeče",35.42,53,"Občanská demokratická strana","ODS",1,1
2006,6208,"Ivančice",30.26,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6209,"Kuřim",35.62,53,"Občanská demokratická strana","ODS",1,1
2006,6210,"Kyjov",33.83,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6211,"Mikulov",32.57,53,"Občanská demokratická strana","ODS",1,1
2006,6212,"Moravský Krumlov",32.87,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6213,"Pohořelice",32.57,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6214,"Rosice",32,53,"Občanská demokratická strana","ODS",1,1
2006,6215,"Slavkov u Brna",34.41,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6216,"Šlapanice",34.76,53,"Občanská demokratická strana","ODS",1,1
2006,6217,"Tišnov",35.72,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6218,"Veselí nad Moravou",36.95,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6219,"Vyškov",41.19,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6220,"Znojmo",34.2,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,6221,"Židlochovice",34.59,53,"Občanská demokratická strana","ODS",1,1
2006,7101,"Hranice",34.83,53,"Občanská demokratická strana","ODS",1,1
2006,7102,"Jeseník",35.23,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7103,"Konice",39.63,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7104,"Lipník nad Bečvou",34.56,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7105,"Litovel",41.67,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7106,"Mohelnice",35.41,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7107,"Olomouc",36.25,53,"Občanská demokratická strana","ODS",1,1
2006,7108,"Prostějov",36.57,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7109,"Přerov",39.46,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7110,"Šternberk",35.2,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7111,"Šumperk",37.96,53,"Občanská demokratická strana","ODS",1,1
