"","municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name"
"45",6206,"Hodonín","CZ0645","Hodonín","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00284891","Město Hodonín"
"46",7202,"Holešov","CZ0721","Kroměříž","CZ072","Zlínský kraj","CZ07","Střední Morava","00287172","Město Holešov"
"47",5303,"Holice","CZ0532","Pardubice","CZ053","Pardubický kraj","CZ05","Severovýchod","00273571","Město Holice"
"48",3203,"Horažďovice","CZ0322","Klatovy","CZ032","Plzeňský kraj","CZ03","Jihozápad","00255513","Město Horažďovice"
"49",5204,"Hořice","CZ0522","Jičín","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00271560","Město Hořice"
"50",2108,"Hořovice","CZ0202","Beroun","CZ020","Středočeský kraj","CZ02","Střední Čechy","00233242","Město Hořovice"
"51",3204,"Horšovský Týn","CZ0321","Domažlice","CZ032","Plzeňský kraj","CZ03","Jihozápad","00253383","Město Horšovský Týn"
"52",5205,"Hradec Králové","CZ0521","Hradec Králové","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00268810","Statutární město Hradec Králové"
"53",7101,"Hranice","CZ0714","Přerov","CZ071","Olomoucký kraj","CZ07","Střední Morava","00301311","Město Hranice"
"54",6103,"Humpolec","CZ0633","Pelhřimov","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00248266","Město Humpolec"
"55",6207,"Hustopeče","CZ0644","Břeclav","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00283193","Město Hustopeče"
"56",6208,"Ivančice","CZ0643","Brno-venkov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00281859","Město Ivančice"
"57",5103,"Jablonec nad Nisou","CZ0512","Jablonec nad Nisou","CZ051","Liberecký kraj","CZ05","Severovýchod","00262340","Statutární město Jablonec nad Nisou"
"58",8110,"Jablunkov","CZ0802","Frýdek-Místek","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00296759","Město Jablunkov"
"59",5206,"Jaroměř","CZ0523","Náchod","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00272728","Město Jaroměř"
"60",7102,"Jeseník","CZ0711","Jeseník","CZ071","Olomoucký kraj","CZ07","Střední Morava","00302724","Město Jeseník"
"61",5207,"Jičín","CZ0522","Jičín","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00271632","Město Jičín"
"62",6105,"Jihlava","CZ0632","Jihlava","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00286010","Statutární město Jihlava"
"63",5104,"Jilemnice","CZ0514","Semily","CZ051","Liberecký kraj","CZ05","Severovýchod","00275808","Město Jilemnice"
"64",3105,"Jindřichův Hradec","CZ0313","Jindřichův Hradec","CZ031","Jihočeský kraj","CZ03","Jihozápad","00246875","Město Jindřichův Hradec"
"65",4204,"Kadaň","CZ0422","Chomutov","CZ042","Ústecký kraj","CZ04","Severozápad","00261912","Město Kadaň"
"66",3106,"Kaplice","CZ0312","Český Krumlov","CZ031","Jihočeský kraj","CZ03","Jihozápad","00245941","Město Kaplice"
"67",4103,"Karlovy Vary","CZ0412","Karlovy Vary","CZ041","Karlovarský kraj","CZ04","Severozápad","00254657","Statutární město Karlovy Vary"
"68",8111,"Karviná","CZ0803","Karviná","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00297534","Statutární město Karviná"
"69",2109,"Kladno","CZ0203","Kladno","CZ020","Středočeský kraj","CZ02","Střední Čechy","00234516","Statutární město Kladno"
"70",3205,"Klatovy","CZ0322","Klatovy","CZ032","Plzeňský kraj","CZ03","Jihozápad","00255661","Město Klatovy"
"71",2110,"Kolín","CZ0204","Kolín","CZ020","Středočeský kraj","CZ02","Střední Čechy","00235440","Město Kolín"
"72",7103,"Konice","CZ0713","Prostějov","CZ071","Olomoucký kraj","CZ07","Střední Morava","00288365","Město Konice"
"73",8112,"Kopřivnice","CZ0804","Nový Jičín","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00298077","Město Kopřivnice"
"74",5208,"Kostelec nad Orlicí","CZ0524","Rychnov nad Kněžnou","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00274968","Město Kostelec nad Orlicí"
