ID,IČO,Název,Od,Do,DIČ,Adresa,Ulice,PSČ,Sídlo,Zřizovatel,Počet obyvatel,Kraj,Obec,Základní územní jednotka ,Datum vzniku,Kapitola ID,Druh ÚJ ,NACE,NUTS,COFOG,municipality
2.22716828438413E+018,00373869,Obec Ořechov,44562,2958465,CZ00373869,"Ořechov 22, 588 62 Urbanov",Ořechov 22,588 62,Urbanov,00373869,66,CZ063,Ořechov,587630,33202,0,4,84110,CZ0632,0,
6.92663437320367E+018,00282278,Obec Ořechov,44562,2958465,CZ00282278,"Zahradní 1, 664 44 Ořechov",Zahradní 1,664 44,Ořechov,00282278,2824,CZ064,Ořechov,583561,26846,0,4,84110,CZ0643,0,
7.77289412616426E+018,00545775,Obec Ořechov,44562,2958465,CZ00545775,594 52 Ořechov 87, ,594 52,Ořechov 87,00545775,320,CZ063,Ořechov,596329,33055,0,4,84110,CZ0635,0,
2.22968017200492E+018,00270636,Obec Orel,44562,2958465,CZ00270636,"Orel 67, 538 21 Slatiňany",Orel 67,538 21,Slatiňany,00270636,784,CZ053,Orel,571962,33373,0,4,84110,CZ0531,0,
5.52823188701832E+018,00279293,Obec Orlické Podhůří,44562,2958465,CZ00279293,"Dobrá Voda 4, 562 01 Ústí nad Orlicí",Dobrá Voda 4,562 01,Ústí nad Orlicí,00279293,689,CZ053,Orlické Podhůří,580716,26846,0,4,84110,CZ0534,0,
4.28674396867705E+018,00275204,Obec Orlické Záhoří,44562,2958465,CZ00275204,517 64 Orlické Záhoří, ,517 64,Orlické Záhoří,00275204,208,CZ052,Orlické Záhoří,576603,26846,0,4,84110,CZ0524,0,
8.62728471356898E+018,00279307,Obec Orličky,44562,2958465,CZ00279307,561 55 Orličky 176, ,561 55,Orličky 176,00279307,286,CZ053,Orličky,580724,26846,0,4,84110,CZ0534,0,
1.20756287302365E+017,00249939,Obec Orlík nad Vltavou,44562,2958465,CZ00249939,398 07 Orlík nad Vltavou, ,398 07,Orlík nad Vltavou,00249939,282,CZ031,Orlík nad Vltavou,549681,26846,0,4,84110,CZ0314,0,
6.8227052476484E+018,00297577,Město Orlová,44562,2958465,CZ00297577,"Osvobození 796, 735 14 Orlová",Osvobození 796,735 14,Orlová,00297577,28330,CZ080,Orlová,599069,29952,0,4,84110,CZ0803,0,
5.99470784999089E+018,00373541,Obec Orlovice,44562,2958465,CZ00373541,683 25 Orlovice, ,683 25,Orlovice,00373541,318,CZ064,Orlovice,593460,33201,0,4,84110,CZ0646,0,
8.8335407173557E+018,00473871,Obec Osečany,44562,2958465,CZ00473871,"Osečany 21, 264 01 Osečany",Osečany 21,264 01,Osečany,00473871,257,CZ020,Osečany,598470,33055,0,4,84110,CZ020B,0,
8.37868305973501E+018,00876046,Obec Oseček,44562,2958465,CZ00876046,"Oseček 84, 289 41 Pňov - Předhradí",Oseček 84,289 41,Pňov - Předhradí,00876046,170,CZ020,Oseček,599662,33604,0,4,84110,CZ0208,0,
5.69263305107685E+018,00263061,Město Osečná,44562,2958465,CZ00263061,"Svatovítské nám. 105, 463 52 Osečná",Svatovítské nám. 105,463 52,Osečná,00263061,1176,CZ051,Osečná,564290,26846,0,4,84110,CZ0513,0,
4.99450892042193E+018,00275212,Obec Osečnice,44562,2958465,CZ00275212,"Osečnice, 517 03 Skuhrov nad Bělou",Osečnice ,517 03,Skuhrov nad Bělou,00275212,303,CZ052,Osečnice,576611,26846,0,4,84110,CZ0524,0,
2.25024636409184E+017,00266558,Město Osek,44562,2958465,CZ00266558,"Zahradní 246, 417 05 Osek",Zahradní 246,417 05,Osek,00266558,4670,CZ042,Osek,567779,26846,0,4,84110,CZ0426,0,
1.7431745867198E+018,00258954,Obec Osek,44562,2958465,CZ00258954,338 21 Osek 18, ,338 21,Osek 18,00258954,1452,CZ032,Osek,560057,31199,0,4,84110,CZ0326,0,
1.75768220063542E+018,00511684,Obec Osek,44562,2958465,CZ00511684,399 01 Osek, 38,399 01,Osek,00511684,135,CZ031,Osek,598828,33202,0,4,84110,CZ0314,0,
8.55331614472795E+018,00233684,Obec Osek,44562,2958465,CZ00233684,"Osek 21, 267 62 Komárov u Hořic",Osek 21,267 62,Komárov u Hořic,00233684,817,CZ020,Osek,531634,26846,0,4,84110,CZ0202,0,
9.03019603425129E+018,00251631,Obec Osek,44562,2958465,CZ00251631,"Osek 77, 386 01 Osek",Osek 77,386 01,Osek,00251631,655,CZ031,Osek,551562,26846,0,4,84110,CZ0316,0,
9.15544722862062E+018,00578487,Obec Osek,44562,2958465,CZ00578487,"Osek 25, 507 43 Sobotka",Osek 25,507 43,Sobotka,00578487,230,CZ052,Osek,573264,33201,0,4,84110,CZ0522,0,
6.56015814130036E+018,00301680,Obec Osek nad Bečvou,44562,2958465,CZ00301680,"Osek n.B. 65, 751 22 Osek nad Bečvou",Osek n.B. 65,751 22,Osek nad Bečvou,00301680,1291,CZ071,Osek nad Bečvou,516619,29221,0,4,84110,CZ0714,0,
7.65281834518707E+018,00257061,Obec Oselce,44562,2958465,CZ00257061,335 46 Oselce 2, ,335 46,Oselce 2,00257061,351,CZ032,Oselce,558184,26846,0,4,84110,CZ0324,0,
4.05981348442231E+018,00573612,Obec Ošelín,44562,2958465,CZ00573612,349 57 Ošelín 36, ,349 57,Ošelín 36,00573612,168,CZ032,Ošelín,541681,33207,0,4,84110,CZ0327,0,
2.14553249875279E+018,00653381,Obec Osice,44562,2958465,CZ00653381,503 26 Osice 117, ,503 26,Osice 117,00653381,527,CZ052,Osice,570532,33201,0,4,84110,CZ0521,0,
6.48553211333836E+017,00287563,Obec Osíčko,44562,2958465,CZ00287563,"Osíčko 56, 768 61 Bystřice pod Hostýnem",Osíčko 56,768 61,Bystřice pod Hostýnem,00287563,461,CZ072,Osíčko,588822,26846,0,4,84110,CZ0721,0,
5.88658857489449E+018,00653390,Obec Osičky,44562,2958465,CZ00653390,"Osičky, 503 27 Lhota pod Libčany",Osičky ,503 27,Lhota pod Libčany,00653390,161,CZ052,Osičky,570541,33201,0,4,84110,CZ0521,0,
2.41321355354804E+017,00277100,Obec Osík,44562,2958465,CZ00277100,569 67 Osík, ,569 67,Osík,00277100,1025,CZ053,Osík,578509,33389,0,4,84110,CZ0533,0,
