municipality_id;municipality ;2020;2019;2018;2017;2016;2015;2014;2011;2010;2009;2008;2007;2006
6206;Hodonín;6,05;4,98;5,55;6,70;8,67;10,12;11,85;11,92;13,31;12,43;8,34;8,14;9,90
7202;Holešov;2,39;2,26;2,51;3,39;4,73;5,42;6,90;6,62;7,07;7,53;4,17;4,31;5,50
5303;Holice;2,32;1,66;1,68;2,46;3,23;4,26;4,42;4,36;5,29;5,02;2,55;2,14;3,40
3203;Horažďovice;2,93;2,65;2,24;2,59;4,14;4,95;6,58;5,78;7,70;7,31;4,18;3,58;4,55
5204;Hořice;2,82;2,08;2,18;2,45;3,85;5,19;6,03;6,80;7,70;7,46;4,73;4,53;5,95
2108;Hořovice;2,91;1,84;1,75;2,18;2,68;3,56;4,46;4,28;4,84;4,78;1,91;1,38;2,18
3204;Horšovský Týn;3,38;2,45;2,23;2,74;4,67;5,36;5,96;6,63;8,14;8,01;4,78;3,85;3,93
5205;Hradec Králové;3,17;2,34;2,33;2,87;4,03;5,49;6,64;5,51;5,62;4,90;2,93;2,85;3,84
7101;Hranice;3,43;2,10;2,25;2,98;4,64;5,87;8,31;7,28;8,81;7,42;4,52;4,87;6,28
6103;Humpolec;2,77;2,21;2,52;2,95;3,67;4,66;5,01;5,24;6,30;6,35;4,31;2,91;3,42
6207;Hustopeče;3,53;3,37;3,60;3,95;5,51;6,24;7,35;7,12;8,95;8,10;4,89;4,86;6,30
6208;Ivančice;2,31;1,63;1,89;3,04;5,10;6,19;7,89;7,01;8,33;7,90;4,26;4,32;5,12
5103;Jablonec nad Nisou;3,58;2,58;3,06;3,32;4,48;5,26;6,28;5,77;6,63;7,16;3,91;2,94;3,85
8110;Jablunkov;2,82;2,28;2,22;2,58;3,25;4,58;5,36;4,72;5,13;5,75;4,21;5,90;8,06
5206;Jaroměř;4,11;3,53;3,43;3,80;5,57;5,91;7,38;7,76;8,13;6,88;4,00;3,84;4,94
7102;Jeseník;6,27;4,88;5,51;7,07;8,41;9,32;10,48;11,38;13,20;10,99;8,16;8,11;10,17
5207;Jičín;2,06;1,62;1,57;1,82;2,58;3,52;5,10;5,36;6,22;6,40;4,33;4,25;4,90
6105;Jihlava;3,04;2,53;2,88;3,24;4,32;5,41;6,55;6,41;7,12;7,52;4,52;3,73;4,48
5104;Jilemnice;4,06;3,33;3,02;4,15;5,43;6,51;8,20;7,13;8,22;8,10;5,37;4,47;5,61
3105;Jindřichův Hradec;2,45;1,86;1,88;2,24;3,14;4,29;5,27;5,14;5,47;5,17;2,83;3,03;3,94
4204;Kadaň;5,53;4,24;4,35;4,99;7,01;8,22;9,97;9,27;8,82;8,99;5,39;5,14;7,73
3106;Kaplice;4,18;2,81;2,68;4,04;5,97;6,86;7,89;6,89;8,28;8,48;4,96;4,15;5,74
4103;Karlovy Vary;6,26;2,59;2,69;3,18;5,13;6,77;7,94;7,61;8,52;8,14;5,29;5,55;6,68
8111;Karviná;8,97;7,64;8,19;9,38;12,06;12,74;13,86;11,38;11,64;11,27;9,25;10,81;13,04
2109;Kladno;4,76;3,20;3,47;4,44;5,95;6,89;8,15;7,14;7,16;6,56;4,34;4,57;5,86
3205;Klatovy;2,59;1,73;1,43;1,68;2,33;3,57;5,04;5,96;6,60;5,94;3,95;3,98;4,81
2110;Kolín;4,02;3,39;3,53;4,22;5,61;6,90;7,91;7,89;8,48;7,19;4,86;4,29;4,97
7103;Konice;2,89;1,72;2,71;2,60;3,69;4,89;6,84;8,27;10,00;9,27;4,65;3,97;5,96
8112;Kopřivnice;3,99;3,37;3,21;3,76;4,52;5,07;6,40;6,00;7,77;9,80;4,07;3,57;6,09
5208;Kostelec nad Orlicí;1,74;1,11;1,18;1,22;1,55;2,96;4,38;4,40;5,64;6,16;2,95;1,96;3,46
5305;Králíky;3,97;2,61;2,20;2,42;4,05;6,01;7,20;7,00;8,53;8,92;5,58;5,36;7,74
3206;Kralovice;4,01;2,85;3,12;3,65;4,91;5,72;7,04;6,72;7,20;5,98;4,24;4,27;5,26
2111;Kralupy nad Vltavou;4,23;2,85;2,53;2,75;4,02;5,37;6,09;4,59;5,33;4,54;3,27;3,20;3,73
4104;Kraslice;5,69;3,45;3,27;4,16;6,50;8,07;9,73;10,96;12,20;11,25;7,41;7,33;9,06
8113;Kravaře;3,69;2,95;3,68;5,26;7,27;8,14;8,91;8,24;9,71;8,75;6,18;6,54;7,89
8114;Krnov;6,82;6,18;6,26;6,93;9,77;11,18;12,66;11,91;11,52;10,27;6,79;7,04;8,68
7203;Kroměříž;3,20;2,65;3,30;4,18;6,05;7,33;8,70;8,14;8,97;9,27;5,52;5,49;6,99
6209;Kuřim;3,24;2,28;2,36;3,14;4,24;4,70;5,33;5,11;5,44;5,50;2,82;2,58;3,54
2112;Kutná Hora;3,51;2,92;3,03;3,86;5,10;6,17;7,39;7,07;7,60;7,03;4,82;4,60;6,00
6210;Kyjov;4,72;4,33;4,81;5,46;7,16;7,75;9,06;9,63;10,94;10,15;7,16;7,35;8,88
5306;Lanškroun;3,14;2,28;1,65;2,12;3,01;4,02;5,06;5,44;6,61;7,59;5,09;3,26;4,07
5105;Liberec;4,10;2,93;3,28;4,10;5,45;6,75;7,70;6,61;7,32;7,15;4,36;3,87;5,00
7104;Lipník nad Bečvou;4,40;2,89;3,82;5,36;6,89;8,36;10,72;9,61;11,12;10,81;7,28;8,28;9,55
4205;Litoměřice;3,85;2,99;3,69;4,18;6,46;7,43;9,33;7,70;8,88;8,43;6,13;6,04;8,15
5307;Litomyšl;1,81;1,42;1,57;2,08;3,49;4,47;5,57;6,02;6,59;7,12;4,27;4,40;5,50
7105;Litovel;2,54;1,80;1,76;2,32;3,62;4,78;6,20;6,77;8,00;8,26;4,33;4,02;5,88
4206;Litvínov;5,65;3,63;5,40;7,14;10,24;11,62;13,18;12,31;11,81;11,67;9,66;11,93;15,36
4207;Louny;5,11;3,95;4,17;4,74;6,40;7,39;9,53;8,89;9,26;9,00;6,55;7,08;9,30
4208;Lovosice;3,68;2,96;3,74;4,24;6,48;7,45;8,94;8,31;9,28;8,66;6,07;6,17;8,20
7204;Luhačovice;2,72;1,87;2,00;2,51;3,45;4,37;5,51;6,04;7,25;7,20;3,83;3,92;4,91
2113;Lysá nad Labem;3,72;2,60;3,07;3,46;4,62;5,93;7,58;6,18;7,18;6,36;4,15;3,67;5,06
4105;Mariánské Lázně;5,45;2,04;2,22;2,06;2,83;4,22;5,36;6,16;6,85;6,43;4,30;3,62;5,05
2114;Mělník;3,99;2,86;3,27;4,10;5,64;7,08;8,38;7,40;7,82;7,20;4,64;4,80;5,90
6211;Mikulov;5,06;4,16;4,19;5,42;6,37;7,36;8,88;9,08;11,39;10,13;5,83;6,95;8,61
3107;Milevsko;3,03;2,69;2,42;2,79;3,81;4,47;4,88;5,51;6,13;6,50;4,86;4,63;5,29
2115;Mladá Boleslav;2,13;1,64;1,93;2,16;2,72;3,56;4,47;4,00;4,55;4,19;2,40;1,88;2,56
2116;Mnichovo Hradiště;2,36;1,66;1,85;2,01;2,48;3,02;3,72;4,03;5,11;5,05;2,57;1,93;2,82
7106;Mohelnice;4,85;4,54;4,09;4,16;5,00;5,89;7,45;7,92;9,21;11,48;5,77;4,70;6,04
5308;Moravská Třebová;4,66;4,40;4,34;6,43;8,36;9,53;10,77;11,19;12,85;12,49;9,05;8,45;10,11
6106;Moravské Budějovice;3,71;3,19;3,61;4,41;6,35;8,24;9,78;9,79;10,94;9,20;6,83;6,83;8,97
6212;Moravský Krumlov;4,28;3,87;4,34;4,86;6,63;7,90;9,39;8,89;9,58;9,71;6,44;6,55;8,17
4209;Most;7,00;5,00;5,85;7,30;9,90;10,69;12,30;11,11;11,60;11,55;9,23;10,55;14,48
5209;Náchod;3,36;2,66;2,26;2,46;3,21;3,77;4,87;4,45;5,31;5,21;2,83;2,66;3,78
6107;Náměšť nad Oslavou;3,67;2,79;2,90;3,70;5,20;7,84;9,16;9,84;10,76;9,57;5,76;5,92;8,12
3207;Nepomuk;3,54;2,74;2,42;3,55;4,50;5,21;6,28;5,30;6,03;5,81;3,58;3,30;3,59
2117;Neratovice;4,21;2,86;3,54;4,64;5,93;7,77;8,65;7,04;7,79;6,85;4,29;4,18;4,82
5210;Nová Paka;2,27;1,73;1,81;2,38;2,78;4,01;5,39;5,21;6,50;6,62;4,48;4,59;4,95
6108;Nové Město na Moravě;4,15;3,14;5,01;5,60;6,78;7,55;8,71;7,46;8,57;7,55;4,96;5,52;6,09
5211;Nové Město nad Metují;3,03;2,17;2,07;2,11;2,48;3,22;4,06;4,10;4,80;5,32;2,20;2,26;3,35
5106;Nový Bor;4,19;2,81;3,20;3,13;4,49;5,71;8,11;9,20;9,63;12,12;5,36;4,54;5,54
5212;Nový Bydžov;3,64;3,05;3,61;3,70;5,47;6,98;7,82;6,83;7,89;6,51;4,50;5,33;6,98
8115;Nový Jičín;3,63;2,73;2,91;3,18;3,95;5,37;6,94;6,39;7,61;8,38;4,98;4,44;6,54
2118;Nymburk;4,73;3,42;3,90;4,43;5,64;6,86;7,78;8,16;8,47;7,57;5,15;4,86;5,79
3208;Nýřany;3,22;2,14;1,90;2,39;3,11;3,61;4,83;4,77;5,68;5,95;3,45;2,68;3,30
8116;Odry;3,98;2,73;3,16;3,96;5,12;6,32;8,63;10,13;12,65;11,90;6,76;6,32;7,68
7107;Olomouc;3,70;2,48;2,78;3,79;5,78;6,88;8,40;7,22;7,68;7,18;3,74;3,54;5,08
8117;Opava;3,07;2,44;2,82;3,75;5,36;6,81;8,11;7,28;8,17;7,26;4,72;5,43;7,12
8118;Orlová;9,07;7,71;7,45;8,56;10,97;11,22;12,24;10,03;10,66;10,67;8,41;9,77;12,56
8119;Ostrava;6,26;4,82;4,93;6,50;8,42;9,53;10,37;8,50;8,84;8,43;6,02;6,85;9,30
4106;Ostrov;4,51;2,32;3,21;3,70;5,90;7,11;8,48;8,46;9,85;9,54;6,80;6,18;7,40
7205;Otrokovice;2,31;1,81;1,94;2,13;3,43;4,62;6,06;5,81;7,37;7,52;4,02;4,05;4,90
6109;Pacov;1,67;1,34;1,33;2,01;3,41;3,87;4,79;4,68;5,84;5,46;2,78;2,54;2,76
5309;Pardubice;2,68;1,95;1,98;2,35;3,12;3,96;4,85;4,79;5,31;5,38;3,13;2,72;3,81
6110;Pelhřimov;1,81;1,22;1,39;1,97;3,01;3,83;4,85;4,64;5,75;5,80;3,33;2,47;2,85
3108;Písek;2,32;1,67;1,62;2,26;3,34;4,15;5,48;5,39;6,27;5,72;3,65;3,48;4,85
3209;Plzeň;3,05;2,12;1,66;2,08;2,81;4,01;5,12;5,18;5,70;5,34;3,07;2,90;3,79
