"ico","year","Saldo_CZK"
"00239402","2008/12",18382150
"00239500","2008/12",6015650
"00239640","2008/12",30644250
"00240079","2008/12",38482180
"00240702","2008/12",9298530
"00241121","2008/12",-20470380
"00242098","2008/12",13332770
"00243132","2008/12",21040610
"00243272","2008/12",11789180
"00244309","2008/12",20130510
"00244732","2008/12",-39887780
"00245551","2008/12",18895930
"00245585","2008/12",39095840
"00245836","2008/12",-21663260
"00245941","2008/12",-3848850
"00246476","2008/12",19211880
"00246875","2008/12",73198190
"00247618","2008/12",39391980
"00248266","2008/12",-25749180
"00248789","2008/12",-356220
"00248801","2008/12",13815650
"00249831","2008/12",-220880
"00249998","2008/12",184098980
"00250627","2008/12",-1940900
"00250805","2008/12",25015040
"00250996","2008/12",-1289140
"00251810","2008/12",18502320
"00251984","2008/12",11664070
"00252921","2008/12",22741850
"00253014","2008/12",119762380
"00253316","2008/12",14916230
"00253383","2008/12",-2415680
"00253901","2008/12",31936110
"00253979","2008/12",42474210
"00254061","2008/12",-20508970
"00254657","2008/12",-263999240
"00254843","2008/12",29076140
"00255513","2008/12",32434340
"00255661","2008/12",-77335770
"00256129","2008/12",49053230
"00256455","2008/12",881040
"00256986","2008/12",7792980
"00257125","2008/12",4213050
"00257265","2008/12",-5182310
"00257966","2008/12",3454770
"00258199","2008/12",13993720
"00259047","2008/12",43966390
"00259438","2008/12",-2377630
"00259586","2008/12",49508540
"00260177","2008/12",5486160
"00260231","2008/12",16941530
"00260428","2008/12",-151691620
"00260771","2008/12",20797210
"00261238","2008/12",107043370
"00261602","2008/12",12893890
"00261718","2008/12",20006940
"00261891","2008/12",100072070
"00261912","2008/12",-6928030
"00262340","2008/12",65886690
"00262587","2008/12",4327440
"00262633","2008/12",-6364650
"00262781","2008/12",9327830
"00262978","2008/12",-44151490
"00263958","2008/12",905450
"00263991","2008/12",-9205850
"00264334","2008/12",25645970
"00265209","2008/12",25660650
"00265365","2008/12",8331970
"00265781","2008/12",15630260
"00266027","2008/12",30802390
"00266094","2008/12",-95832650
"00266230","2008/12",58771520
"00266621","2008/12",130293870
"00267449","2008/12",183839890
"00267538","2008/12",5089410
"00268321","2008/12",-306440
"00268810","2008/12",-75256930
"00269247","2008/12",15377510
"00270059","2008/12",13182610
"00270211","2008/12",60640730
"00271560","2008/12",27585950
"00271632","2008/12",-14172430
"00271888","2008/12",8765860
"00272523","2008/12",-5472900
"00272728","2008/12",3697520
"00272868","2008/12",-4239480
"00272876","2008/12",-604970
"00273571","2008/12",-405790
"00274046","2008/12",181183250
"00274101","2008/12",1541890
"00274879","2008/12",40524170
"00274968","2008/12",5711860
"00275336","2008/12",-3193900
"00275808","2008/12",10033600
"00276111","2008/12",8661510
"00276227","2008/12",-9542570
"00276944","2008/12",4593460
"00277037","2008/12",7562280
"00277177","2008/12",11745280
"00277444","2008/12",61892240
"00277819","2008/12",10827400
"00278360","2008/12",-1942530
"00278475","2008/12",-23172580
"00278653","2008/12",37006850
"00279072","2008/12",4583850
"00279102","2008/12",24466020
"00279676","2008/12",20241150
"00279773","2008/12",22985280
"00279846","2008/12",27063870
"00279943","2008/12",9988740
"00279978","2008/12",32688600
"00281859","2008/12",9785560
"00281964","2008/12",16444170
"00282481","2008/12",-1001110
"00282651","2008/12",20538130
"00282707","2008/12",4467660
"00282979","2008/12",-1904960
"00283061","2008/12",-15079270
"00283193","2008/12",23719510
"00283347","2008/12",6496500
"00283509","2008/12",-42960780
"00283924","2008/12",30635950
"00284165","2008/12",4912350
"00284301","2008/12",-61758320
"00284611","2008/12",15447600
"00284653","2008/12",2653100
"00284891","2008/12",-55496950
"00285030","2008/12",-2747010
"00285455","2008/12",27014530
"00286010","2008/12",38078750
"00286745","2008/12",-11492840
"00287113","2008/12",-378860
"00287172","2008/12",4167310
"00287351","2008/12",13862430
"00288365","2008/12",-21555050
"00288659","2008/12",57908520
"00289931","2008/12",27137980
"00289965","2008/12",5175650
"00290629","2008/12",53857900
"00291463","2008/12",13325400
"00291471","2008/12",15685360
"00291676","2008/12",8044180
"00292311","2008/12",3730060
"00292427","2008/12",141649000
"00293199","2008/12",2575470
"00293881","2008/12",-9974760
"00294136","2008/12",12735340
"00294900","2008/12",136113630
"00295671","2008/12",16978060
"00295841","2008/12",268383280
"00295892","2008/12",-24505650
"00296139","2008/12",-1405370
"00296317","2008/12",-5324520
"00296643","2008/12",112116890
"00296651","2008/12",6367510
"00296759","2008/12",-3859840
"00297313","2008/12",46953850
"00297437","2008/12",-55470150
"00297488","2008/12",-71474840
"00297534","2008/12",-380742850
"00297569","2008/12",12553070
"00297577","2008/12",-8821870
"00297755","2008/12",1207930
"00297852","2008/12",19479650
"00298077","2008/12",101767250
"00298212","2008/12",61750890
"00298221","2008/12",19403720
"00299138","2008/12",20265710
"00299308","2008/12",53011690
"00299529","2008/12",-27234540
"00299634","2008/12",6318820
"00300063","2008/12",5762990
"00300292","2008/12",-32431570
"00300535","2008/12",44005540
"00300870","2008/12",3532560
"00301311","2008/12",15065120
"00301493","2008/12",19109560
"00301825","2008/12",22284430
"00302724","2008/12",1567820
"00303038","2008/12",7325520
"00303461","2008/12",49895440
"00303640","2008/12",43192030
"00304271","2008/12",-6187510
"00304387","2008/12",460570
"00304450","2008/12",102293730
"00845451","2008/12",552820900
"44992785","2008/12",582357930
"00075370","2009/12",-1025449360
"00081531","2009/12",-495272990
"00231401","2009/12",20348100
"00232947","2009/12",10037860
"00232963","2009/12",-12249520
"00233129","2009/12",-30015920
"00233242","2009/12",-59424350
"00234516","2009/12",-102293770
"00234877","2009/12",-81980870
"00235334","2009/12",-14902040
"00235440","2009/12",76984340
"00236021","2009/12",-34469430
"00236195","2009/12",-56535460
"00236977","2009/12",14524710
"00237051","2009/12",-106744140
"00237108","2009/12",18462940
"00238295","2009/12",-108304230
"00238309","2009/12",7622940
"00239402","2009/12",-10930960
"00239500","2009/12",21225040
"00239640","2009/12",-5239800
"00240079","2009/12",209535840
"00240702","2009/12",-124521100
"00241121","2009/12",-7437600
"00242098","2009/12",-29210710
"00243132","2009/12",-12669140
"00243272","2009/12",-1432850
"00244309","2009/12",-81096890
"00244732","2009/12",-335758580
"00245551","2009/12",-9812120
"00245585","2009/12",-63392870
"00245836","2009/12",15734750
"00245941","2009/12",5810790
"00246476","2009/12",-38951830
"00246875","2009/12",-121368950
"00247618","2009/12",46770820
"00248266","2009/12",4105190
"00248789","2009/12",-30620540
"00248801","2009/12",-47014940
"00249831","2009/12",-57669260
"00249998","2009/12",25704940
"00250627","2009/12",-57564060
"00250805","2009/12",-2949330
"00250996","2009/12",10906730
"00251810","2009/12",-140199220
"00251984","2009/12",-5758920
"00252921","2009/12",-33574060
"00253014","2009/12",-214345060
"00253316","2009/12",-61225550
"00253383","2009/12",-1793430
