"year","ico","class_of_revenue","Revenue_CZK"
"2010","00253014","Kapitálové příjmy",138041020
"2010","00253014","Nedaňové příjmy",228464530
"2010","00253316","Daňové příjmy",124164080
"2010","00253316","Kapitálové příjmy",30144040
"2010","00253316","Nedaňové příjmy",96203900
"2010","00253383","Daňové příjmy",55959340
"2010","00253383","Kapitálové příjmy",5520490
"2010","00253383","Nedaňové příjmy",9673850
"2010","00253901","Daňové příjmy",125047880
"2010","00253901","Kapitálové příjmy",11211220
"2010","00253901","Nedaňové příjmy",11098540
"2010","00253979","Daňové příjmy",375351210
"2010","00253979","Kapitálové příjmy",78162300
"2010","00253979","Nedaňové příjmy",148703850
"2010","00254061","Daňové příjmy",187195780
"2010","00254061","Kapitálové příjmy",101379140
"2010","00254061","Nedaňové příjmy",52129200
"2010","00254657","Daňové příjmy",644108460
"2010","00254657","Kapitálové příjmy",212600
"2010","00254657","Nedaňové příjmy",153738440
"2010","00254843","Daňové příjmy",171404950
"2010","00254843","Kapitálové příjmy",3196510
"2010","00254843","Nedaňové příjmy",90821940
"2010","00255513","Daňové příjmy",57064890
"2010","00255513","Kapitálové příjmy",45491600
"2010","00255513","Nedaňové příjmy",18848830
"2010","00255661","Daňové příjmy",219912020
"2010","00255661","Kapitálové příjmy",34022330
"2010","00255661","Nedaňové příjmy",55101980
"2010","00256129","Daňové příjmy",118156690
"2010","00256129","Kapitálové příjmy",6362270
"2010","00256129","Nedaňové příjmy",35367980
"2010","00256455","Daňové příjmy",38726660
"2010","00256455","Kapitálové příjmy",4365810
"2010","00256455","Nedaňové příjmy",4953250
"2010","00256986","Daňové příjmy",35621210
"2010","00256986","Kapitálové příjmy",10397260
"2010","00256986","Nedaňové příjmy",19250500
"2010","00257125","Daňové příjmy",64794460
"2010","00257125","Kapitálové příjmy",14662720
"2010","00257125","Nedaňové příjmy",34770670
"2010","00257265","Daňové příjmy",35423630
"2010","00257265","Kapitálové příjmy",419760
"2010","00257265","Nedaňové příjmy",16924370
"2010","00257966","Daňové příjmy",34649070
"2010","00257966","Kapitálové příjmy",3574340
"2010","00257966","Nedaňové příjmy",10607340
"2010","00258199","Daňové příjmy",66417040
"2010","00258199","Kapitálové příjmy",7756480
"2010","00258199","Nedaňové příjmy",19028040
"2010","00259047","Daňové příjmy",160226670
"2010","00259047","Kapitálové příjmy",57849340
"2010","00259047","Nedaňové příjmy",29178690
"2010","00259438","Daňové příjmy",62704980
"2010","00259438","Kapitálové příjmy",2716040
"2010","00259438","Nedaňové příjmy",18520440
"2010","00259586","Daňové příjmy",250857400
"2010","00259586","Kapitálové příjmy",15351890
"2010","00259586","Nedaňové příjmy",128352880
"2010","00260177","Daňové příjmy",84422260
"2010","00260177","Kapitálové příjmy",6178470
"2010","00260177","Nedaňové příjmy",22434690
"2010","00260231","Daňové příjmy",132086450
"2010","00260231","Kapitálové příjmy",12254630
"2010","00260231","Nedaňové příjmy",53404770
"2010","00260428","Daňové příjmy",433131140
"2010","00260428","Kapitálové příjmy",35016990
"2010","00260428","Nedaňové příjmy",63330430
"2010","00260771","Daňové příjmy",115760750
"2010","00260771","Kapitálové příjmy",8123870
"2010","00260771","Nedaňové příjmy",11835830
"2010","00261238","Daňové příjmy",552416820
"2010","00261238","Kapitálové příjmy",14314490
"2010","00261238","Nedaňové příjmy",30054170
"2010","00261602","Daňové příjmy",102304180
"2010","00261602","Kapitálové příjmy",22530560
"2010","00261602","Nedaňové příjmy",42219350
"2010","00261718","Daňové příjmy",151170160
"2010","00261718","Kapitálové příjmy",22256040
"2010","00261718","Nedaňové příjmy",31743080
"2010","00261891","Daňové příjmy",538624120
"2010","00261891","Kapitálové příjmy",186163500
"2010","00261891","Nedaňové příjmy",107075240
"2010","00261912","Daňové příjmy",223212870
"2010","00261912","Kapitálové příjmy",12716450
"2010","00261912","Nedaňové příjmy",20107440
"2010","00262340","Daňové příjmy",461504950
"2010","00262340","Kapitálové příjmy",29196660
"2010","00262340","Nedaňové příjmy",161447630
"2010","00262587","Daňové příjmy",60097520
"2010","00262587","Kapitálové příjmy",1591200
"2010","00262587","Nedaňové příjmy",19991820
"2010","00262633","Daňové příjmy",58246580
"2010","00262633","Kapitálové příjmy",2220740
"2010","00262633","Nedaňové příjmy",30058480
"2010","00262781","Daňové příjmy",86417340
"2010","00262781","Kapitálové příjmy",9922420
"2010","00262781","Nedaňové příjmy",85361990
"2010","00262978","Daňové příjmy",1204191900
"2010","00262978","Kapitálové příjmy",17421170
"2010","00262978","Nedaňové příjmy",114845270
"2010","00263958","Daňové příjmy",263480820
"2010","00263958","Kapitálové příjmy",89962290
"2010","00263958","Nedaňové příjmy",34362020
"2010","00263991","Daňové příjmy",103337390
"2010","00263991","Kapitálové příjmy",17604970
"2010","00263991","Nedaňové příjmy",26247920
"2010","00264334","Daňové příjmy",137541390
"2010","00264334","Kapitálové příjmy",357430
"2010","00264334","Nedaňové příjmy",25701160
"2010","00265209","Daňové příjmy",182389970
"2010","00265209","Kapitálové příjmy",52597660
"2010","00265209","Nedaňové příjmy",28779670
"2010","00265365","Daňové příjmy",64719890
"2010","00265365","Kapitálové příjmy",7362990
"2010","00265365","Nedaňové příjmy",9654600
"2010","00265781","Daňové příjmy",193087110
"2010","00265781","Kapitálové příjmy",14348550
"2010","00265781","Nedaňové příjmy",29172690
"2010","00266027","Daňové příjmy",287816040
"2010","00266027","Kapitálové příjmy",20693550
"2010","00266027","Nedaňové příjmy",60080860
"2010","00266094","Daňové příjmy",725933030
"2010","00266094","Kapitálové příjmy",71077490
"2010","00266094","Nedaňové příjmy",83726300
"2010","00266230","Daňové příjmy",157510520
"2010","00266230","Kapitálové příjmy",8773410
"2010","00266230","Nedaňové příjmy",71278830
"2010","00266621","Daňové příjmy",570030770
"2010","00266621","Kapitálové příjmy",7835840
"2010","00266621","Nedaňové příjmy",100349950
"2010","00267449","Daňové příjmy",284266110
"2010","00267449","Kapitálové příjmy",122769340
"2010","00267449","Nedaňové příjmy",83406140
"2010","00267538","Daňové příjmy",95274670
"2010","00267538","Kapitálové příjmy",4450320
"2010","00267538","Nedaňové příjmy",10021970
"2010","00268321","Daňové příjmy",62565150
"2010","00268321","Kapitálové příjmy",2475660
"2010","00268321","Nedaňové příjmy",49965260
"2010","00268810","Daňové příjmy",1241221050
"2010","00268810","Kapitálové příjmy",195020900
"2010","00268810","Nedaňové příjmy",310268170
"2010","00269247","Daňové příjmy",69456220
"2010","00269247","Kapitálové příjmy",7284580
"2010","00269247","Nedaňové příjmy",31209720
"2010","00270059","Daňové příjmy",100712900
"2010","00270059","Kapitálové příjmy",32508120
"2010","00270059","Nedaňové příjmy",33685070
"2010","00270211","Daňové příjmy",238854450
"2010","00270211","Kapitálové příjmy",4306340
"2010","00270211","Nedaňové příjmy",40316530
"2010","00271560","Daňové příjmy",82805020
"2010","00271560","Kapitálové příjmy",8576060
"2010","00271560","Nedaňové příjmy",17091040
"2010","00271632","Daňové příjmy",196498560
"2010","00271632","Kapitálové příjmy",38152700
"2010","00271632","Nedaňové příjmy",53441380
"2010","00271888","Daňové příjmy",82265460
"2010","00271888","Kapitálové příjmy",4363000
"2010","00271888","Nedaňové příjmy",22548550
"2010","00272523","Daňové příjmy",79371850
"2010","00272523","Kapitálové příjmy",17578040
"2010","00272523","Nedaňové příjmy",38997590
"2010","00272728","Daňové příjmy",122605810
"2010","00272728","Kapitálové příjmy",12694420
"2010","00272728","Nedaňové příjmy",50735930
"2010","00272868","Daňové příjmy",223341180
"2010","00272868","Kapitálové příjmy",9209850
"2010","00272868","Nedaňové příjmy",25020750
"2010","00272876","Daňové příjmy",87684990
"2010","00272876","Kapitálové příjmy",2389640
"2010","00272876","Nedaňové příjmy",28684940
"2010","00273571","Daňové příjmy",56041920
"2010","00273571","Kapitálové příjmy",349800
"2010","00273571","Nedaňové příjmy",26866580
"2010","00274046","Daňové příjmy",1173058360
"2010","00274046","Kapitálové příjmy",434068730
"2010","00274046","Nedaňové příjmy",129576370
"2010","00274101","Daňové příjmy",91501960
"2010","00274101","Kapitálové příjmy",18258860
"2010","00274101","Nedaňové příjmy",12116290
"2010","00274879","Daňové příjmy",88742700
"2010","00274879","Kapitálové příjmy",6105450
"2010","00274879","Nedaňové příjmy",25644130
"2010","00274968","Daňové příjmy",57685300
"2010","00274968","Kapitálové příjmy",26312230
"2010","00274968","Nedaňové příjmy",13660920
"2010","00275336","Daňové příjmy",121881410
"2010","00275336","Kapitálové příjmy",530540
"2010","00275336","Nedaňové příjmy",58576690
"2010","00275808","Daňové příjmy",54306700
"2010","00275808","Kapitálové příjmy",5831020
"2010","00275808","Nedaňové příjmy",37795710
"2010","00276111","Daňové příjmy",84443610
"2010","00276111","Nedaňové příjmy",17023760
"2010","00276227","Daňové příjmy",181033550
"2010","00276227","Kapitálové příjmy",56111900
