"year","ico","lg_tangible_assets_CZK"
"2011","00239640",1616136995.87
"2011","00235334",359558024.89
"2011","00235440",5557257254.78
"2011","00241121",564096198.1
"2011","00238309",790042908.2
"2011","00238295",3868546670.4
"2011","00234877",1930799292.86
"2011","00240079",1871507741.81
"2011","00240702",1938473074.89
"2011","00234516",5586883770.3
"2011","00245836",1521550480.69
"2011","00245941",661421447.68
"2011","00244309",1596038994.7
"2011","00249831",726498679.63
"2011","00249998",4094123939.55
"2011","00250627",1690579361.33
"2011","00250805",1042013099.95
"2011","00246476",604786629.67
"2011","00247618",1880605976.7
"2011","00246875",2524489547.45
"2011","00253383",746074637.89
"2011","00253316",2778544695.81
"2011","00243132",3282181584.51
"2011","00243272",899102455.98
"2011","00251984",687230740.53
"2011","00242098",930682251.66
"2011","00245585",797328257.75
"2011","00251810",2945996995.48
"2011","00250996",478683970.57
"2011","00245551",426355918.07
"2011","00244732",9259581497.9
"2011","00253014",3840820904.66
"2011","00252921",769544180.48
"2011","00257265",457260275.16
"2011","00256455",471564143.98
"2011","00257125",752813607.3
"2011","00256986",557567754.31
"2011","00075370",23002329957.76
"2011","00255513",903203416.57
"2011","00255661",2793579441.93
"2011","00256129",1435054499.64
"2011","00260177",991963944.71
"2011","00260231",2451816854.06
"2011","00259047",1632835244.01
"2011","00257966",339027101.33
"2011","00258199",425362590.83
"2011","00253979",2825896002.31
"2011","00254061",1577324617.48
"2011","00253901",624362167.99
"2011","00259586",1742053422
"2011","00259438",242644038.62
"2011","00254843",1768451585.2
"2011","00254657",9976902449.97
"2011","00266094",5953131865.88
"2011","00266027",1608174062.61
"2011","00266230",681658778.24
"2011","00261912",1917836898.86
"2011","00261891",3976009821.35
"2011","00261602",796273219.9
"2011","00261718",922289114.66
"2011","00265781",1337200268.54
"2011","00261238",3775789268.01
"2011","00265209",1063637198.36
"2011","00265365",742293526.89
"2011","00266621",1665377768
"2011","00081531",3618396848.17
"2011","00263958",2275718357.05
"2011","00264334",596729465.19
"2011","00262340",3856286346.73
"2011","00262587",399858084.38
"2011","00260428",2981218243.89
"2011","00262633",486582122.68
"2011","00263991",745260963.62
"2011","00262781",577978589.27
"2011","00260771",945098127.63
"2011","00262978",10036326180.84
"2011","00271560",824428042.25
"2011","00271632",2289711001.57
"2011","00271888",551066312.06
"2011","00275336",1453719279.02
"2011","00275808",475179680.52
"2011","00276111",461009102.57
"2011","00276227",1029235876.59
"2011","00274879",668925886.67
"2011","00274968",569640816.12
"2011","00278475",2100009711.72
"2011","00277819",2253653065.74
"2011","00272728",1761403944.91
"2011","00278360",2245921548.45
"2011","00268810",7997443052.4
"2011","00272523",499583110.59
"2011","00272868",1530120625.24
"2011","00272876",690597931.68
"2011","00269247",1055436639.23
"2011","00273571",418731337.27
"2011","00274101",632999458.61
"2011","00270059",1012556253.35
"2011","00270211",2230890970.3
"2011","00274046",8442314816.27
"2011","00277037",1225263652.85
"2011","00277177",1484554706.57
"2011","00277444",1319779208.87
"2011","00267538",656460584.51
"2011","00267449",2030557706.66
"2011","00268321",628801899.23
"2011","00248789",816228635.72
"2011","00276944",1733448779.64
"2011","00248266",814482513.65
"2011","00279676",1088900051.69
"2011","00248801",1955194999.74
"2011","00279846",603516772.72
"2011","00279072",648607353
"2011","00278653",1308626848.33
"2011","00279773",1247801101.33
"2011","00286745",853402573.29
"2011","00286010",4806358990.91
"2011","00295841",1883544437.58
"2011","00295671",1020480056.72
"2011","00279978",1117524034.59
"2011","00279943",1548179392.77
"2011","00294136",1376426965.22
"2011","00279102",1018992879.56
"2011","00302724",729678572.25
"2011","00294900",537745471.53
"2011","44992785",45100304060.47
"2011","00283061",1743280364.97
"2011","00289931",561849604.86
"2011","00289965",366858965.81
"2011","00290629",2868499665.39
"2011","00283347",735267704.49
"2011","00283193",415171221.85
"2011","00287113",643466649.9
"2011","00299138",1034665903.43
"2011","00299634",1454328523.63
"2011","00303461",2038063168.92
"2011","00287351",1792358005.19
"2011","00303038",866126869.49
"2011","00303640",683962252.42
"2011","00299308",12830009766.29
"2011","00299529",1027071215.45
"2011","00292311",636643880.5
"2011","00291676",487789118.78
"2011","00292427",1285990708.18
"2011","00285030",899782870.93
"2011","00284891",1905443358.6
"2011","00285455",1054190003.01
"2011","00282707",565547321.48
"2011","00281859",726857135.31
"2011","00282979",255207418.94
"2011","00281964",751760167.37
"2011","00282651",605443133.66
"2011","00283509",503795726.59
"2011","00293199",217666643.66
"2011","00293881",2485971933.77
"2011","00287172",842514966.76
"2011","00304450",1763929837.36
"2011","00288659",3651819988.58
"2011","00288365",382869731.1
"2011","00282481",319207876.47
"2011","00301825",2232592013.42
"2011","00301311",973516257.61
"2011","00301493",457647162.84
"2011","00304387",2286045940.29
"2011","00304271",758081994.71
"2011","00291463",1979030200.12
"2011","00291471",2820798474.79
"2011","00296317",966236965.12
"2011","00283924",7928332490.71
"2011","00295892",1085283763.01
"2011","00284653",84870929
"2011","00284165",1304080492.4
"2011","00284301",1326924003.49
"2011","00284611",561078118.53
"2011","00297437",1177100193.83
"2011","00297577",1161746901.4
"2011","00296139",2041222116.88
"2011","00297569",1511135583.65
"2011","00845451",36400139457.41
"2011","00298077",1595923330.97
"2011","00297534",3675543100.13
"2011","00298212",1554273761.93
"2011","00297488",3705910406.45
"2011","00298221",761523257.95
"2011","00297313",2539570486.29
"2011","00297852",870081409.56
"2011","00296651",442382060.96
"2011","00297755",469878582.71
"2011","00296759",493667555.37
"2011","00296643",2759504347.33
"2011","00300292",722649284.57
"2011","00300535",5895462051.91
"2011","00300063",551818990.04
"2011","00300870",480554576.74
"2012","00236021",2126560541.47
"2012","00236195",1849012467.49
"2012","00235334",418676447.58
"2012","00233242",342608469.74
"2012","00233129",1573729221.14
"2012","00235440",5490638486.64
"2012","00232947",1129829175.03
"2012","00232963",426480241.68
"2012","00231401",3195625100.93
"2012","00234877",1965691728.33
"2012","00234516",5571449212.24
"2012","00236977",1240346615.62
"2012","00237051",2529354101.75
"2012","00237108",1073183349.41
"2012","00239402",1123464469.76
"2012","00239500",1387885557.89
"2012","00239640",1666716007.93
"2012","00238309",850158000.62
"2012","00238295",3934746501.9
"2012","00245836",1487088836.42
"2012","00245941",694230430.55
"2012","00244309",1626343493.4
"2012","00249831",725988061.76
"2012","00249998",4222305380.54
"2012","00241121",611353534.64
"2012","00250627",1691722280.77
"2012","00250805",1003692199.57
"2012","00246476",605888196.17
"2012","00246875",2424230816.51
"2012","00247618",2037476117.65
"2012","00243132",3396066396.55
"2012","00243272",872079759.07
"2012","00240702",1967220911.12
"2012","00240079",1908507618.29
"2012","00242098",808109187.43
"2012","00245585",772994088.83
"2012","00259047",1703948308.78
"2012","00245551",439238970.79
"2012","00244732",9569399850.65
"2012","00075370",24299624976.57
"2012","00253383",763711476.23
"2012","00253316",2951408663.74
"2012","00251984",684606652.98
"2012","00256129",1530881608.32
"2012","00256455",488880264.75
"2012","00257125",798779589.37
"2012","00257265",453552993.79
"2012","00255513",943713319.11
"2012","00255661",2844537883.64
"2012","00260177",1009992990.69
"2012","00260231",2456954198.79
"2012","00251810",3162478999.35
"2012","00250996",506914650.97
"2012","00266027",1744914836.66
"2012","00254061",1480018428.23
"2012","00256986",569526357.91
"2012","00253979",2878039370.51
"2012","00253014",3931742616.19
"2012","00252921",809758516.3
"2012","00253901",609445239.3
"2012","00257966",339879567.92
"2012","00258199",437187577.43
"2012","00261891",4357496422.67
"2012","00254843",1828852942.26
"2012","00261602",788471377.15
"2012","00259438",235766141.82
"2012","00259586",1738720748.45
"2012","00266094",6692168713.27
"2012","00261912",1977991082.57
"2012","00254657",9968862019.69
"2012","00261718",1028258413.37
"2012","00265209",1047128060.04
"2012","00265365",746067317.76
"2012","00265781",1414456692.8
"2012","00261238",3840367496.28
"2012","00266230",735933912.17
"2012","00262587",431421191.25
"2012","00262340",3837852163.55
"2012","00081531",3772578625.06
"2012","00266621",1989110902
"2012","00263991",735257944.54
"2012","00264334",579520002.83
"2012","00263958",2275008531.94
"2012","00260771",955662084.86
"2012","00262633",493961528.04
"2012","00260428",2990296567.75
"2012","00262781",618422966.87
"2012","00276227",1015785982.6
"2012","00276111",472473045.55
"2012","00275808",479454269.63
"2012","00269247",1030529833.05
"2012","00262978",10337700887.47
"2012","00271632",2357784167.21
"2012","00271888",610324813.26
"2012","00268810",8095609093.16
"2012","00271560",823312621.03
"2012","00272728",1210400836.05
"2012","00272876",694912597.02
"2012","00272523",541265275.31
