"ico","year","Class of revenue","Revenue_CZK"
"00300870","2007/12","Daňové příjmy",55508190
"00300870","2007/12","Kapitálové příjmy",3330210
"00300870","2007/12","Nedaňové příjmy",17980710
"00301311","2007/12","Daňové příjmy",217695010
"00301311","2007/12","Kapitálové příjmy",41866660
"00301311","2007/12","Nedaňové příjmy",37340510
"00301493","2007/12","Daňové příjmy",79120220
"00301493","2007/12","Kapitálové příjmy",10099300
"00301493","2007/12","Nedaňové příjmy",23526880
"00301825","2007/12","Daňové příjmy",539955470
"00301825","2007/12","Kapitálové příjmy",19615320
"00301825","2007/12","Nedaňové příjmy",97892020
"00302724","2007/12","Daňové příjmy",127697310
"00302724","2007/12","Kapitálové příjmy",9536690
"00302724","2007/12","Nedaňové příjmy",40048810
"00303038","2007/12","Daňové příjmy",91428850
"00303038","2007/12","Kapitálové příjmy",10691250
"00303038","2007/12","Nedaňové příjmy",11739310
"00303461","2007/12","Daňové příjmy",289461920
"00303461","2007/12","Kapitálové příjmy",143500
"00303461","2007/12","Nedaňové příjmy",30042560
"00303640","2007/12","Daňové příjmy",147845050
"00303640","2007/12","Kapitálové příjmy",98052340
"00303640","2007/12","Nedaňové příjmy",9101950
"00304271","2007/12","Daňové příjmy",169276690
"00304271","2007/12","Kapitálové příjmy",20573820
"00304271","2007/12","Nedaňové příjmy",27435280
"00304387","2007/12","Daňové příjmy",291158040
"00304387","2007/12","Kapitálové příjmy",54839620
"00304387","2007/12","Nedaňové příjmy",48419170
"00304450","2007/12","Daňové příjmy",290325390
"00304450","2007/12","Kapitálové příjmy",16577940
"00304450","2007/12","Nedaňové příjmy",77949180
"00845451","2007/12","Daňové příjmy",6524018490
"00845451","2007/12","Kapitálové příjmy",522155530
"00845451","2007/12","Nedaňové příjmy",1000660890
"44992785","2007/12","Daňové příjmy",7769741190
"44992785","2007/12","Kapitálové příjmy",342106360
"44992785","2007/12","Nedaňové příjmy",856964100
"00075370","2008/12","Daňové příjmy",3740159310
"00075370","2008/12","Kapitálové příjmy",244560300
"00075370","2008/12","Nedaňové příjmy",825331450
"00081531","2008/12","Daňové příjmy",1198738090
"00081531","2008/12","Kapitálové příjmy",277000
"00081531","2008/12","Nedaňové příjmy",45768550
"00231401","2008/12","Daňové příjmy",222571630
"00231401","2008/12","Kapitálové příjmy",8596070
"00231401","2008/12","Nedaňové příjmy",142031450
"00232947","2008/12","Daňové příjmy",124323640
"00232947","2008/12","Kapitálové příjmy",3141560
"00232947","2008/12","Nedaňové příjmy",46135540
"00232963","2008/12","Daňové příjmy",56481760
"00232963","2008/12","Kapitálové příjmy",3654900
"00232963","2008/12","Nedaňové příjmy",26027910
"00233129","2008/12","Daňové příjmy",247697080
"00233129","2008/12","Kapitálové příjmy",66249760
"00233129","2008/12","Nedaňové příjmy",20177520
"00233242","2008/12","Daňové příjmy",87017610
"00233242","2008/12","Kapitálové příjmy",3932800
"00233242","2008/12","Nedaňové příjmy",5797510
"00234516","2008/12","Daňové příjmy",863120890
"00234516","2008/12","Kapitálové příjmy",189518150
"00234516","2008/12","Nedaňové příjmy",172428260
"00234877","2008/12","Daňové příjmy",175611870
"00234877","2008/12","Kapitálové příjmy",15622020
"00234877","2008/12","Nedaňové příjmy",12263460
"00235334","2008/12","Daňové příjmy",73232850
"00235334","2008/12","Kapitálové příjmy",6500000
"00235334","2008/12","Nedaňové příjmy",14831010
"00235440","2008/12","Daňové příjmy",404795540
"00235440","2008/12","Kapitálové příjmy",158266240
"00235440","2008/12","Nedaňové příjmy",198475530
"00236021","2008/12","Daňové příjmy",141399280
"00236021","2008/12","Kapitálové příjmy",93632740
"00236021","2008/12","Nedaňové příjmy",50343680
"00236195","2008/12","Daňové příjmy",260472450
"00236195","2008/12","Kapitálové příjmy",39063640
"00236195","2008/12","Nedaňové příjmy",88729090
"00236977","2008/12","Daňové příjmy",203922410
"00236977","2008/12","Kapitálové příjmy",16860
"00236977","2008/12","Nedaňové příjmy",36692720
"00237051","2008/12","Daňové příjmy",223085820
"00237051","2008/12","Kapitálové příjmy",21863350
"00237051","2008/12","Nedaňové příjmy",49633400
"00237108","2008/12","Daňové příjmy",171647450
"00237108","2008/12","Kapitálové příjmy",3217850
"00237108","2008/12","Nedaňové příjmy",11065580
"00238295","2008/12","Daňové příjmy",596833970
"00238295","2008/12","Kapitálové příjmy",59650720
"00238295","2008/12","Nedaňové příjmy",40041790
"00238309","2008/12","Daňové příjmy",89232460
"00238309","2008/12","Kapitálové příjmy",485900
"00238309","2008/12","Nedaňové příjmy",3579660
"00239402","2008/12","Daňové příjmy",90133790
"00239402","2008/12","Kapitálové příjmy",16496870
"00239402","2008/12","Nedaňové příjmy",7467720
"00239500","2008/12","Daňové příjmy",168261440
"00239500","2008/12","Kapitálové příjmy",33737710
"00239500","2008/12","Nedaňové příjmy",29895420
"00239640","2008/12","Daňové příjmy",155036470
"00239640","2008/12","Kapitálové příjmy",25673060
"00239640","2008/12","Nedaňové příjmy",25202930
"00240079","2008/12","Daňové příjmy",199147730
"00240079","2008/12","Kapitálové příjmy",45461200
"00240079","2008/12","Nedaňové příjmy",59036580
"00240702","2008/12","Daňové příjmy",160580330
"00240702","2008/12","Kapitálové příjmy",33192590
"00240702","2008/12","Nedaňové příjmy",50897100
"00241121","2008/12","Daňové příjmy",99499780
"00241121","2008/12","Kapitálové příjmy",10537730
"00241121","2008/12","Nedaňové příjmy",32085460
"00242098","2008/12","Daňové příjmy",88970230
"00242098","2008/12","Kapitálové příjmy",26026840
"00242098","2008/12","Nedaňové příjmy",13657360
"00243132","2008/12","Daňové příjmy",418716660
"00243132","2008/12","Kapitálové příjmy",59573180
"00243132","2008/12","Nedaňové příjmy",91912140
"00243272","2008/12","Daňové příjmy",81845680
"00243272","2008/12","Kapitálové příjmy",3001860
"00243272","2008/12","Nedaňové příjmy",33606390
"00244309","2008/12","Daňové příjmy",200289770
"00244309","2008/12","Kapitálové příjmy",12084020
"00244309","2008/12","Nedaňové příjmy",24558150
"00244732","2008/12","Daňové příjmy",1265082200
"00244732","2008/12","Kapitálové příjmy",33338630
"00244732","2008/12","Nedaňové příjmy",363836620
"00245551","2008/12","Daňové příjmy",50355890
"00245551","2008/12","Kapitálové příjmy",6646400
"00245551","2008/12","Nedaňové příjmy",19463230
"00245585","2008/12","Daňové příjmy",88361960
"00245585","2008/12","Kapitálové příjmy",33362920
"00245585","2008/12","Nedaňové příjmy",20370930
"00245836","2008/12","Daňové příjmy",168505470
"00245836","2008/12","Kapitálové příjmy",8437620
"00245836","2008/12","Nedaňové příjmy",48253920
"00245941","2008/12","Daňové příjmy",83150180
"00245941","2008/12","Kapitálové příjmy",16753310
"00245941","2008/12","Nedaňové příjmy",16382890
"00246476","2008/12","Daňové příjmy",91332700
"00246476","2008/12","Kapitálové příjmy",22400660
"00246476","2008/12","Nedaňové příjmy",20285150
"00246875","2008/12","Daňové příjmy",277371240
"00246875","2008/12","Kapitálové příjmy",19633200
"00246875","2008/12","Nedaňové příjmy",91476880
"00247618","2008/12","Daňové příjmy",127597530
"00247618","2008/12","Kapitálové příjmy",57084780
"00247618","2008/12","Nedaňové příjmy",100572730
"00248266","2008/12","Daňové příjmy",121961640
"00248266","2008/12","Kapitálové příjmy",7123530
"00248266","2008/12","Nedaňové příjmy",35102960
"00248789","2008/12","Daňové příjmy",60250050
"00248789","2008/12","Kapitálové příjmy",12911190
"00248789","2008/12","Nedaňové příjmy",20637890
"00248801","2008/12","Daňové příjmy",201965630
"00248801","2008/12","Kapitálové příjmy",24456730
"00248801","2008/12","Nedaňové příjmy",100729350
"00249831","2008/12","Daňové příjmy",96207840
"00249831","2008/12","Kapitálové příjmy",40100
"00249831","2008/12","Nedaňové příjmy",9635670
"00249998","2008/12","Daňové příjmy",398290680
"00249998","2008/12","Kapitálové příjmy",218998270
"00249998","2008/12","Nedaňové příjmy",189927210
"00250627","2008/12","Daňové příjmy",144492720
"00250627","2008/12","Kapitálové příjmy",14869270
"00250627","2008/12","Nedaňové příjmy",42742860
"00250805","2008/12","Daňové příjmy",93395210
"00250805","2008/12","Kapitálové příjmy",35914950
"00250805","2008/12","Nedaňové příjmy",24078060
"00250996","2008/12","Daňové příjmy",73452160
"00250996","2008/12","Kapitálové příjmy",46690
"00250996","2008/12","Nedaňové příjmy",13895770
"00251810","2008/12","Daňové příjmy",282876510
"00251810","2008/12","Kapitálové příjmy",39681760
"00251810","2008/12","Nedaňové příjmy",73183100
"00251984","2008/12","Daňové příjmy",78654070
"00251984","2008/12","Kapitálové příjmy",5842270
"00251984","2008/12","Nedaňové příjmy",13820750
"00252921","2008/12","Daňové příjmy",77256810
"00252921","2008/12","Kapitálové příjmy",16424970
"00252921","2008/12","Nedaňové příjmy",18317950
"00253014","2008/12","Daňové příjmy",462912110
"00253014","2008/12","Kapitálové příjmy",101650910
"00253014","2008/12","Nedaňové příjmy",196383840
"00253316","2008/12","Daňové příjmy",149609750
"00253316","2008/12","Kapitálové příjmy",8997260
"00253316","2008/12","Nedaňové příjmy",48856030
"00253383","2008/12","Daňové příjmy",61942140
"00253383","2008/12","Kapitálové příjmy",7672020
"00253383","2008/12","Nedaňové příjmy",7524390
"00253901","2008/12","Daňové příjmy",144151920
"00253901","2008/12","Kapitálové příjmy",42414680
"00253901","2008/12","Nedaňové příjmy",24746620
"00253979","2008/12","Daňové příjmy",412258980
"00253979","2008/12","Kapitálové příjmy",82400730
"00253979","2008/12","Nedaňové příjmy",132393300
"00254061","2008/12","Daňové příjmy",187633040
"00254061","2008/12","Kapitálové příjmy",46457660
"00254061","2008/12","Nedaňové příjmy",53087980
"00254657","2008/12","Daňové příjmy",712286800
"00254657","2008/12","Kapitálové příjmy",2457740
"00254657","2008/12","Nedaňové příjmy",93819700
"00254843","2008/12","Daňové příjmy",191770890
"00254843","2008/12","Kapitálové příjmy",4737300
"00254843","2008/12","Nedaňové příjmy",88157130
"00255513","2008/12","Daňové příjmy",65735190
"00255513","2008/12","Kapitálové příjmy",10143160
"00255513","2008/12","Nedaňové příjmy",25228480
"00255661","2008/12","Daňové příjmy",254777940
"00255661","2008/12","Kapitálové příjmy",57484730
"00255661","2008/12","Nedaňové příjmy",64903740
"00256129","2008/12","Daňové příjmy",134793820
"00256129","2008/12","Kapitálové příjmy",7563660
"00256129","2008/12","Nedaňové příjmy",68453120
"00256455","2008/12","Daňové příjmy",42787370
"00256455","2008/12","Kapitálové příjmy",2215760
"00256455","2008/12","Nedaňové příjmy",7531880
"00256986","2008/12","Daňové příjmy",39988900
"00256986","2008/12","Kapitálové příjmy",1985260
"00256986","2008/12","Nedaňové příjmy",25510020
"00257125","2008/12","Daňové příjmy",70719010
"00257125","2008/12","Kapitálové příjmy",13075390
"00257125","2008/12","Nedaňové příjmy",22543990
"00257265","2008/12","Daňové příjmy",36918530
"00257265","2008/12","Kapitálové příjmy",4349990
"00257265","2008/12","Nedaňové příjmy",16322790
"00257966","2008/12","Daňové příjmy",40360780
"00257966","2008/12","Kapitálové příjmy",1690580
"00257966","2008/12","Nedaňové příjmy",8309180
"00258199","2008/12","Daňové příjmy",76199650
"00258199","2008/12","Kapitálové příjmy",12345710
"00258199","2008/12","Nedaňové příjmy",14783920
"00259047","2008/12","Daňové příjmy",188341320
"00259047","2008/12","Kapitálové příjmy",33197660
"00259047","2008/12","Nedaňové příjmy",52275740
"00259438","2008/12","Daňové příjmy",71953530
"00259438","2008/12","Kapitálové příjmy",5244210
"00259438","2008/12","Nedaňové příjmy",13871670
"00259586","2008/12","Daňové příjmy",267300510
"00259586","2008/12","Kapitálové příjmy",18654150
"00259586","2008/12","Nedaňové příjmy",126501350
"00260177","2008/12","Daňové příjmy",89254970
"00260177","2008/12","Kapitálové příjmy",12188970
"00260177","2008/12","Nedaňové příjmy",22255890
"00260231","2008/12","Daňové příjmy",142906320
"00260231","2008/12","Kapitálové příjmy",12392700
"00260231","2008/12","Nedaňové příjmy",30360420
"00260428","2008/12","Daňové příjmy",458218630
"00260428","2008/12","Kapitálové příjmy",106751280
"00260428","2008/12","Nedaňové příjmy",72222580
"00260771","2008/12","Daňové příjmy",137893630
"00260771","2008/12","Kapitálové příjmy",12006340
"00260771","2008/12","Nedaňové příjmy",9025240
"00261238","2008/12","Daňové příjmy",595690960
"00261238","2008/12","Kapitálové příjmy",223615560
"00261238","2008/12","Nedaňové příjmy",40097230
"00261602","2008/12","Daňové příjmy",118582900
"00261602","2008/12","Kapitálové příjmy",23719450
"00261602","2008/12","Nedaňové příjmy",25881180
"00261718","2008/12","Daňové příjmy",170494270
"00261718","2008/12","Kapitálové příjmy",23466500
"00261718","2008/12","Nedaňové příjmy",29130950
"00261891","2008/12","Daňové příjmy",601173630
"00261891","2008/12","Kapitálové příjmy",34286600
"00261891","2008/12","Nedaňové příjmy",80035350
"00261912","2008/12","Daňové příjmy",239604550
"00261912","2008/12","Kapitálové příjmy",20288230
"00261912","2008/12","Nedaňové příjmy",21503610
"00262340","2008/12","Daňové příjmy",523888430
"00262340","2008/12","Kapitálové příjmy",84304820
"00262340","2008/12","Nedaňové příjmy",156876430
"00262587","2008/12","Daňové příjmy",70379830
"00262587","2008/12","Kapitálové příjmy",5065380
"00262587","2008/12","Nedaňové příjmy",14528620
"00262633","2008/12","Daňové příjmy",64784630
"00262633","2008/12","Kapitálové příjmy",1503950
"00262633","2008/12","Nedaňové příjmy",26529370
"00262781","2008/12","Daňové příjmy",86403370
"00262781","2008/12","Kapitálové příjmy",4233660
"00262781","2008/12","Nedaňové příjmy",18274050
"00262978","2008/12","Daňové příjmy",1392164240
"00262978","2008/12","Kapitálové příjmy",299479040
"00262978","2008/12","Nedaňové příjmy",129135060
"00263958","2008/12","Daňové příjmy",288545940
"00263958","2008/12","Kapitálové příjmy",80630110
"00263958","2008/12","Nedaňové příjmy",38454660
"00263991","2008/12","Daňové příjmy",121720490
"00263991","2008/12","Kapitálové příjmy",23623000
"00263991","2008/12","Nedaňové příjmy",26491080
"00264334","2008/12","Daňové příjmy",141045080
"00264334","2008/12","Kapitálové příjmy",752850
"00264334","2008/12","Nedaňové příjmy",66700320
"00265209","2008/12","Daňové příjmy",200324870
"00265209","2008/12","Kapitálové příjmy",25967660
"00265209","2008/12","Nedaňové příjmy",54272220
"00265365","2008/12","Daňové příjmy",72060000
"00265365","2008/12","Kapitálové příjmy",43300550
"00265365","2008/12","Nedaňové příjmy",12194890
"00265781","2008/12","Daňové příjmy",228330450
"00265781","2008/12","Kapitálové příjmy",63626900
"00265781","2008/12","Nedaňové příjmy",33170610
"00266027","2008/12","Daňové příjmy",341064220
"00266027","2008/12","Kapitálové příjmy",28485010
"00266027","2008/12","Nedaňové příjmy",63453840
"00266094","2008/12","Daňové příjmy",815326140
"00266094","2008/12","Kapitálové příjmy",53966980
"00266094","2008/12","Nedaňové příjmy",101648320
"00266230","2008/12","Daňové příjmy",174775850
"00266230","2008/12","Kapitálové příjmy",24883780
"00266230","2008/12","Nedaňové příjmy",79867180
"00266621","2008/12","Daňové příjmy",632875900
"00266621","2008/12","Kapitálové příjmy",9000530
"00266621","2008/12","Nedaňové příjmy",76703420
"00267449","2008/12","Daňové příjmy",289194240
"00267449","2008/12","Kapitálové příjmy",165984880
"00267449","2008/12","Nedaňové příjmy",87512300
"00267538","2008/12","Daňové příjmy",104430210
"00267538","2008/12","Kapitálové příjmy",13102890
"00267538","2008/12","Nedaňové příjmy",12694050
"00268321","2008/12","Daňové příjmy",70151550
"00268321","2008/12","Kapitálové příjmy",1656730
"00268321","2008/12","Nedaňové příjmy",9764540
"00268810","2008/12","Daňové příjmy",1275070800
"00268810","2008/12","Kapitálové příjmy",146543920
"00268810","2008/12","Nedaňové příjmy",253351430
"00269247","2008/12","Daňové příjmy",78878070
"00269247","2008/12","Kapitálové příjmy",19923590
"00269247","2008/12","Nedaňové příjmy",26910960
"00270059","2008/12","Daňové příjmy",112100520
"00270059","2008/12","Kapitálové příjmy",12085890
"00270059","2008/12","Nedaňové příjmy",43834680
"00270211","2008/12","Daňové příjmy",270267500
"00270211","2008/12","Kapitálové příjmy",55367450
"00270211","2008/12","Nedaňové příjmy",52394160
"00271560","2008/12","Daňové příjmy",92125620
"00271560","2008/12","Kapitálové příjmy",39274770
"00271560","2008/12","Nedaňové příjmy",21225140
"00271632","2008/12","Daňové příjmy",229385280
"00271632","2008/12","Kapitálové příjmy",141211370
"00271632","2008/12","Nedaňové příjmy",42279740
"00271888","2008/12","Daňové příjmy",92022520
"00271888","2008/12","Kapitálové příjmy",52175140
"00271888","2008/12","Nedaňové příjmy",22946270
"00272523","2008/12","Daňové příjmy",81826920
"00272523","2008/12","Kapitálové příjmy",9754610
"00272523","2008/12","Nedaňové příjmy",35290290
"00272728","2008/12","Daňové příjmy",134898850
"00272728","2008/12","Kapitálové příjmy",20109220
"00272728","2008/12","Nedaňové příjmy",44889170
"00272868","2008/12","Daňové příjmy",232122970
"00272868","2008/12","Kapitálové příjmy",26622740
"00272868","2008/12","Nedaňové příjmy",23778800
"00272876","2008/12","Daňové příjmy",97578800
"00272876","2008/12","Kapitálové příjmy",1075810
"00272876","2008/12","Nedaňové příjmy",21493950
"00273571","2008/12","Daňové příjmy",63235060
"00273571","2008/12","Kapitálové příjmy",490190
"00273571","2008/12","Nedaňové příjmy",20719210
"00274046","2008/12","Daňové příjmy",1180670920
"00274046","2008/12","Kapitálové příjmy",131663760
"00274046","2008/12","Nedaňové příjmy",106086310
"00274101","2008/12","Daňové příjmy",95200250
"00274101","2008/12","Kapitálové příjmy",14735540
"00274101","2008/12","Nedaňové příjmy",14609090
"00274879","2008/12","Daňové příjmy",92029180
"00274879","2008/12","Kapitálové příjmy",37079170
"00274879","2008/12","Nedaňové příjmy",25365160
"00274968","2008/12","Daňové příjmy",66190180
"00274968","2008/12","Kapitálové příjmy",8950040
"00274968","2008/12","Nedaňové příjmy",13869020
"00275336","2008/12","Daňové příjmy",134579690
"00275336","2008/12","Kapitálové příjmy",6119040
"00275336","2008/12","Nedaňové příjmy",50602280
"00275808","2008/12","Daňové příjmy",62983690
"00275808","2008/12","Kapitálové příjmy",7831620
"00275808","2008/12","Nedaňové příjmy",24899130
"00276111","2008/12","Daňové příjmy",94779900
"00276111","2008/12","Kapitálové příjmy",78080
"00276111","2008/12","Nedaňové příjmy",17265260
"00276227","2008/12","Daňové příjmy",188499690
"00276227","2008/12","Kapitálové příjmy",89890220
"00276227","2008/12","Nedaňové příjmy",72625460
"00276944","2008/12","Daňové příjmy",123824890
"00276944","2008/12","Kapitálové příjmy",17731960
"00276944","2008/12","Nedaňové příjmy",58926640
"00277037","2008/12","Daňové příjmy",119170920
"00277037","2008/12","Kapitálové příjmy",5620610
"00277037","2008/12","Nedaňové příjmy",20060860
"00277177","2008/12","Daňové příjmy",106723760
"00277177","2008/12","Kapitálové příjmy",19553160
"00277177","2008/12","Nedaňové příjmy",45638000
"00277444","2008/12","Daňové příjmy",205849460
"00277444","2008/12","Kapitálové příjmy",64888450
"00277444","2008/12","Nedaňové příjmy",73049400
"00277819","2008/12","Daňové příjmy",183751320
"00277819","2008/12","Kapitálové příjmy",19237160
"00277819","2008/12","Nedaňové příjmy",61278080
"00278360","2008/12","Daňové příjmy",364368140
"00278360","2008/12","Kapitálové příjmy",26679490
"00278360","2008/12","Nedaňové příjmy",58985510
"00278475","2008/12","Daňové příjmy",142638870
"00278475","2008/12","Kapitálové příjmy",18361210
"00278475","2008/12","Nedaňové příjmy",28346660
"00278653","2008/12","Daňové příjmy",172848620
"00278653","2008/12","Kapitálové příjmy",36246620
"00278653","2008/12","Nedaňové příjmy",16137070
"00279072","2008/12","Daňové příjmy",46597620
"00279072","2008/12","Kapitálové příjmy",5296080
"00279072","2008/12","Nedaňové příjmy",9541420
"00279102","2008/12","Daňové příjmy",111616420
"00279102","2008/12","Kapitálové příjmy",16995810
"00279102","2008/12","Nedaňové příjmy",24321390
"00279676","2008/12","Daňové příjmy",156472010
"00279676","2008/12","Kapitálové příjmy",38856390
"00279676","2008/12","Nedaňové příjmy",23388460
"00279773","2008/12","Daňové příjmy",146002520
"00279773","2008/12","Kapitálové příjmy",17663370
"00279773","2008/12","Nedaňové příjmy",29193800
"00279846","2008/12","Daňové příjmy",68714790
"00279846","2008/12","Kapitálové příjmy",46146590
"00279846","2008/12","Nedaňové příjmy",14200340
"00279943","2008/12","Daňové příjmy",227346690
"00279943","2008/12","Kapitálové příjmy",19720650
"00279943","2008/12","Nedaňové příjmy",53030350
"00279978","2008/12","Daňové příjmy",132915980
"00279978","2008/12","Kapitálové příjmy",11721950
"00279978","2008/12","Nedaňové příjmy",35063610
"00281859","2008/12","Daňové příjmy",99034350
"00281859","2008/12","Kapitálové příjmy",745560
"00281859","2008/12","Nedaňové příjmy",7900660
"00281964","2008/12","Daňové příjmy",105575150
"00281964","2008/12","Kapitálové příjmy",828580
"00281964","2008/12","Nedaňové příjmy",31967130
"00282481","2008/12","Daňové příjmy",57906910
"00282481","2008/12","Kapitálové příjmy",191780
"00282481","2008/12","Nedaňové příjmy",13748440
"00282651","2008/12","Daňové příjmy",82396920
"00282651","2008/12","Kapitálové příjmy",1949300
"00282651","2008/12","Nedaňové příjmy",13484490
"00282707","2008/12","Daňové příjmy",87421190
"00282707","2008/12","Kapitálové příjmy",4293430
"00282707","2008/12","Nedaňové příjmy",26197060
"00282979","2008/12","Daňové příjmy",44450100
"00282979","2008/12","Kapitálové příjmy",8423150
"00282979","2008/12","Nedaňové příjmy",14176340
"00283061","2008/12","Daňové příjmy",302255280
"00283061","2008/12","Kapitálové příjmy",31614250
"00283061","2008/12","Nedaňové příjmy",72913920
"00283193","2008/12","Daňové příjmy",71958870
"00283193","2008/12","Kapitálové příjmy",34167390
"00283193","2008/12","Nedaňové příjmy",32750880
"00283347","2008/12","Daňové příjmy",89075370
"00283347","2008/12","Kapitálové příjmy",16090190
"00283347","2008/12","Nedaňové příjmy",35179950
"00283509","2008/12","Daňové příjmy",55256940
"00283509","2008/12","Kapitálové příjmy",22878660
"00283509","2008/12","Nedaňové příjmy",22731010
"00283924","2008/12","Daňové příjmy",1047022300
"00283924","2008/12","Kapitálové příjmy",88296060
"00283924","2008/12","Nedaňové příjmy",430945160
"00284165","2008/12","Daňové příjmy",62846890
"00284165","2008/12","Kapitálové příjmy",14300060
"00284165","2008/12","Nedaňové příjmy",25486240
"00284301","2008/12","Daňové příjmy",221814550
"00284301","2008/12","Kapitálové příjmy",41447110
"00284301","2008/12","Nedaňové příjmy",34046910
"00284611","2008/12","Daňové příjmy",52322840
"00284611","2008/12","Kapitálové příjmy",12530470
"00284611","2008/12","Nedaňové příjmy",17542110
"00284653","2008/12","Daňové příjmy",46197460
"00284653","2008/12","Kapitálové příjmy",7696630
"00284653","2008/12","Nedaňové příjmy",11553210
"00284891","2008/12","Daňové příjmy",299658530
"00284891","2008/12","Kapitálové příjmy",35083740
"00284891","2008/12","Nedaňové příjmy",92163500
"00285030","2008/12","Daňové příjmy",139422960
"00285030","2008/12","Kapitálové příjmy",41383510
"00285030","2008/12","Nedaňové příjmy",24891020
"00285455","2008/12","Daňové příjmy",127822790
"00285455","2008/12","Kapitálové příjmy",19064510
"00285455","2008/12","Nedaňové příjmy",22755840
"00286010","2008/12","Daňové příjmy",682548900
"00286010","2008/12","Kapitálové příjmy",95723930
"00286010","2008/12","Nedaňové příjmy",166273580
"00286745","2008/12","Daňové příjmy",56987070
"00286745","2008/12","Kapitálové příjmy",214350
"00286745","2008/12","Nedaňové příjmy",12753020
"00287113","2008/12","Daňové příjmy",96082440
"00287113","2008/12","Kapitálové příjmy",4115050
"00287113","2008/12","Nedaňové příjmy",26750070
"00287172","2008/12","Daňové příjmy",133612870
"00287172","2008/12","Kapitálové příjmy",9530150
"00287172","2008/12","Nedaňové příjmy",36956050
"00287351","2008/12","Daňové příjmy",330060880
"00287351","2008/12","Kapitálové příjmy",10635540
"00287351","2008/12","Nedaňové příjmy",46670670
"00288365","2008/12","Daňové příjmy",30067030
"00288365","2008/12","Kapitálové příjmy",229190
"00288365","2008/12","Nedaňové příjmy",5467420
"00288659","2008/12","Daňové příjmy",562900640
"00288659","2008/12","Kapitálové příjmy",104804800
"00288659","2008/12","Nedaňové příjmy",115977510
"00289931","2008/12","Daňové příjmy",85357930
"00289931","2008/12","Kapitálové příjmy",18347930
"00289931","2008/12","Nedaňové příjmy",27916580
"00289965","2008/12","Daňové příjmy",48431350
"00289965","2008/12","Kapitálové příjmy",9040430
"00289965","2008/12","Nedaňové příjmy",13257360
"00290629","2008/12","Daňové příjmy",438147560
"00290629","2008/12","Kapitálové příjmy",23047700
"00290629","2008/12","Nedaňové příjmy",50815340
"00291463","2008/12","Daňové příjmy",211834190
"00291463","2008/12","Kapitálové příjmy",25343920
"00291463","2008/12","Nedaňové příjmy",37539600
"00291471","2008/12","Daňové příjmy",352629970
"00291471","2008/12","Kapitálové příjmy",81345970
"00291471","2008/12","Nedaňové příjmy",106813090
"00291676","2008/12","Daňové příjmy",69317270
"00291676","2008/12","Kapitálové příjmy",2365400
"00291676","2008/12","Nedaňové příjmy",7844100
"00292311","2008/12","Daňové příjmy",61671700
"00292311","2008/12","Nedaňové příjmy",5738240
"00292427","2008/12","Daňové příjmy",288528140
"00292427","2008/12","Kapitálové příjmy",250448760
"00292427","2008/12","Nedaňové příjmy",32410840
"00293199","2008/12","Daňové příjmy",60662130
"00293199","2008/12","Kapitálové příjmy",872450
"00293199","2008/12","Nedaňové příjmy",11706500
"00293881","2008/12","Daňové příjmy",432159980
"00293881","2008/12","Kapitálové příjmy",51923760
"00293881","2008/12","Nedaňové příjmy",135591700
"00294136","2008/12","Daňové příjmy",101291940
"00294136","2008/12","Nedaňové příjmy",10614030
"00294900","2008/12","Daňové příjmy",117935060
"00294900","2008/12","Kapitálové příjmy",133653720
"00294900","2008/12","Nedaňové příjmy",10721310
"00295671","2008/12","Daňové příjmy",140025640
"00295671","2008/12","Kapitálové příjmy",10720660
"00295671","2008/12","Nedaňové příjmy",14319090
"00295841","2008/12","Daňové příjmy",279397680
"00295841","2008/12","Kapitálové příjmy",259308630
"00295841","2008/12","Nedaňové příjmy",108462580
"00295892","2008/12","Daňové příjmy",199858100
"00295892","2008/12","Kapitálové příjmy",10776360
"00295892","2008/12","Nedaňové příjmy",46579480
"00296139","2008/12","Daňové příjmy",272563110
"00296139","2008/12","Kapitálové příjmy",8491740
"00296139","2008/12","Nedaňové příjmy",91267220
"00296317","2008/12","Daňové příjmy",99293280
"00296317","2008/12","Kapitálové příjmy",14081560
"00296317","2008/12","Nedaňové příjmy",35393890
"00296643","2008/12","Daňové příjmy",733835730
"00296643","2008/12","Kapitálové příjmy",139499260
"00296643","2008/12","Nedaňové příjmy",151686780
"00296651","2008/12","Daňové příjmy",97499470
"00296651","2008/12","Kapitálové příjmy",9894680
"00296651","2008/12","Nedaňové příjmy",11776150
"00296759","2008/12","Daňové příjmy",51441940
"00296759","2008/12","Kapitálové příjmy",3412890
"00296759","2008/12","Nedaňové příjmy",10827250
"00297313","2008/12","Daňové příjmy",428802950
"00297313","2008/12","Kapitálové příjmy",20535550
"00297313","2008/12","Nedaňové příjmy",84803500
"00297437","2008/12","Daňové příjmy",263219420
"00297437","2008/12","Kapitálové příjmy",5965950
"00297437","2008/12","Nedaňové příjmy",43221820
"00297488","2008/12","Daňové příjmy",974673490
"00297488","2008/12","Kapitálové příjmy",10036560
"00297488","2008/12","Nedaňové příjmy",49011210
"00297534","2008/12","Daňové příjmy",743475430
"00297534","2008/12","Kapitálové příjmy",19799700
"00297534","2008/12","Nedaňové příjmy",229462440
"00297569","2008/12","Daňové příjmy",239180610
"00297569","2008/12","Kapitálové příjmy",18367090
"00297569","2008/12","Nedaňové příjmy",242746740
