"ico","year","lt_tangible_assets_CZK"
"00236195","2008/12",1928396700
"00236977","2008/12",1441226040
"00237051","2008/12",1667728900
"00237108","2008/12",1331881550
"00238295","2008/12",4601609580
"00238309","2008/12",883025670
"00239402","2008/12",1037785250
"00239500","2008/12",1732387120
"00239640","2008/12",1653313580
"00240079","2008/12",2030483520
"00240702","2008/12",1954785330
"00241121","2008/12",575630300
"00242098","2008/12",1420929410
"00243132","2008/12",4279396850
"00243272","2008/12",968980400
"00244309","2008/12",1717170960
"00244732","2008/12",9439245440
"00245551","2008/12",556233720
"00245585","2008/12",1252639420
"00245836","2008/12",2352945010
"00245941","2008/12",796755970
"00246476","2008/12",774909960
"00246875","2008/12",2678401020
"00247618","2008/12",2047238640
"00248266","2008/12",729144800
"00248789","2008/12",737722630
"00248801","2008/12",2092226540
"00249831","2008/12",789535990
"00249998","2008/12",4744301100
"00250627","2008/12",2047152140
"00250805","2008/12",1206572330
"00250996","2008/12",915410280
"00251810","2008/12",3004390660
"00251984","2008/12",836661600
"00252921","2008/12",823070850
"00253014","2008/12",3767199170
"00253316","2008/12",2395505140
"00253383","2008/12",816142090
"00253901","2008/12",878436420
"00253979","2008/12",3345600280
"00254061","2008/12",1974740820
"00254657","2008/12",9681253640
"00254843","2008/12",1866891230
"00255513","2008/12",1124531310
"00255661","2008/12",3396695060
"00256129","2008/12",1704420290
"00256455","2008/12",492109980
"00256986","2008/12",575913840
"00257125","2008/12",987048460
"00257265","2008/12",541233720
"00257966","2008/12",403593600
"00258199","2008/12",491660390
"00259047","2008/12",2070802930
"00259438","2008/12",376614230
"00259586","2008/12",2212869680
"00260177","2008/12",1334882880
"00260231","2008/12",2572450720
"00260428","2008/12",3749952630
"00260771","2008/12",1170971300
"00261238","2008/12",3315646370
"00261602","2008/12",1135713280
"00261718","2008/12",1143264190
"00261891","2008/12",3988260270
"00261912","2008/12",1843868810
"00262340","2008/12",4485925970
"00262587","2008/12",505282550
"00262633","2008/12",662177070
"00262781","2008/12",604836020
"00262978","2008/12",12181826750
"00263958","2008/12",2650592700
"00263991","2008/12",870719500
"00264334","2008/12",553098230
"00265209","2008/12",1450916960
"00265365","2008/12",1045656230
"00265781","2008/12",1415578280
"00266027","2008/12",1945617550
"00266094","2008/12",7524795600
"00266230","2008/12",781286820
"00266621","2008/12",3262504640
"00267449","2008/12",2079664030
"00267538","2008/12",873697130
"00268321","2008/12",629412750
"00268810","2008/12",8862042980
"00269247","2008/12",1430913660
"00270059","2008/12",1282476320
"00270211","2008/12",2416656170
"00271560","2008/12",639230670
"00271632","2008/12",2271710850
"00271888","2008/12",672741940
"00272523","2008/12",613265170
"00272728","2008/12",1581852040
"00272868","2008/12",1617680260
"00272876","2008/12",655139270
"00273571","2008/12",511133350
"00274046","2008/12",9808214810
"00274101","2008/12",666287130
"00274879","2008/12",694240960
"00274968","2008/12",844925840
"00275336","2008/12",1743649710
"00275808","2008/12",690866990
"00276111","2008/12",585736170
"00276227","2008/12",1376032180
"00276944","2008/12",1916563170
"00277037","2008/12",1286686550
"00277177","2008/12",1493711080
"00277444","2008/12",1669482970
"00277819","2008/12",2588232390
"00278360","2008/12",2976651860
"00278475","2008/12",1725557520
"00278653","2008/12",1281059890
"00279072","2008/12",715565570
"00279102","2008/12",1207678010
"00279676","2008/12",1142461090
"00279773","2008/12",1414662840
"00279846","2008/12",817504660
"00279943","2008/12",1876676180
"00279978","2008/12",1309608180
"00281859","2008/12",875335110
"00281964","2008/12",689088060
"00282481","2008/12",486519230
"00282651","2008/12",800331270
"00282707","2008/12",839336750
"00282979","2008/12",360014640
"00283061","2008/12",2229396410
"00283193","2008/12",371893210
"00283347","2008/12",808048630
"00283509","2008/12",616593410
"00283924","2008/12",8882975490
"00284165","2008/12",760561370
"00284301","2008/12",1409032240
"00284611","2008/12",653707550
"00284653","2008/12",160095750
"00284891","2008/12",2663389540
"00285030","2008/12",1387403390
"00285455","2008/12",941765420
"00286010","2008/12",4851847180
"00286745","2008/12",659991460
"00287113","2008/12",694964580
"00287172","2008/12",962878890
"00287351","2008/12",2165965950
"00288365","2008/12",414812270
"00288659","2008/12",4151122810
"00289931","2008/12",720603600
"00289965","2008/12",387335470
"00290629","2008/12",3310215460
"00291463","2008/12",2141186360
"00291471","2008/12",3169522290
"00291676","2008/12",423005290
"00292311","2008/12",658903030
"00292427","2008/12",1431750130
"00293199","2008/12",192292550
"00293881","2008/12",2876676100
"00294136","2008/12",1344922830
"00294900","2008/12",852738340
"00295671","2008/12",1303246360
"00295841","2008/12",2337572710
"00295892","2008/12",1457295110
"00296139","2008/12",2222210970
"00296317","2008/12",986376630
"00296643","2008/12",3034556320
"00296651","2008/12",760721240
"00296759","2008/12",505164350
"00297313","2008/12",2732435750
"00297437","2008/12",1051813530
"00297488","2008/12",4553277440
"00297534","2008/12",4085639690
"00297569","2008/12",2051792120
"00297577","2008/12",1630673300
"00297755","2008/12",670059120
"00297852","2008/12",1250234620
"00298077","2008/12",1791558730
"00298212","2008/12",2338645400
"00298221","2008/12",680351040
"00299138","2008/12",1281806310
"00299308","2008/12",12742295870
"00299529","2008/12",1286152170
"00299634","2008/12",1424725970
"00300063","2008/12",646487830
"00300292","2008/12",664673320
"00300535","2008/12",6376192380
"00300870","2008/12",554940110
"00301311","2008/12",1407975290
"00301493","2008/12",575554860
"00301825","2008/12",3537594370
"00302724","2008/12",1026078980
"00303038","2008/12",1248522240
"00303461","2008/12",2349373100
"00303640","2008/12",915737890
"00304271","2008/12",1228606680
"00304387","2008/12",3300526420
"00304450","2008/12",2004504950
"00845451","2008/12",41248111610
"44992785","2008/12",57431784220
"00075370","2009/12",31124808680
"00081531","2009/12",5504113660
"00231401","2009/12",2543000450
"00232947","2009/12",1530291130
"00232963","2009/12",518271610
"00233129","2009/12",1858263760
"00233242","2009/12",417905960
"00234516","2009/12",5789755810
"00234877","2009/12",2081913640
"00235334","2009/12",402884170
