"year","municipality_id","municipality_name","winner_vote_percentage","party_id","party_name","party_name_short","is_overall_winner","is_winner_in_coalition","winner_vote_percentage_adj","coalition_vote_percentage","coalition_vote_percentage_adj","is_coalition_won"
2006,3207,"Nepomuk",34.07,53,"Občanská demokratická strana","ODS",1,1,43.4234004588325,46.95,59.8394086158552,1
2006,3208,"Nýřany",35.17,53,"Občanská demokratická strana","ODS",1,1,44.888321633695,44.81,57.1920867900447,1
2006,3209,"Plzeň",42.15,53,"Občanská demokratická strana","ODS",1,1,49.9171009000474,54.78,64.8744670772146,1
2006,3210,"Přeštice",35.4,53,"Občanská demokratická strana","ODS",1,1,47.3768736616702,44.31,59.301391862955,1
2006,3211,"Rokycany",39.51,53,"Občanská demokratická strana","ODS",1,1,49.7732426303855,50.87,64.0841521793903,1
2006,3212,"Stod",36.04,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.2991452991453,43.52,54.7008547008547,1
2006,3213,"Stříbro",36.56,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.6486452740667,43.53,54.3513547259333,1
2006,3214,"Sušice",37.34,53,"Občanská demokratická strana","ODS",1,1,45.1402321083172,51.31,62.0285299806576,1
2006,3215,"Tachov",36.53,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.971840041147,41.24,53.028159958853,1
2006,4101,"Aš",33.41,53,"Občanská demokratická strana","ODS",1,1,43.6275790023505,43.39,56.6597022721337,1
2006,4102,"Cheb",35.42,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.1440224318124,43.04,54.8559775681876,1
2006,4103,"Karlovy Vary",42.41,53,"Občanská demokratická strana","ODS",1,1,51.0164802117166,53.38,64.2126789366053,1
2006,4104,"Kraslice",36.07,53,"Občanská demokratická strana","ODS",1,1,46.3982505788526,45.53,58.5670182660149,1
2006,4105,"Mariánské Lázně",44.29,53,"Občanská demokratická strana","ODS",1,1,52.7513101476894,55.63,66.2577417818009,1
2006,4106,"Ostrov",36.43,53,"Občanská demokratická strana","ODS",1,1,46.0149046355943,47.4,59.8711633194392,1
2006,4107,"Sokolov",37.62,7,"Česká strana sociálně demokratická","ČSSD",0,0,47.7835640797663,41.11,52.2164359202337,1
2006,4201,"Bílina",40.3,7,"Česká strana sociálně demokratická","ČSSD",0,0,52.8455284552846,35.96,47.1544715447155,0
2006,4202,"Děčín",38.13,53,"Občanská demokratická strana","ODS",1,1,46.6022977267172,46.04,56.2698606697629,1
2006,4203,"Chomutov",39.19,7,"Česká strana sociálně demokratická","ČSSD",0,0,48.5926844389337,41.46,51.4073155610663,1
2006,4204,"Kadaň",38.21,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.5578164981114,43.86,53.4421835018886,1
2006,4205,"Litoměřice",39.86,53,"Občanská demokratická strana","ODS",1,1,49.1734517641253,49.94,61.6086849247471,1
2006,4206,"Litvínov",34.5,7,"Česká strana sociálně demokratická","ČSSD",0,0,44.8576257963854,42.41,55.1423742036146,1
2006,4207,"Louny",37.16,53,"Občanská demokratická strana","ODS",1,1,46.860025220681,46.45,58.5750315258512,1
2006,4208,"Lovosice",37.77,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.8668569301402,42.82,53.1331430698598,1
2006,4209,"Most",40.22,7,"Česká strana sociálně demokratická","ČSSD",0,0,50.546688450421,39.35,49.453311549579,0
2006,4210,"Podbořany",38.53,7,"Česká strana sociálně demokratická","ČSSD",0,0,51.2230789683595,36.69,48.7769210316405,0
2006,4211,"Roudnice nad Labem",41.75,53,"Občanská demokratická strana","ODS",1,1,51.9731109174655,50.85,63.3013818000747,1
2006,4212,"Rumburk",36.07,53,"Občanská demokratická strana","ODS",1,1,45.4797629554911,44.3,55.8567645946287,1
2006,4213,"Teplice",40.43,53,"Občanská demokratická strana","ODS",1,1,48.4888462461022,49.47,59.330774766131,1
2006,4214,"Ústí nad Labem",40.37,53,"Občanská demokratická strana","ODS",1,1,48.4983181162902,48.14,57.8327727054301,1
2006,4215,"Varnsdorf",37.22,7,"Česká strana sociálně demokratická","ČSSD",0,0,47.3597149764601,41.37,52.6402850235399,1
2006,4216,"Žatec",36.04,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.2703813069714,41.85,53.7296186930286,1
2006,5101,"Česká Lípa",36.2,53,"Občanská demokratická strana","ODS",1,1,43.7567992263991,49.29,59.5793545267738,1
2006,5102,"Frýdlant",33.97,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.5484344422701,47.79,58.4515655577299,1
