,year,municipality_id,municipality_name,winner_vote_percentage,party_id,party_name,party_name_short,is_overall_winner,is_winner_in_coalition,winner_vote_percentage_adj,coalition_vote_percentage,coalition_vote_percentage_adj,is_coalition_won,is_election_year
47,2009,2112,Kutná Hora,39.72,53,Občanská demokratická strana,ODS,1,1,47.6773496579042,51.57,61.9013323730645,1,0
48,2006,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,1
49,2007,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,0
50,2008,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,0
51,2009,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,0
52,2006,2114,Mělník,41.27,53,Občanská demokratická strana,ODS,1,1,50.6691221608349,51.56,63.3026396562308,1,1
53,2007,2114,Mělník,41.27,53,Občanská demokratická strana,ODS,1,1,50.6691221608349,51.56,63.3026396562308,1,0
54,2008,2114,Mělník,41.27,53,Občanská demokratická strana,ODS,1,1,50.6691221608349,51.56,63.3026396562308,1,0
55,2009,2114,Mělník,41.27,53,Občanská demokratická strana,ODS,1,1,50.6691221608349,51.56,63.3026396562308,1,0
56,2006,2115,Mladá Boleslav,41.18,53,Občanská demokratická strana,ODS,1,1,48.8783382789317,51.98,61.6973293768546,1,1
57,2007,2115,Mladá Boleslav,41.18,53,Občanská demokratická strana,ODS,1,1,48.8783382789317,51.98,61.6973293768546,1,0
58,2008,2115,Mladá Boleslav,41.18,53,Občanská demokratická strana,ODS,1,1,48.8783382789317,51.98,61.6973293768546,1,0
59,2009,2115,Mladá Boleslav,41.18,53,Občanská demokratická strana,ODS,1,1,48.8783382789317,51.98,61.6973293768546,1,0
60,2006,2116,Mnichovo Hradiště,40.01,53,Občanská demokratická strana,ODS,1,1,47.9219068151874,50.71,60.737812911726,1,1
61,2007,2116,Mnichovo Hradiště,40.01,53,Občanská demokratická strana,ODS,1,1,47.9219068151874,50.71,60.737812911726,1,0
62,2008,2116,Mnichovo Hradiště,40.01,53,Občanská demokratická strana,ODS,1,1,47.9219068151874,50.71,60.737812911726,1,0
63,2009,2116,Mnichovo Hradiště,40.01,53,Občanská demokratická strana,ODS,1,1,47.9219068151874,50.71,60.737812911726,1,0
64,2006,2117,Neratovice,42.49,53,Občanská demokratická strana,ODS,1,1,51.2916465475616,52.37,63.2182520521487,1,1
65,2007,2117,Neratovice,42.49,53,Občanská demokratická strana,ODS,1,1,51.2916465475616,52.37,63.2182520521487,1,0
66,2008,2117,Neratovice,42.49,53,Občanská demokratická strana,ODS,1,1,51.2916465475616,52.37,63.2182520521487,1,0
67,2009,2117,Neratovice,42.49,53,Občanská demokratická strana,ODS,1,1,51.2916465475616,52.37,63.2182520521487,1,0
68,2006,2118,Nymburk,37.53,53,Občanská demokratická strana,ODS,1,1,45.2987326493663,49.53,59.78273989137,1,1
69,2007,2118,Nymburk,37.53,53,Občanská demokratická strana,ODS,1,1,45.2987326493663,49.53,59.78273989137,1,0
70,2008,2118,Nymburk,37.53,53,Občanská demokratická strana,ODS,1,1,45.2987326493663,49.53,59.78273989137,1,0
71,2009,2118,Nymburk,37.53,53,Občanská demokratická strana,ODS,1,1,45.2987326493663,49.53,59.78273989137,1,0
72,2006,2119,Poděbrady,46.24,53,Občanská demokratická strana,ODS,1,1,54.0060733473487,58.08,67.8346180798879,1,1
73,2007,2119,Poděbrady,46.24,53,Občanská demokratická strana,ODS,1,1,54.0060733473487,58.08,67.8346180798879,1,0
74,2008,2119,Poděbrady,46.24,53,Občanská demokratická strana,ODS,1,1,54.0060733473487,58.08,67.8346180798879,1,0
75,2009,2119,Poděbrady,46.24,53,Občanská demokratická strana,ODS,1,1,54.0060733473487,58.08,67.8346180798879,1,0
76,2006,2120,Příbram,36.8,7,Česká strana sociálně demokratická,ČSSD,0,0,44.9987772071411,44.98,55.0012227928589,1,1
77,2007,2120,Příbram,36.8,7,Česká strana sociálně demokratická,ČSSD,0,0,44.9987772071411,44.98,55.0012227928589,1,0
78,2008,2120,Příbram,36.8,7,Česká strana sociálně demokratická,ČSSD,0,0,44.9987772071411,44.98,55.0012227928589,1,0
